	age	workclass	fnlwgt	education	education_num	marital_status	occupation	relationship	race	sex	capital_gain	capital_loss	hours_per_week	native_country	class
30898	17	Local-gov	192387	9th	5	Never-married	Other-service	Own-child	White	Male	0	0	45	United-States	<=50K
25509	62	Private	213321	HS-grad	9	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	40	United-States	>50K
11352	53	Self-emp-inc	251675	Some-college	10	Divorced	Sales	Not-in-family	White	Male	8614	0	50	Cuba	>50K
20343	45	Private	175925	Some-college	10	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	60	United-States	>50K
649	30	State-gov	169496	Bachelors	13	Married-civ-spouse	Tech-support	Husband	White	Male	0	0	40	United-States	>50K
19132	58	Private	95835	Some-college	10	Married-civ-spouse	Tech-support	Husband	White	Male	0	0	36	United-States	<=50K
18246	23	Private	120046	Assoc-acdm	12	Never-married	Adm-clerical	Own-child	White	Male	0	0	40	United-States	<=50K
28002	32	Private	102986	5th-6th	3	Married-civ-spouse	Machine-op-inspct	Wife	Asian-Pac-Islander	Female	0	0	40	Laos	>50K
15499	23	?	169104	Assoc-acdm	12	Never-married	?	Own-child	Asian-Pac-Islander	Male	0	0	16	Philippines	<=50K
3254	49	Self-emp-not-inc	211762	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	40	United-States	>50K
15891	73	Private	26248	7th-8th	4	Married-civ-spouse	Sales	Husband	White	Male	0	0	30	United-States	>50K
27765	19	Private	298891	11th	7	Never-married	Sales	Not-in-family	White	Female	0	0	40	Honduras	<=50K
13951	30	Private	160634	Assoc-voc	11	Never-married	Craft-repair	Own-child	White	Male	0	0	40	United-States	>50K
29822	47	Local-gov	191389	HS-grad	9	Divorced	Adm-clerical	Unmarried	White	Female	0	0	35	United-States	<=50K
14395	42	Local-gov	201723	Some-college	10	Never-married	Craft-repair	Not-in-family	White	Male	0	0	40	United-States	<=50K
32370	53	Self-emp-not-inc	137547	Prof-school	15	Never-married	Prof-specialty	Not-in-family	Asian-Pac-Islander	Male	27828	0	40	Philippines	>50K
