	age	workclass	fnlwgt	education	education_num	marital_status	occupation	relationship	race	sex	capital_gain	capital_loss	hours_per_week	native_country	class
16728	44	Self-emp-not-inc	90021	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	30	United-States	<=50K
3143	32	Private	295589	Masters	14	Married-civ-spouse	Exec-managerial	Husband	Black	Male	0	1977	40	United-States	>50K
19006	42	Private	230684	HS-grad	9	Married-civ-spouse	Sales	Husband	White	Male	5178	0	50	United-States	>50K
15497	61	Private	423297	Doctorate	16	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	40	United-States	>50K
27612	37	Private	336880	Some-college	10	Married-civ-spouse	Transport-moving	Husband	White	Male	0	0	50	United-States	<=50K
8967	38	Local-gov	421446	Bachelors	13	Married-civ-spouse	Exec-managerial	Husband	Black	Male	0	0	50	United-States	>50K
15745	53	Self-emp-inc	42924	Doctorate	16	Divorced	Exec-managerial	Not-in-family	White	Male	14084	0	50	United-States	>50K
14492	22	Private	107882	HS-grad	9	Never-married	Prof-specialty	Own-child	White	Female	0	0	20	United-States	<=50K
262	17	Private	245918	11th	7	Never-married	Other-service	Own-child	White	Male	0	0	12	United-States	<=50K
25606	41	Self-emp-not-inc	144002	Bachelors	13	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	60	United-States	>50K
12262	57	Private	41762	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	Asian-Pac-Islander	Male	0	0	40	South	>50K
20355	37	Federal-gov	32528	HS-grad	9	Married-civ-spouse	Adm-clerical	Husband	White	Male	0	0	40	England	>50K
22882	45	Private	155659	Bachelors	13	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	60	United-States	>50K
30890	45	Private	34127	Bachelors	13	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	50	United-States	>50K
28081	31	Private	323055	HS-grad	9	Married-civ-spouse	Transport-moving	Husband	White	Male	0	0	50	United-States	>50K
10396	60	State-gov	97030	Bachelors	13	Divorced	Exec-managerial	Not-in-family	White	Female	0	0	35	United-States	<=50K
23942	43	Private	180096	Assoc-voc	11	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	50	United-States	>50K
14860	72	?	237229	Assoc-voc	11	Widowed	?	Not-in-family	White	Female	0	0	30	United-States	<=50K
10566	38	Private	136137	Some-college	10	Married-civ-spouse	Exec-managerial	Other-relative	White	Male	0	0	50	United-States	>50K
7631	41	Private	253759	HS-grad	9	Never-married	Sales	Unmarried	Black	Female	0	0	40	United-States	<=50K
18853	36	Private	176634	Bachelors	13	Married-civ-spouse	Sales	Wife	White	Female	0	0	35	United-States	>50K
1581	31	Private	169104	Bachelors	13	Never-married	Sales	Own-child	Asian-Pac-Islander	Male	0	0	40	?	<=50K
9924	51	Private	199995	9th	5	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	50	United-States	>50K
8392	30	Private	97933	Assoc-acdm	12	Married-civ-spouse	Transport-moving	Wife	White	Female	0	1485	37	United-States	>50K
20381	26	Private	178140	Bachelors	13	Married-civ-spouse	Other-service	Husband	White	Male	0	0	45	United-States	>50K
15153	34	Private	134737	Bachelors	13	Never-married	Sales	Own-child	White	Male	0	0	40	United-States	>50K
5847	39	Private	190466	HS-grad	9	Divorced	Craft-repair	Own-child	White	Male	2174	0	40	United-States	<=50K
24186	31	Private	201122	Some-college	10	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	40	United-States	>50K
3508	37	Private	265038	Some-college	10	Married-civ-spouse	Transport-moving	Husband	White	Male	0	0	50	United-States	<=50K
19348	59	Private	189721	Bachelors	13	Married-civ-spouse	Handlers-cleaners	Husband	White	Male	0	0	40	Italy	>50K
20879	53	Federal-gov	271544	HS-grad	9	Married-civ-spouse	Adm-clerical	Husband	Black	Male	0	1977	40	United-States	>50K
9176	20	Private	188612	Some-college	10	Never-married	Adm-clerical	Own-child	White	Female	0	0	38	Nicaragua	<=50K
4784	30	Private	174789	Assoc-acdm	12	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	1848	50	United-States	>50K
24351	32	Federal-gov	131534	HS-grad	9	Never-married	Exec-managerial	Not-in-family	Black	Female	0	0	40	United-States	<=50K
6426	42	Private	149909	Some-college	10	Married-civ-spouse	Sales	Husband	White	Male	0	0	25	United-States	>50K
25174	50	Private	104501	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	40	United-States	>50K
914	23	Private	543028	HS-grad	9	Never-married	Sales	Own-child	Black	Male	0	0	40	United-States	<=50K
7635	31	Private	156464	10th	6	Divorced	Other-service	Not-in-family	White	Male	0	0	40	United-States	<=50K
29826	36	Private	90159	Bachelors	13	Married-civ-spouse	Prof-specialty	Wife	White	Female	0	0	32	United-States	>50K
15108	43	Local-gov	36924	Masters	14	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	40	United-States	>50K
9596	27	Federal-gov	105189	HS-grad	9	Divorced	Adm-clerical	Not-in-family	White	Male	4865	0	50	United-States	<=50K
