	age	workclass	fnlwgt	education	education_num	marital_status	occupation	relationship	race	sex	capital_gain	capital_loss	hours_per_week	native_country	class
8653	42	Private	183479	Assoc-voc	11	Married-civ-spouse	Sales	Husband	White	Male	0	0	40	United-States	>50K
31608	50	Private	102346	Bachelors	13	Married-civ-spouse	Exec-managerial	Wife	White	Female	0	2415	20	United-States	>50K
12287	29	Private	142760	HS-grad	9	Never-married	Handlers-cleaners	Not-in-family	Black	Male	0	0	40	United-States	<=50K
3583	43	Local-gov	96102	Some-college	10	Married-civ-spouse	Protective-serv	Husband	White	Male	0	1887	40	United-States	>50K
31682	52	Private	170562	12th	8	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	40	United-States	<=50K
22948	46	Federal-gov	20956	Bachelors	13	Married-civ-spouse	Exec-managerial	Husband	White	Male	15024	0	40	United-States	>50K
13788	57	State-gov	32694	Doctorate	16	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	40	United-States	>50K
28474	69	Private	130060	HS-grad	9	Separated	Transport-moving	Unmarried	Black	Female	2387	0	40	United-States	<=50K
4219	26	Private	118736	Bachelors	13	Never-married	Prof-specialty	Not-in-family	White	Female	0	0	20	United-States	<=50K
8333	30	Private	208043	Bachelors	13	Married-civ-spouse	Sales	Husband	White	Male	0	0	55	United-States	>50K
28886	38	State-gov	34364	Masters	14	Divorced	Adm-clerical	Not-in-family	White	Female	0	0	40	United-States	<=50K
16422	50	Self-emp-inc	158294	Prof-school	15	Married-civ-spouse	Prof-specialty	Husband	White	Male	99999	0	80	United-States	>50K
16590	34	Private	182401	Assoc-acdm	12	Divorced	Adm-clerical	Not-in-family	Black	Male	0	0	40	United-States	<=50K
18314	57	Private	548256	12th	8	Married-civ-spouse	Transport-moving	Husband	Black	Male	7688	0	40	United-States	>50K
20783	17	Private	31007	10th	6	Never-married	Other-service	Own-child	White	Female	0	0	30	United-States	<=50K
21015	40	Private	114580	HS-grad	9	Married-civ-spouse	Exec-managerial	Wife	White	Female	0	0	24	United-States	>50K
31840	55	Private	125000	HS-grad	9	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	0	0	40	United-States	>50K
32001	51	Local-gov	108435	Masters	14	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	80	United-States	>50K
