	age	workclass	fnlwgt	education	education_num	marital_status	occupation	relationship	race	sex	capital_gain	capital_loss	hours_per_week	native_country	class
5079	53	Private	127671	7th-8th	4	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	0	0	40	United-States	<=50K
10598	30	Private	66278	HS-grad	9	Never-married	Adm-clerical	Not-in-family	White	Female	0	0	40	United-States	<=50K
8857	46	Private	216999	Bachelors	13	Never-married	Exec-managerial	Not-in-family	White	Male	0	0	55	United-States	>50K
22926	51	Private	138358	10th	6	Divorced	Craft-repair	Not-in-family	Black	Female	0	0	35	United-States	<=50K
18588	43	Self-emp-inc	225165	HS-grad	9	Married-civ-spouse	Sales	Husband	White	Male	0	0	55	United-States	>50K
21215	51	Self-emp-inc	194995	Some-college	10	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	45	United-States	>50K
1185	51	?	165637	Masters	14	Married-civ-spouse	?	Husband	White	Male	0	0	40	United-States	<=50K
19898	45	Private	252079	Some-college	10	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	50	United-States	>50K
3387	51	?	163998	HS-grad	9	Married-spouse-absent	?	Not-in-family	White	Male	0	0	20	United-States	>50K
6533	35	Private	188069	Masters	14	Never-married	Prof-specialty	Not-in-family	White	Male	13550	0	55	?	>50K
5405	57	Private	183810	Some-college	10	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	40	United-States	>50K
8108	30	Private	112263	11th	7	Divorced	Handlers-cleaners	Own-child	White	Male	0	0	40	United-States	<=50K
21561	65	Private	262446	11th	7	Married-civ-spouse	Other-service	Husband	White	Male	0	0	20	United-States	<=50K
31346	64	Federal-gov	271550	Some-college	10	Married-civ-spouse	Transport-moving	Husband	White	Male	0	0	40	United-States	>50K
9274	59	Self-emp-not-inc	357943	Bachelors	13	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	40	United-States	>50K
21005	51	Private	279156	HS-grad	9	Married-civ-spouse	Exec-managerial	Husband	White	Male	7298	0	40	United-States	>50K
12809	44	Private	279183	Some-college	10	Married-civ-spouse	Other-service	Own-child	White	Female	0	0	40	United-States	>50K
22625	25	Private	404951	Bachelors	13	Never-married	Exec-managerial	Not-in-family	Black	Female	0	0	38	United-States	<=50K
10456	27	Private	94064	Assoc-voc	11	Divorced	Machine-op-inspct	Not-in-family	White	Male	0	0	40	United-States	<=50K
19069	55	Federal-gov	31728	Some-college	10	Married-civ-spouse	Adm-clerical	Wife	White	Female	0	0	40	United-States	>50K
1682	43	Private	176270	Bachelors	13	Married-civ-spouse	Exec-managerial	Husband	White	Male	99999	0	60	United-States	>50K
26656	21	Private	252024	HS-grad	9	Never-married	Handlers-cleaners	Other-relative	White	Male	0	0	20	Mexico	<=50K
23963	29	Private	137063	HS-grad	9	Never-married	Sales	Unmarried	White	Male	0	0	38	United-States	<=50K
31632	43	Private	225193	HS-grad	9	Married-civ-spouse	Sales	Husband	White	Male	0	0	40	United-States	<=50K
7358	29	Private	116613	Bachelors	13	Never-married	Adm-clerical	Own-child	White	Female	0	0	40	Portugal	<=50K
29148	78	Private	135566	HS-grad	9	Widowed	Sales	Unmarried	White	Female	2329	0	12	United-States	<=50K
11975	33	Local-gov	183923	Masters	14	Married-civ-spouse	Prof-specialty	Wife	White	Female	7688	0	35	United-States	>50K
20015	56	Self-emp-not-inc	60166	1st-4th	2	Never-married	Exec-managerial	Not-in-family	Amer-Indian-Eskimo	Male	0	0	65	United-States	<=50K
9869	34	Private	228881	Some-college	10	Separated	Machine-op-inspct	Not-in-family	Other	Male	0	0	40	United-States	<=50K
6638	31	Self-emp-not-inc	114639	Assoc-voc	11	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	50	United-States	<=50K
