	age	workclass	fnlwgt	education	education_num	marital_status	occupation	relationship	race	sex	capital_gain	capital_loss	hours_per_week	native_country	class
264	26	Private	378322	11th	7	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	40	United-States	<=50K
17158	20	Private	352139	Some-college	10	Divorced	Other-service	Own-child	White	Female	0	0	29	United-States	<=50K
18749	22	Private	71379	Some-college	10	Never-married	Prof-specialty	Not-in-family	White	Female	0	0	35	United-States	<=50K
11411	21	Private	254904	HS-grad	9	Never-married	Craft-repair	Not-in-family	White	Female	0	0	30	United-States	<=50K
5726	20	Private	161978	HS-grad	9	Separated	Machine-op-inspct	Own-child	White	Male	0	0	40	United-States	<=50K
11408	41	Private	384508	Bachelors	13	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	40	United-States	>50K
19366	48	Private	278530	HS-grad	9	Divorced	Craft-repair	Unmarried	White	Male	0	0	40	United-States	<=50K
21126	52	Private	92968	Bachelors	13	Separated	Exec-managerial	Unmarried	White	Female	0	0	40	?	<=50K
11811	68	Private	223486	HS-grad	9	Widowed	Other-service	Unmarried	White	Female	0	0	7	England	<=50K
12174	52	State-gov	125796	Masters	14	Married-civ-spouse	Prof-specialty	Wife	Black	Female	0	1848	40	United-States	>50K
22362	52	Local-gov	91689	Some-college	10	Married-civ-spouse	Transport-moving	Husband	White	Male	0	0	40	United-States	<=50K
26337	45	Local-gov	334039	Some-college	10	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	40	United-States	>50K
17962	53	Private	231919	HS-grad	9	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	0	0	45	United-States	<=50K
6940	21	Private	129699	HS-grad	9	Never-married	Adm-clerical	Not-in-family	White	Male	0	0	40	United-States	<=50K
26440	32	Private	132601	Prof-school	15	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	40	United-States	>50K
22814	21	Private	202871	HS-grad	9	Never-married	Machine-op-inspct	Own-child	White	Male	0	0	20	United-States	<=50K
22562	45	Private	228570	HS-grad	9	Married-civ-spouse	Sales	Wife	White	Female	0	0	35	United-States	<=50K
6234	22	Self-emp-inc	269583	7th-8th	4	Married-civ-spouse	Craft-repair	Husband	White	Male	2580	0	40	United-States	<=50K
4538	20	Private	70240	HS-grad	9	Never-married	Sales	Own-child	Asian-Pac-Islander	Female	0	0	24	Philippines	<=50K
30620	63	Private	181929	HS-grad	9	Widowed	Exec-managerial	Unmarried	White	Male	0	0	50	United-States	>50K
21802	25	Private	210794	Bachelors	13	Never-married	Prof-specialty	Own-child	White	Female	0	0	40	United-States	<=50K
26623	26	Private	39092	Some-college	10	Married-civ-spouse	Exec-managerial	Husband	White	Male	4064	0	50	United-States	<=50K
13387	29	Local-gov	148182	HS-grad	9	Married-civ-spouse	Transport-moving	Husband	Black	Male	0	0	40	United-States	<=50K
3223	44	Private	248973	Bachelors	13	Divorced	Adm-clerical	Not-in-family	Black	Male	0	0	65	United-States	<=50K
24589	24	Private	127647	Some-college	10	Separated	Adm-clerical	Unmarried	White	Female	0	0	35	United-States	<=50K
7625	32	Private	232766	Some-college	10	Never-married	Adm-clerical	Not-in-family	White	Female	0	0	40	United-States	<=50K
22228	56	Private	187295	Bachelors	13	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	40	United-States	>50K
18724	24	Private	194096	HS-grad	9	Never-married	Prof-specialty	Own-child	White	Female	0	0	45	United-States	<=50K
30006	43	State-gov	24763	Masters	14	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	1887	45	United-States	>50K
1242	36	State-gov	194630	HS-grad	9	Widowed	Exec-managerial	Not-in-family	White	Female	0	0	40	United-States	<=50K
26424	29	Private	106153	HS-grad	9	Never-married	Craft-repair	Not-in-family	White	Male	0	0	50	United-States	<=50K
1824	51	Private	158948	HS-grad	9	Married-civ-spouse	Transport-moving	Husband	White	Male	0	0	84	United-States	>50K
14485	33	Local-gov	269604	5th-6th	3	Never-married	Other-service	Unmarried	Other	Female	0	0	40	El-Salvador	<=50K
15456	19	Self-emp-not-inc	194205	Some-college	10	Never-married	Other-service	Own-child	White	Female	0	0	40	Mexico	<=50K
6630	20	Private	227554	Some-college	10	Married-spouse-absent	Sales	Own-child	Black	Female	0	0	18	United-States	<=50K
4867	58	Private	190747	HS-grad	9	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	0	0	40	United-States	<=50K
6115	33	Local-gov	34080	Some-college	10	Married-civ-spouse	Protective-serv	Husband	White	Male	0	0	40	United-States	>50K
26274	40	Self-emp-not-inc	548664	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	15	United-States	<=50K
5111	31	Private	363130	HS-grad	9	Never-married	Other-service	Unmarried	Black	Male	0	0	18	United-States	<=50K
18789	43	Private	299197	Some-college	10	Married-civ-spouse	Adm-clerical	Husband	White	Male	0	0	40	United-States	<=50K
754	39	Private	48093	HS-grad	9	Never-married	Handlers-cleaners	Not-in-family	White	Male	0	0	40	United-States	<=50K
5054	21	Private	321666	HS-grad	9	Never-married	Craft-repair	Own-child	White	Male	594	0	40	United-States	<=50K
11200	37	Federal-gov	289653	HS-grad	9	Married-civ-spouse	Adm-clerical	Husband	White	Male	0	0	50	United-States	>50K
30992	40	Self-emp-inc	104235	Masters	14	Never-married	Other-service	Own-child	White	Male	0	0	99	United-States	<=50K
4370	29	Private	200515	Some-college	10	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	0	0	38	United-States	<=50K
19859	34	Private	243165	Bachelors	13	Married-civ-spouse	Other-service	Husband	White	Male	0	0	30	United-States	>50K
15512	24	Private	314165	Some-college	10	Never-married	Exec-managerial	Own-child	White	Male	0	0	20	United-States	<=50K
4444	18	Private	232024	11th	7	Never-married	Machine-op-inspct	Own-child	White	Male	0	0	55	United-States	<=50K
16826	27	Private	218785	HS-grad	9	Married-civ-spouse	Exec-managerial	Wife	White	Female	0	0	40	United-States	<=50K
6278	52	Local-gov	305053	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	White	Male	0	2051	40	United-States	<=50K
21008	23	Private	117789	Bachelors	13	Never-married	Prof-specialty	Not-in-family	White	Female	0	0	60	United-States	<=50K
26001	59	Self-emp-not-inc	247552	HS-grad	9	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	40	United-States	<=50K
7390	50	Private	378747	HS-grad	9	Married-civ-spouse	Transport-moving	Husband	Black	Male	0	0	40	United-States	<=50K
30121	37	Private	356824	HS-grad	9	Separated	Tech-support	Unmarried	White	Female	0	0	40	United-States	<=50K
20381	26	Private	178140	Bachelors	13	Married-civ-spouse	Other-service	Husband	White	Male	0	0	45	United-States	>50K
522	24	Local-gov	248344	Some-college	10	Divorced	Handlers-cleaners	Not-in-family	Black	Male	0	0	50	United-States	<=50K
14905	55	Private	286230	11th	7	Divorced	Sales	Own-child	White	Female	0	0	20	United-States	<=50K
3896	57	State-gov	141459	Some-college	10	Divorced	Prof-specialty	Unmarried	White	Female	0	0	40	United-States	<=50K
18483	28	Private	183597	Doctorate	16	Never-married	Prof-specialty	Not-in-family	White	Male	594	0	50	Germany	<=50K
6773	54	Private	249860	11th	7	Divorced	Priv-house-serv	Unmarried	Black	Female	0	0	10	United-States	<=50K
24584	29	Private	192283	Some-college	10	Never-married	Other-service	Other-relative	White	Female	0	0	20	United-States	<=50K
18914	54	Local-gov	129972	Assoc-voc	11	Married-civ-spouse	Protective-serv	Husband	White	Male	0	0	38	United-States	>50K
5579	27	Private	255582	HS-grad	9	Never-married	Machine-op-inspct	Not-in-family	White	Female	0	0	40	United-States	<=50K
20842	52	Private	194259	HS-grad	9	Divorced	Sales	Not-in-family	White	Female	0	0	40	Germany	<=50K
23216	61	Private	101265	12th	8	Widowed	Machine-op-inspct	Unmarried	White	Female	0	0	40	Italy	<=50K
7418	47	Self-emp-inc	332355	Masters	14	Married-civ-spouse	Exec-managerial	Husband	White	Male	15024	0	50	United-States	>50K
23979	44	Private	193524	Some-college	10	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	40	United-States	<=50K
19917	31	Private	164190	10th	6	Married-civ-spouse	Transport-moving	Husband	White	Male	0	0	40	United-States	<=50K
