	age	job	marital	education	default	balance	housing	loan	contact	day	month	duration	campaign	pdays	previous	poutcome	y
30658	60	blue-collar	married	primary	no	5798	yes	no	cellular	6	feb	58	2	-1	0	unknown	no
33453	35	technician	married	tertiary	no	703	no	no	cellular	20	apr	169	1	-1	0	unknown	no
42082	61	retired	married	primary	no	8729	no	no	cellular	30	oct	480	1	-1	0	unknown	yes
42466	41	unemployed	married	secondary	no	1077	yes	yes	telephone	9	dec	207	3	387	2	failure	yes
6461	32	blue-collar	married	secondary	no	49	yes	no	unknown	27	may	135	5	-1	0	unknown	no
29201	43	management	married	secondary	yes	16	no	no	cellular	2	feb	154	2	-1	0	unknown	no
40153	35	management	single	tertiary	no	471	no	no	cellular	5	jun	276	2	-1	0	unknown	yes
18651	46	management	married	tertiary	no	4879	no	no	cellular	31	jul	195	3	-1	0	unknown	no
19401	36	technician	single	tertiary	no	46	yes	no	cellular	6	aug	459	3	-1	0	unknown	no
23265	30	technician	married	tertiary	no	569	no	no	cellular	27	aug	976	12	-1	0	unknown	yes
31439	32	services	married	secondary	no	2833	yes	no	cellular	30	mar	415	1	-1	0	unknown	no
28473	33	technician	single	secondary	no	145	yes	no	cellular	29	jan	369	2	-1	0	unknown	no
41455	63	retired	married	tertiary	no	1795	no	no	cellular	7	sep	219	1	-1	0	unknown	yes
14164	59	retired	married	secondary	no	1250	no	yes	telephone	11	jul	61	2	-1	0	unknown	no
9040	59	retired	divorced	primary	no	-88	yes	no	unknown	5	jun	910	2	-1	0	unknown	yes
24826	36	technician	married	secondary	no	154	yes	no	cellular	18	nov	231	1	96	2	other	no
40570	27	management	single	tertiary	no	2489	no	no	cellular	15	jul	323	2	163	2	other	yes
20626	54	blue-collar	married	primary	no	1173	no	no	telephone	12	aug	128	8	-1	0	unknown	no
8287	39	housemaid	married	secondary	no	4136	yes	no	unknown	2	jun	142	3	-1	0	unknown	no
25846	45	self-employed	married	secondary	no	830	no	no	cellular	19	nov	180	1	111	2	failure	no
42322	24	blue-collar	married	secondary	no	272	no	no	cellular	16	nov	105	2	94	2	success	yes
44887	49	management	married	tertiary	no	1167	yes	yes	cellular	24	sep	249	1	91	14	success	yes
29868	26	services	married	secondary	no	44	yes	yes	cellular	4	feb	193	2	237	20	other	no
43129	78	retired	divorced	secondary	no	3219	no	no	cellular	24	feb	151	1	-1	0	unknown	yes
25458	36	management	married	tertiary	no	481	yes	no	cellular	19	nov	112	3	-1	0	unknown	no
9825	43	management	single	tertiary	no	1046	no	no	unknown	9	jun	901	1	-1	0	unknown	yes
43682	24	technician	single	secondary	no	598	no	no	cellular	12	may	762	1	182	2	success	yes
44704	52	management	married	tertiary	no	2635	no	no	cellular	6	sep	313	1	108	8	success	no
43458	62	self-employed	divorced	tertiary	no	6	yes	no	cellular	13	apr	103	1	182	3	success	yes
44144	47	admin.	single	secondary	no	3696	no	no	cellular	12	jul	250	2	181	4	success	yes
18970	43	management	married	tertiary	no	3529	yes	no	cellular	4	aug	190	3	-1	0	unknown	no
22813	50	management	married	tertiary	no	1396	no	no	cellular	25	aug	731	6	-1	0	unknown	yes
25155	32	management	married	tertiary	no	1636	yes	no	cellular	18	nov	124	1	-1	0	unknown	no
42722	63	retired	married	secondary	no	474	no	no	cellular	25	jan	423	1	-1	0	unknown	yes
45038	43	unemployed	married	tertiary	no	0	no	no	cellular	18	oct	464	1	94	2	success	yes
25300	31	management	single	secondary	yes	0	no	no	cellular	18	nov	129	2	-1	0	unknown	no
38289	28	management	single	secondary	no	703	yes	no	cellular	15	may	485	1	88	1	other	yes
19369	32	self-employed	married	tertiary	no	1423	no	no	cellular	6	aug	1249	4	-1	0	unknown	yes
40439	31	blue-collar	married	secondary	no	625	yes	no	cellular	2	jul	135	2	49	3	failure	yes
7224	52	retired	married	secondary	no	1052	yes	no	unknown	29	may	35	1	-1	0	unknown	no
