	age	job	marital	education	default	balance	housing	loan	contact	day	month	duration	campaign	pdays	previous	poutcome	y
14485	38	blue-collar	single	tertiary	no	263	yes	no	cellular	14	jul	84	6	-1	0	unknown	no
18304	46	management	married	tertiary	no	1139	no	no	cellular	31	jul	466	4	-1	0	unknown	no
32667	40	technician	divorced	secondary	no	300	yes	yes	cellular	17	apr	386	2	-1	0	unknown	no
33806	52	admin.	married	secondary	no	722	no	no	cellular	24	apr	60	3	-1	0	unknown	no
40231	25	services	single	tertiary	no	12	no	no	cellular	12	jun	126	6	-1	0	unknown	yes
13122	42	unemployed	married	secondary	no	-283	no	yes	cellular	8	jul	96	2	-1	0	unknown	no
15507	34	admin.	divorced	secondary	no	1927	no	yes	cellular	18	jul	142	2	-1	0	unknown	no
23231	33	management	single	tertiary	no	7084	no	no	cellular	27	aug	512	8	-1	0	unknown	yes
41453	55	admin.	married	secondary	no	602	no	no	cellular	7	sep	350	1	98	5	success	yes
19099	50	admin.	married	secondary	no	4855	no	no	cellular	5	aug	720	2	-1	0	unknown	yes
42051	45	admin.	divorced	secondary	no	0	no	no	cellular	29	oct	264	1	-1	0	unknown	yes
13125	28	admin.	single	unknown	no	2736	no	no	cellular	8	jul	705	1	-1	0	unknown	yes
39419	32	services	single	secondary	no	3993	no	no	cellular	22	may	148	2	-1	0	unknown	yes
2472	30	blue-collar	married	secondary	no	-166	yes	yes	unknown	13	may	255	5	-1	0	unknown	no
44399	43	blue-collar	married	primary	no	2952	no	no	cellular	3	aug	417	2	95	1	other	yes
41742	33	management	single	tertiary	no	1781	no	no	cellular	8	oct	611	2	183	1	success	yes
44914	43	blue-collar	married	secondary	no	625	yes	no	unknown	30	sep	175	1	-1	0	unknown	no
15723	44	services	single	secondary	no	5	no	no	cellular	21	jul	333	2	-1	0	unknown	no
16141	40	management	married	tertiary	no	995	yes	no	cellular	22	jul	96	2	-1	0	unknown	no
42409	29	management	single	tertiary	no	1445	no	no	cellular	4	dec	271	2	-1	0	unknown	yes
1093	46	blue-collar	single	secondary	no	76	yes	no	unknown	7	may	245	2	-1	0	unknown	no
19736	34	management	married	tertiary	no	5334	no	no	cellular	7	aug	385	4	-1	0	unknown	no
41578	34	blue-collar	married	secondary	no	262	no	no	cellular	15	sep	89	2	106	1	success	yes
44115	32	technician	single	unknown	no	491	no	no	cellular	9	jul	474	7	-1	0	unknown	yes
31175	30	technician	single	secondary	no	601	no	no	cellular	27	feb	154	1	-1	0	unknown	no
33159	34	management	single	tertiary	no	5452	no	no	cellular	20	apr	96	1	245	5	other	no
35226	26	management	single	tertiary	no	114	yes	no	cellular	7	may	457	1	-1	0	unknown	yes
36231	32	management	divorced	tertiary	no	1145	yes	no	cellular	11	may	580	1	350	4	success	no
27234	44	management	married	tertiary	no	4119	yes	yes	telephone	21	nov	1074	1	-1	0	unknown	yes
36876	44	technician	single	secondary	no	285	yes	no	cellular	12	may	373	3	-1	0	unknown	no
42252	33	admin.	single	tertiary	no	280	no	no	cellular	12	nov	189	2	-1	0	unknown	no
15548	33	management	married	tertiary	no	255	yes	no	cellular	21	jul	75	2	-1	0	unknown	no
44297	69	retired	married	secondary	no	0	no	no	cellular	27	jul	666	1	90	4	success	yes
42981	34	management	divorced	tertiary	no	2885	no	no	cellular	10	feb	314	2	156	4	other	yes
9143	47	blue-collar	married	secondary	no	1996	no	no	unknown	5	jun	761	2	-1	0	unknown	yes
43026	21	student	single	secondary	no	123	no	no	telephone	12	feb	379	5	93	2	success	yes
41934	92	retired	married	unknown	no	775	no	no	cellular	22	oct	313	3	-1	0	unknown	yes
9731	43	services	married	secondary	no	861	yes	no	unknown	9	jun	78	1	-1	0	unknown	no
43673	34	services	married	secondary	no	1076	no	no	cellular	12	may	152	1	182	6	success	yes
732	37	blue-collar	married	secondary	no	183	yes	no	unknown	6	may	112	4	-1	0	unknown	no
28206	29	self-employed	single	tertiary	no	415	no	no	cellular	29	jan	122	1	-1	0	unknown	no
31328	53	services	divorced	secondary	no	0	no	no	cellular	12	mar	80	2	-1	0	unknown	yes
54	24	technician	single	secondary	no	-103	yes	yes	unknown	5	may	145	1	-1	0	unknown	no
20746	58	retired	married	primary	no	4158	no	no	cellular	13	aug	455	2	-1	0	unknown	yes
43905	29	blue-collar	single	secondary	no	322	no	no	unknown	14	jun	434	1	96	6	other	yes
45206	51	technician	married	tertiary	no	825	no	no	cellular	17	nov	977	3	-1	0	unknown	yes
3298	57	blue-collar	married	secondary	no	2192	no	no	unknown	15	may	208	2	-1	0	unknown	no
19018	53	blue-collar	married	secondary	no	-8	no	no	cellular	5	aug	794	1	-1	0	unknown	yes
12567	37	services	single	secondary	no	-244	no	no	unknown	3	jul	178	1	-1	0	unknown	no
703	43	services	divorced	secondary	no	0	yes	no	unknown	6	may	125	2	-1	0	unknown	no
2545	37	entrepreneur	divorced	secondary	no	175	yes	yes	unknown	13	may	753	6	-1	0	unknown	yes
7869	50	self-employed	married	secondary	no	-465	yes	no	unknown	30	may	42	11	-1	0	unknown	no
24233	50	management	married	tertiary	no	4278	no	no	cellular	17	nov	53	1	-1	0	unknown	no
24581	59	management	divorced	tertiary	no	3552	yes	no	cellular	17	nov	690	1	123	7	other	no
42472	32	management	divorced	tertiary	no	883	yes	no	cellular	10	dec	798	1	185	5	other	yes
44133	43	admin.	single	secondary	no	386	no	no	cellular	12	jul	220	3	529	1	failure	yes
23351	48	blue-collar	married	primary	no	2321	no	no	cellular	27	aug	218	7	-1	0	unknown	no
19327	32	technician	married	secondary	no	560	no	no	cellular	6	aug	1044	4	-1	0	unknown	yes
17367	38	admin.	married	secondary	no	337	no	no	cellular	28	jul	624	4	-1	0	unknown	no
33722	39	admin.	married	tertiary	no	1108	no	no	cellular	21	apr	204	1	-1	0	unknown	yes
45006	38	management	married	tertiary	no	413	no	no	cellular	13	oct	252	2	183	3	success	yes
41569	73	retired	married	primary	no	934	no	no	cellular	14	sep	961	5	-1	0	unknown	yes
37578	33	admin.	married	secondary	no	1521	yes	no	cellular	14	may	222	1	-1	0	unknown	no
10108	60	blue-collar	married	unknown	no	3538	no	no	unknown	11	jun	261	1	-1	0	unknown	no
29851	36	student	single	unknown	no	449	no	no	cellular	4	feb	166	2	-1	0	unknown	no
2707	41	blue-collar	married	primary	no	3140	yes	no	unknown	13	may	87	9	-1	0	unknown	no
43699	37	management	married	tertiary	no	2987	yes	no	cellular	13	may	216	1	87	10	success	yes
21357	43	management	married	tertiary	no	1253	no	yes	cellular	18	aug	52	3	-1	0	unknown	no
31120	29	management	single	tertiary	no	5359	no	no	cellular	18	feb	147	1	-1	0	unknown	yes
40014	44	management	married	tertiary	no	423	no	no	cellular	3	jun	136	6	83	5	success	no
10837	35	technician	married	unknown	no	3	yes	yes	unknown	17	jun	124	23	-1	0	unknown	no
43224	30	blue-collar	married	primary	no	201	yes	no	cellular	5	mar	116	7	186	13	success	no
25616	45	management	married	tertiary	no	80	no	yes	cellular	19	nov	157	1	-1	0	unknown	no
22907	34	technician	married	secondary	no	1035	no	no	cellular	25	aug	1374	10	-1	0	unknown	yes
41989	28	technician	single	unknown	no	0	yes	no	cellular	27	oct	96	1	267	1	failure	yes
33983	33	admin.	married	secondary	no	920	no	no	cellular	30	apr	344	1	-1	0	unknown	yes
5965	39	blue-collar	married	primary	no	879	yes	no	unknown	26	may	102	2	-1	0	unknown	no
41391	27	admin.	married	secondary	no	1596	no	no	cellular	1	sep	82	1	-1	0	unknown	yes
43164	30	management	single	tertiary	no	5359	no	no	cellular	26	feb	427	1	191	3	success	yes
18538	46	management	married	tertiary	no	466	yes	no	cellular	31	jul	109	8	-1	0	unknown	no
28001	46	technician	divorced	tertiary	no	0	no	no	cellular	28	jan	1199	2	-1	0	unknown	yes
23421	40	self-employed	married	secondary	yes	2	no	no	cellular	27	aug	158	3	-1	0	unknown	no
3081	29	blue-collar	married	primary	no	236	yes	no	unknown	14	may	554	1	-1	0	unknown	no
5846	28	self-employed	single	tertiary	no	0	yes	no	unknown	26	may	1560	2	-1	0	unknown	yes
34792	36	admin.	married	secondary	no	788	yes	no	cellular	6	may	403	1	345	1	failure	no
22779	52	unknown	married	secondary	no	142	no	no	cellular	25	aug	112	6	-1	0	unknown	no
