	age	job	marital	education	default	balance	housing	loan	contact	day	month	duration	campaign	pdays	previous	poutcome	y
2903	46	blue-collar	married	primary	no	1429	yes	no	unknown	14	may	91	1	-1	0	unknown	no
17812	44	housemaid	married	primary	no	1109	yes	yes	cellular	29	jul	176	4	-1	0	unknown	no
19072	44	technician	married	secondary	no	10888	yes	no	cellular	5	aug	163	1	-1	0	unknown	no
32386	47	management	married	tertiary	no	109	yes	no	cellular	16	apr	91	2	268	1	failure	no
6829	39	unemployed	single	secondary	no	-53	yes	no	unknown	28	may	189	3	-1	0	unknown	no
29959	48	blue-collar	married	secondary	no	7408	no	yes	cellular	4	feb	101	2	-1	0	unknown	no
31543	35	blue-collar	married	secondary	no	2643	yes	no	cellular	2	apr	96	3	330	1	other	no
42318	56	management	married	primary	no	870	no	no	cellular	16	nov	257	1	-1	0	unknown	yes
9616	48	admin.	divorced	secondary	no	2662	no	no	unknown	6	jun	298	2	-1	0	unknown	no
41968	39	management	single	tertiary	no	416	no	no	cellular	23	oct	56	4	-1	0	unknown	no
18615	40	services	married	unknown	no	0	no	no	cellular	31	jul	66	34	-1	0	unknown	no
40811	31	management	married	tertiary	no	199	yes	yes	cellular	11	aug	127	2	461	4	success	no
36861	40	admin.	married	unknown	no	9110	yes	no	cellular	12	may	234	6	174	3	failure	no
17405	37	blue-collar	single	primary	no	147	no	no	cellular	28	jul	192	19	-1	0	unknown	no
34464	30	blue-collar	single	secondary	no	80	yes	yes	cellular	5	may	145	1	337	4	failure	no
12905	42	admin.	married	secondary	no	1133	yes	no	cellular	7	jul	375	3	-1	0	unknown	no
30879	58	unemployed	divorced	secondary	no	729	no	yes	cellular	9	feb	60	2	-1	0	unknown	no
20904	59	technician	married	secondary	no	3562	no	no	cellular	13	aug	121	1	-1	0	unknown	no
1701	26	blue-collar	single	secondary	no	153	yes	no	unknown	9	may	386	1	-1	0	unknown	no
33916	59	management	married	tertiary	no	1729	no	no	cellular	30	apr	119	1	-1	0	unknown	no
31076	38	self-employed	married	secondary	no	187	no	yes	telephone	16	feb	66	21	-1	0	unknown	no
28834	36	blue-collar	married	secondary	no	-477	yes	no	cellular	30	jan	473	2	-1	0	unknown	no
9775	41	management	married	secondary	no	5585	no	no	unknown	9	jun	772	1	-1	0	unknown	no
13363	47	blue-collar	married	secondary	no	125	no	no	cellular	8	jul	210	2	-1	0	unknown	no
41038	37	management	married	tertiary	no	1276	no	no	cellular	14	aug	156	2	-1	0	unknown	yes
1018	52	entrepreneur	divorced	primary	no	278	yes	no	unknown	7	may	688	2	-1	0	unknown	no
18094	35	blue-collar	single	unknown	no	217	yes	no	cellular	30	jul	107	11	-1	0	unknown	no
3254	46	admin.	married	secondary	no	1934	no	yes	unknown	15	may	240	1	-1	0	unknown	no
14266	55	admin.	married	primary	no	343	yes	no	cellular	14	jul	276	3	-1	0	unknown	no
31589	44	entrepreneur	single	tertiary	no	1136	yes	yes	cellular	3	apr	345	2	249	7	other	no
1929	39	entrepreneur	married	tertiary	no	338	yes	no	unknown	9	may	107	4	-1	0	unknown	no
14394	29	housemaid	married	secondary	no	85	yes	no	cellular	14	jul	76	2	-1	0	unknown	no
21254	60	blue-collar	married	secondary	no	3122	no	no	telephone	18	aug	51	12	-1	0	unknown	no
31938	46	blue-collar	married	primary	no	952	yes	no	cellular	9	apr	233	4	-1	0	unknown	no
34924	30	services	single	primary	no	411	yes	no	cellular	6	may	457	1	358	1	other	no
31310	24	admin.	single	tertiary	no	-61	no	no	cellular	11	mar	95	4	-1	0	unknown	yes
24640	50	admin.	married	secondary	no	1241	yes	yes	telephone	17	nov	49	2	-1	0	unknown	no
5222	43	technician	married	secondary	no	8541	yes	no	unknown	23	may	259	9	-1	0	unknown	no
43090	39	admin.	divorced	tertiary	no	1176	no	no	cellular	22	feb	327	1	-1	0	unknown	no
30128	45	admin.	married	unknown	no	323	no	no	telephone	4	feb	56	4	7	6	other	no
37066	50	management	married	tertiary	no	2809	yes	no	cellular	13	may	200	2	259	9	failure	no
16109	34	admin.	single	secondary	no	1	yes	no	cellular	22	jul	483	7	-1	0	unknown	no
33866	35	technician	married	secondary	no	35	yes	no	cellular	30	apr	358	1	-1	0	unknown	no
20797	51	management	divorced	tertiary	no	0	no	no	cellular	13	aug	60	2	-1	0	unknown	no
12657	27	management	single	secondary	no	35	no	no	cellular	4	jul	255	1	-1	0	unknown	no
4765	31	blue-collar	married	secondary	no	3311	yes	no	unknown	20	may	719	1	-1	0	unknown	yes
15831	35	services	divorced	secondary	no	828	yes	no	cellular	21	jul	87	1	-1	0	unknown	no
27025	35	self-employed	married	primary	no	2086	yes	no	cellular	21	nov	254	7	-1	0	unknown	no
7223	45	technician	married	secondary	no	59	yes	no	unknown	29	may	609	2	-1	0	unknown	no
31866	48	management	divorced	tertiary	no	507	yes	no	cellular	9	apr	528	1	-1	0	unknown	no
2866	41	blue-collar	married	secondary	no	338	yes	no	unknown	14	may	87	1	-1	0	unknown	no
42326	40	admin.	married	tertiary	no	764	yes	no	unknown	17	nov	85	1	-1	0	unknown	yes
27086	46	unemployed	single	tertiary	no	1808	no	no	cellular	21	nov	221	1	-1	0	unknown	no
1208	34	management	married	tertiary	no	133	yes	no	unknown	8	may	65	1	-1	0	unknown	no
8986	53	housemaid	married	primary	no	1903	no	no	unknown	5	jun	827	1	-1	0	unknown	no
7002	49	blue-collar	married	secondary	no	457	yes	yes	unknown	28	may	189	2	-1	0	unknown	no
37963	30	blue-collar	married	secondary	no	1717	yes	no	cellular	14	may	197	3	-1	0	unknown	no
3097	51	housemaid	married	primary	no	289	no	no	unknown	14	may	97	5	-1	0	unknown	no
21302	32	management	single	tertiary	no	1117	no	no	cellular	18	aug	219	4	-1	0	unknown	no
6443	51	blue-collar	divorced	secondary	no	78	yes	no	unknown	27	may	723	2	-1	0	unknown	no
4207	22	blue-collar	single	secondary	no	0	yes	no	unknown	19	may	123	1	-1	0	unknown	no
38292	31	blue-collar	single	secondary	no	39	yes	no	cellular	15	may	123	5	-1	0	unknown	no
20325	40	self-employed	married	tertiary	no	271	yes	no	cellular	11	aug	265	4	-1	0	unknown	no
9277	40	blue-collar	married	primary	no	1613	yes	no	unknown	5	jun	541	3	-1	0	unknown	no
15338	59	blue-collar	married	secondary	no	-139	no	no	cellular	18	jul	33	1	-1	0	unknown	no
42157	31	management	single	tertiary	no	220	yes	no	cellular	4	nov	257	2	184	2	failure	no
3677	36	services	single	unknown	no	281	yes	no	unknown	16	may	515	1	-1	0	unknown	yes
17006	54	housemaid	married	secondary	no	209	yes	yes	cellular	25	jul	97	1	-1	0	unknown	no
5176	53	blue-collar	married	secondary	no	1023	yes	no	unknown	21	may	150	3	-1	0	unknown	no
41991	30	management	single	tertiary	no	398	no	no	cellular	27	oct	102	1	180	3	success	yes
28592	37	technician	married	secondary	no	1120	yes	no	cellular	29	jan	88	3	244	5	failure	no
