	content	label
1074	katrinaneufeld Does a French whore smell better or worse than ur down home Blackstone variety?	1
11720	nick that video is so fucking killer	0
14902	haha umm thats on the outside for people to buy beauty is on the skinny models but inside the store there's more for all shapes and beauty is really on the inside. the inside just doesnt sell	0
6269	Online nakedness amuses me.  'Oh my god  he has nipples!  And skin!  He's a freak!'.	1
14922	Is there one thing all of your love interests have had in common?	0
7456	i couldnt agree more. HATE sandra lee!	1
12672	schmap published 3 photos of mine of Paris (tour de france  gay pride and Les Halles  all are on flickr.com)	0
17339	Tell me who it is cause I really don't know?	0
2377	FUCKING ELLAS A RETARDED CUNT ALOT OF PEOPLE COULD DO A BETETER JOB THEN HERE SHES RACIST AGAINST BLACKS	1
17870	If God created them then hellz yes!	0
7747	my time sucks... having a difficult time MANAGING w/o the structure of college classes but I really want to work w/ you on it	0
18670	hahah okey dokey!..sweet thang(;	0
2399	I hate FCC they are evil	1
16597	Ummm probably playing softball for 10 years(:	0
16688	If a stripper gets breast implants can she write it off on her taxes as a business expense?	0
18467	Sean Stouffer lol VVV lol jk naw it wasn&;t me	0
12698	"What  you didn't like the link to ""Pulp Fiction"" fucking short version?"	0
4831	Judge Chevere at the Daley Center..she's hispanic and a bad ass! Too bad i'd never want to go to law school..	1
2428	http://twitpic.com/vme7 - that sucks!	1
6594	!!!!!!!!!!! FUCK YEAH YOU DID. &lt;3 &lt;3 &lt;3	1
19703	Do you like the smell of weed?	0
4206	Stop getting so damn skinny and maybe your pants will fit! =P	1
4954	ur smater than me then. last year  i was out on nye sick as fuck. came home with pneumonia	1
15759	How many lies do you think you have told in your life time?	0
11826	I'd love one of your yummy jew cupcakes...not riding these days  however  as fat can testifies  so no cupcake for me! :(	0
17824	? no?	0
16650	When was the last time your inbox was empty? Lol do you remember what an empty inbox likes	0
18695	MMMMHHHMMM i love chinese and mexican. haha	0
16221	have to	0
5887	You know damn well your boss is going to leave early.  When the mouse is away . . .	1
9066	Well  snuggles up in a most decidedly non-sexual kind of way. Hey  I don't want Jaye kicked my ass! Well.....  ;-)	0
6943	hahaha. once years ago when he was sleeping I applied some to his lips. I hate it when guys hve better lips 4 lipstick than me	1
16397	My 17th. My family went to Florida Disney World for a week and on the way back they took me to the beach  its what I wanted. I was sick the last 3 days and the entire way home. It was great.	0
10922	I hate public restrooms. 'Specially this one: http://graphics1.snopes.com/photos/arts/graphics/toilet2.jpg	0
10124	Damn man  that sucks. Do you think you'll ever get another cat?	0
17338	Do you have two formsprings me? Because I&;m following a different account and it&;s still you? Haha	0
2476	Son. Of. A. Bitch. :-p	1
6507	they look SO dumb. and omg i hate cassidee. ugh. just ask @applicantjan LOL ;)	1
18033	LMFAO!  If you haven&;t seen this  you totally need to.  http://www.youtube.com/watch?v=tkjyZHZhokM&amp;feature=popular	0
7631	I hate them. I eat them for dessert. I will keep following you. I believe in your cause	1
17017	ummmmmm  i would like to move back to idaho falls because it was really pretty and i miss all my friends.. but i guess california or new jersey or new york would be cool. :) p.s. who is this? i love the questions	0
3771	I totally forgot Affliction!!!' fuck outta here!! I got ur tribal tattoo right here!!!!!!!!	1
9874	I wouldn't touch the mall with a 10 foot poll right now. The traffic was backed up the street when I drove by. Crazy ass people!	0
9759	That's a damn lie.	0
17442	If a book on &apos;How to achieve success?&apos; is a failure  is it a success?	0
7292	I'll be a crab ass with you. BAH HUMBUG!	1
1420	I guess everything's alright but I hate this still.	1
697	omg I know  everyone tells me I'm a twitter whore  lol	1
2749	I wanna fuck you.	1
4190	can you help clue me in on how to connect all facebook etc? thanks for coming last nite hope you didnt hate it lol	1
13264	that's bad ass. I'm right on portage and wise. Hang outs and drukenness should ensue. If you need help moving hit me up	0
10648	http://itweet.net/web/ kicks some serious ass.	0
16673	i L o v e Y u h h ! ! ! ! (:	0
3456	pissed off? I'm ready to go Mumbai on their fucking asses. We're too soft. We need to start blowing shit up.	1
3296	wtf? That is so gay.	1
12296	I know!  Going to have to mix some up to bring with me  I hate paying for drinks when I go out.	0
8504	damn form fill.. I didn't even notice.	0
2966	Tell them you want YouTube to quit fucking with things that no one wants fucked with.	1
18208	yes.	0
1212	ahh damn it: Action 12.1.5.0 of Microsoft.SharePoint.Upgrade.SPSearchDatabaseSequence failed. and i didn't snap shot my VM DOH!	1
2989	yeah we do... damn this time difference *HUGS*	1
18026	chicken veggie penne. Its amazingg :]	0
15690	lmfao.r :)hahagreat	0
16846	What&;s the last play you saw?	0
136	u got me lemming for some laneige whitening shit! ive been breakin out lately n i need somethin to whiten my damn acne scars bleh	1
15043	Have you ever been to Hollywood  CA?	0
6205	"Is ""heavy hitler"" sort of like ""fat elvis""?"	1
13391	damn ur in Vegas already super trucker @@ www.TruckingRooster.com  @@	0
10532	#NAME?	0
19462	Do you prefer Tupac the best singer in the WORLD i mean was he dead and who doesnt like lee	0
10403	mega pig out foodie session for you today!	0
6111	LIKE YOU HATE A HUNDRED DOLLAR TIP. the other strippers must be SO JELLY. JAAAAY KAAAAAYYYYYY	1
10653	Mht. klatrev&#230;g kan du m&#229;ske hive fat i @solberg - han er friluftsmand og tidligere ansat i en Spejder Sport :)	0
13351	No fucking kidding eh?	0
2009	@scanman and @asthepumpturns. Yeah  I am a mean mean person. Horribly judgemental towards one specific victim. Poor guy. Retard.	1
322	you are fucking killing me. Please come to a party at my house next time yer in LA. Rice pilaf will be ready	1
16578	Idk hoe get cha own cup of blackberry with a hint of lemon ice tea. Dayumm! hahah JK Brooke?	0
13282	fucking Bretts. I am pining my hopes on Garrard ans Jacksonville cause the fucking Jets suck.	0
14716	lost in the bed sheets yo	0
3152	Thinking about response/actions. Have decided its not going 2b ideal 4 anyone. Its sticky bc its family. Theres love/hate/dislike	1
3318	"Girl  talked to Black Milk on the phn for an hour. Watching ""Big Bang Theory"" drunk as fuck  eating cereal & its cold in the D."	1
5030	A gay couple getting married in NYC isn't going to change anyone's idea about marriage. Divorce has redefined marriage.	1
