	content	label
449	because I hate you. The last one I rewrote cuz there was a typo and it was bothering me	1
15091	hahahahahahahahahhahahaha lmao hahahahahah gosh i no!!!!!!!!!!!!!!!!	0
17098	Nope	0
1266	lol at zach telling us google is evil and the translator on msn is fucking prime.	1
18871	when my little brother was diagnosed with cancer and we all thought we were going to lose him :( it was a dark moment.	0
6928	Damn iPhone made my Brad & Angelina pick blurry!  http://twitpic.com/rddb	1
4319	stop saying you hate gwen! Youposted earlier saying you love her! Ur hot then ur cold ur yes then ur nooooo	1
4645	Damn straight!	1
5551	Sounds like good times. I'm in the office until 7:00 and then I'll probably go for a run. I'm a fat boy getting fatter.	1
14382	Do you sleep with your closet doors open or closed?	0
17063	Im going to spam anonymously k? You down?	0
7467	it is not only terrible... it really sucks.	1
14091	what does it take to make you smile ?	0
16938	Hahah Helllz yess! I will mamas!!<3 love u!	0
1110	damn homie where did you get that stat??	1
5998	you are such a whore LOL	1
2376	that sucks!	1
1446	I know - I really wanted to go to the show - but I gotta be responsible. I was in class w/all the idiots. I hate them all!	1
1687	lol tell her to go sit her ass down somewhere lol	1
18235	A painted wooden dragon.	0
12228	"One time I said ""cunt"" and all hell broke loose via DM. you'd think I'd called bush a genius I got so much hate mail"	0
13538	my ex  swore he wasnt wit a girl that kept calling  and had pics in tha cell of her.friend shyt my ass..never introduced me to ...	0
6724	ps...ur cute...ur good looking  your funny  your a dick  your an ass  your cynical. I LOVE IT!	1
15317	I hope all of you have a good day. I need to go clean house. My stepdad is coming here from Arkansas with his fiance. (My mom and him divorced 3 yrs back) And they are going to stay a few days. So to everyone  I hope you have a great day. And I will quest	0
17210	no i live on my own :)	0
3846	motherfucker stop drinking Red Bull ADDICT! watch ulcers eat at your stomach lining bitch!	1
18	"read that this morning. my fav is how they just straight up say ""cum shots"""	1
10183	gotcha. No probs here but I expect her to stay up all damn nite next year. :)	0
15593	Is April really your sister? Related by blood?	0
9513	Hmm. Fine then. RAIN! I HATE YOU! NEVER RAIN AGAIN!	0
3795	Clearly. Decepticonian bitch. Or at least incomprehensible. We shall steal her bras!	1
7784	Weird. I gotta say  I love my pig.	0
1619	He doesn't seem clueless to me. He seems sweet and cute and witty and eloquent and charming. *swoon* Damn the luck.	1
14210	I would so travel thee world  Visit my overseas besties then shop everywhere!<3	0
3496	admit it. You're secretly in training for RSA. @beaker who? I can see it now: Cigar  red-bull  and can of whoop-ass. Nice.	1
14163	Can you drive a manual shift vehicle?	0
3774	i had to... i deleted the annoying bitch. she kept making me puke in my mouth	1
1258	lenee  that bo*o ass incense you gave me smells like an episcopalian funeral. lol! choked out saturday night  etc.	1
2455	Son of a bitch!	1
13291	You only just started hitting up the Mass Effect? Its pretty bad ass all round I reckon.	0
9004	I know...I thought he decided to stay here....that sucks. What I'd give to catch him under the mistletoe...	0
8907	Ringo sucks - George will always be my favorite	0
7909	:  that sucks!  well  maybe not...  maybe i can get some things done before you start buggin' me. ;)	0
3624	ok  I had to say cock-blocked cuz  you know  it's a rooster. But apparently favrd doesn't like me	1
