	content	label
18081	Yhuuuu and Brandon are ssssssooooo cute !!! ;]<333	0
11595	its not hate on government  its hate on our existing government.	0
7837	dammit I need to get an iphone. no  damn verizon...	0
12064	yeah i want one! but fuck if i cant find one anywhere.	0
16806	THE LAST MESSAGE WAS JUST FOR PEOPLE WHO ARE BEING RUDE IF YOUR NOT DISREGARD!!! :)) SORRY IF I OFFENDED ANY OF YOU!!!	0
9643	no  she'll be back. i say fuck it all.	0
7070	I nominate @benmack for a Shorty Award in #business because he is a bad ass who says it likes he means it.	1
93	ask him why he's jumping out of the window. And ask him hows he gonna do it in those tight ass jeans???	1
15102	g-r-e-a-t.r it was a small chair  i was like sitting in your lap.	0
1073	And you didn't even make it a dick joke? I feel like I don't know you.	1
14507	where is Old Zealand?	0
2843	Damn  that sounds good...	1
19077	What is your religion?	0
15600	nothing really	0
14274	would you ever consider dateing a girl?	0
17827	Stretch your left arm out as far as you can  What can you touch?	0
15831	Strawberry-Banana Smoothies from Jack in the Box ;D Yah dig?	0
2341	8 fucking am.	1
1443	omg who sent you a fuck you letter??	1
14032	B3(kyy	0
9256	Get it  &#191;? Damn . And now you people  @yuuppiitsannee and @hiiemily  see why I'm terrible.	0
12881	I hope you're fucking right now. Birthday sex for the win!	0
7175	the only show more thug is the nigga who be in the woods eating beetles and drinking his piss! that niggas GANGSTA!	1
13367	They're rioting at a college level! Did you see the pool? THEY FLIPPED THE BITCH!	0
8829	I wish I could take the credit... fuck it I'm going to try to	0
5136	hey man! You =gay! Lol jk	1
5207	Rooster is my bitch!	1
4064	they look SO dumb. and omg i hate cassidee. ugh. just ask @applicantjan LOL ;)	1
19584	What age would you liek to get married?	0
17163	tv cuz i can always find my shows online :D	0
1211	follow me  you jackass. i hate you sometimes.	1
3980	they don't use Euros yet? damn lol	1
10616	well that just sucks no matter how you look at it! Try & have a good day..	0
9214	I hate sisters	0
629	Who owns one - I just fix 'em! Hate it when electricals go to Hades.	1
3965	pls do....i was gon call molly maids up in this piece. i hate cleanin with a passion so early spring cleanin is some mf'in bull	1
8298	who cares about normal people? Normality sucks.	0
9024	that looks bad ass  don't think it's gonna happen on this trip. I did see Hundertwasser's work on the sewage plant  pix to come.	0
