	content	label
10751	Hmmm maybe but I hate my voice...	0
12076	it's ok to bitch. Just be as quick to post good stuff too. Life is too great to just focus on the bad shit.	0
11303	Aww man! Dat sucks. . But at least ya got something to fall back on! Now GRIND HARD! I LOVE YOUR SONGS!	0
9850	YOU'RE BEAUTIFUL AND I LOVE YOU  YOU GODDAMN WHORE &lt;333	0
7291	Savor my ass. ;-p	1
2205	FUCK YEA! THX! Id like to thank all my influences from my grandma (rip) to Sam L.  id also like to thank myself for being great!	1
5029	Fat Boys have a new song?!	1
2407	twitter whore!	1
16679	vampire :)	0
516	god a free cure show! damn!  I didn't know about this & I live close! ugh lucky lucky how was it??	1
7903	that was when wrestling was bad ass. Raw is war  against wcw	0
13219	I nominate @mia for a Shorty Award in #Awesomeness because well  isn't it fucking obvious why? :)	0
12902	Whoa. Quite a heavy-hitter to hang out with the vagabonds and tellers of dick jokes. Guess we know who to blackmail first.	0
10732	to b more complete (if u r Twittering Hugh): I don't think Hugh Jackman is gay.	0
2887	I got it. How many damn websites do u have homie! Sheesh!	1
644	I was trying 2 use it the other day also & had the hardest time. I said fuck it &just called the person. It wasn't working.	1
3548	WPMU can go fuck itself	1
17972	no regrets.	0
9763	safe travels and kick some ass in California.	0
10756	now that damn song is in my freaking head! fuck. * does that dance again * hahaha im out night!	0
17094	Have you ever cheated in a relationship?	0
18294	To all the people saying that Tabi is fake: Shut your faces. She isn&;t fake  I know for a fact.	0
18871	when my little brother was diagnosed with cancer and we all thought we were going to lose him :( it was a dark moment.	0
12342	I know!!! You'd better get your ass back here by March!	0
7571	MOD_ELLA IS A FUCKING CUNT	1
6877	don't you hate yogurt! When you do recover from hating yogurt  go to Trader Joe's  get the Greek style kind  it's fantastic!	1
19546	Beachhh !	0
4705	i hate you! i want to be in bed :(	1
14226	idk but thats a good question. i always wonder the same thing. and why the parents allow them to be in it in the first place?	0
13509	Good is fucking Gracious? Sounds naughty...	0
393	I'm kinda meh on it--It wouldn't even be a contest as Madonna would kick his ass while he was running around screaming.	1
12434	Hey... If my lazy ass can do it.. you can too! :)	0
17584	Any plans to become a doctor someday?	0
4969	damn.. maybe ur next twitmance will be whole ass..	1
7428	and you're a smug cunt  so it must be true!	1
18415	how do you no that??	0
18934	Being an atheist means we dont need to believe. We choose to believe either because their is no proof or because god has done nothing for us. We may not believe in god but we do believe there is good reason to not believe he exists.	0
4811	: Dude  you're gonna hate me! Here... more T-shirts for da T-shirt lovers : - http://snurl.com/8fhdw  : )	1
6809	what the fuck do you have to apologize for??	1
15010	Lemon :] hahaha	0
16279	Ok  to answer your question honestly  I do want to smell your feet  but I swear the truth is that I did *not* ask you those questions  previously. That honestly was someone else.	0
13177	She's actually latina with a thick ass accent but she thought that I was lying about not speaking spanish to avoid talking to  ...	0
10626	FUCK I'M FOLLOWING HIM NOW STFU haha	0
9111	has a stick up her ass.	0
16471	Idk where anything gets its name from. But i would like to name something sometime! :(	0
7907	something about piss should do. or zebras.	0
9947	ive also made yarn and synth hair braid ones. Can wear as pig tails or one big pony tail	0
14416	If given the chance would you like to come back as a ghost?	0
10535	sucks that the Source link is wrong	0
17183	y0 v@q!N@ sm3lL lykK c0tT@q3 (h33s3	0
18070	Sunshine. Lots of food and hanging with my boyfriend and family :]r Awesomeness.	0
15634	Umm its not really your business  maybe if i knew who you were i could tell you...	0
2461	that sucks.	1
13064	damn cat....who does he think he is LOL	0
18457	Of course! :]	0
13666	damn ol boi still acttin up?!	0
2329	I wish I could punch you square in the face. that's how much I hate you right now.	1
9440	Hate to run into _him_ at Guantanamo Bay ;-)	0
6500	Damn Girl! Aww  that'll be cake at the rate YOU are chalking them up. Nice seasonal pic and awesome tweets btw.	1
12050	actually i think that would be Brendon. so we would have rufus_: I hate jackhammers. Brendon: jackhammers??? cupcakes!!!	0
1706	I hate math really do!but will be happy as well when I finish university!	1
1127	You ruin fucking everything.	1
2449	You know all about some interpretive gay dancing.	1
2948	u got me lemming for some laneige whitening shit! ive been breakin out lately n i need somethin to whiten my damn acne scars bleh	1
2588	im a big fan of betty and u is ugler than her so fuck up bitch u ugly shit head	1
