	age	workclass	fnlwgt	education	education_num	marital_status	occupation	relationship	race	sex	capital_gain	capital_loss	hours_per_week	native_country	class
19316	21	Private	400635	Some-college	10	Never-married	Other-service	Not-in-family	White	Female	0	0	20	?	<=50K
10208	42	Private	186376	Bachelors	13	Married-civ-spouse	Other-service	Husband	Asian-Pac-Islander	Male	0	0	72	Philippines	>50K
20917	52	Private	98588	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	40	United-States	<=50K
9014	62	Private	134768	HS-grad	9	Married-civ-spouse	Transport-moving	Husband	White	Male	0	0	40	United-States	>50K
31623	45	Self-emp-not-inc	149640	Prof-school	15	Never-married	Prof-specialty	Not-in-family	White	Male	0	0	30	United-States	>50K
11007	52	Private	139671	Some-college	10	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	1977	50	United-States	>50K
8316	64	Local-gov	237379	HS-grad	9	Married-civ-spouse	Handlers-cleaners	Husband	White	Male	3471	0	40	United-States	<=50K
7561	35	Private	163237	Bachelors	13	Married-civ-spouse	Sales	Husband	White	Male	0	0	52	United-States	>50K
16240	37	Private	183345	Assoc-voc	11	Never-married	Craft-repair	Not-in-family	White	Male	0	0	45	United-States	<=50K
9991	55	State-gov	337599	Some-college	10	Divorced	Adm-clerical	Not-in-family	White	Male	0	0	40	United-States	<=50K
25694	43	Private	339814	Some-college	10	Married-civ-spouse	Prof-specialty	Husband	White	Male	5178	0	40	United-States	>50K
26059	60	Private	239576	Masters	14	Married-civ-spouse	Transport-moving	Husband	White	Male	0	0	10	United-States	<=50K
30090	45	Private	481987	Masters	14	Married-civ-spouse	Tech-support	Husband	White	Male	0	0	18	United-States	>50K
23926	59	Private	118358	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	40	United-States	>50K
10650	30	Private	291951	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	Black	Male	0	0	40	United-States	<=50K
17107	25	Private	164488	Bachelors	13	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	40	?	<=50K
30957	45	Private	179659	Bachelors	13	Married-civ-spouse	Craft-repair	Husband	White	Male	3103	0	40	United-States	>50K
19028	61	Private	115023	Some-college	10	Married-civ-spouse	Adm-clerical	Husband	White	Male	0	0	40	United-States	>50K
23673	47	Self-emp-not-inc	191175	5th-6th	3	Married-civ-spouse	Sales	Husband	White	Male	0	2179	50	Mexico	<=50K
31271	74	Private	54732	Some-college	10	Married-civ-spouse	Sales	Husband	White	Male	0	0	20	United-States	>50K
18119	64	Self-emp-not-inc	30664	Assoc-voc	11	Married-civ-spouse	Farming-fishing	Husband	White	Male	0	0	30	United-States	<=50K
15631	42	State-gov	83411	HS-grad	9	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	40	United-States	>50K
21159	59	Private	258579	Some-college	10	Married-civ-spouse	Transport-moving	Husband	White	Male	3103	0	35	United-States	>50K
16782	45	Private	301802	Bachelors	13	Married-civ-spouse	Transport-moving	Husband	White	Male	0	0	50	United-States	>50K
14968	47	Private	250170	HS-grad	9	Married-civ-spouse	Machine-op-inspct	Husband	Black	Male	0	0	40	United-States	>50K
7255	35	State-gov	98776	HS-grad	9	Never-married	Tech-support	Own-child	White	Male	0	0	40	United-States	<=50K
7383	50	Private	144361	HS-grad	9	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	0	0	50	United-States	>50K
23708	40	Federal-gov	219266	HS-grad	9	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	40	United-States	>50K
