	age	workclass	fnlwgt	education	education_num	marital_status	occupation	relationship	race	sex	capital_gain	capital_loss	hours_per_week	native_country	class
273	27	Local-gov	209109	Masters	14	Never-married	Prof-specialty	Own-child	White	Male	0	0	35	United-States	<=50K
16652	31	Private	128493	HS-grad	9	Divorced	Other-service	Not-in-family	White	Female	0	0	25	United-States	<=50K
4670	33	Private	198003	Some-college	10	Married-civ-spouse	Craft-repair	Husband	White	Male	7298	0	50	United-States	>50K
17205	21	Private	257781	Some-college	10	Never-married	Craft-repair	Own-child	White	Male	0	1719	30	United-States	<=50K
30092	68	Self-emp-not-inc	261897	10th	6	Widowed	Farming-fishing	Unmarried	White	Male	0	0	20	United-States	<=50K
584	31	Self-emp-not-inc	340939	Bachelors	13	Never-married	Tech-support	Not-in-family	White	Male	0	0	40	United-States	<=50K
16517	31	Private	198069	HS-grad	9	Never-married	Other-service	Own-child	White	Male	0	0	24	United-States	<=50K
22847	42	Private	173704	Some-college	10	Married-civ-spouse	Sales	Husband	White	Male	0	1887	50	United-States	>50K
24142	47	Private	266860	Some-college	10	Married-civ-spouse	Sales	Husband	White	Male	0	0	65	United-States	>50K
32103	34	?	330301	7th-8th	4	Separated	?	Unmarried	Black	Female	0	0	40	United-States	<=50K
12531	43	Private	210844	Bachelors	13	Divorced	Exec-managerial	Not-in-family	Black	Female	0	0	40	United-States	>50K
3623	31	Private	247328	9th	5	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	3137	0	40	Mexico	<=50K
31905	18	Private	183824	12th	8	Never-married	Other-service	Own-child	White	Male	0	0	30	United-States	<=50K
25606	41	Self-emp-not-inc	144002	Bachelors	13	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	60	United-States	>50K
11597	41	Local-gov	183224	Masters	14	Married-civ-spouse	Prof-specialty	Wife	Asian-Pac-Islander	Female	0	0	40	Taiwan	>50K
9427	39	Self-emp-inc	33975	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	50	United-States	<=50K
8347	45	Local-gov	203322	Some-college	10	Divorced	Adm-clerical	Not-in-family	White	Female	0	0	38	United-States	<=50K
12848	29	Private	150861	Some-college	10	Never-married	Adm-clerical	Not-in-family	White	Female	0	0	40	Japan	<=50K
21156	57	Private	204751	Some-college	10	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	40	United-States	>50K
9857	61	Self-emp-not-inc	96073	Prof-school	15	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	50	England	>50K
5416	74	Private	211075	HS-grad	9	Married-civ-spouse	Other-service	Husband	White	Male	0	0	30	United-States	<=50K
4194	18	Private	129010	12th	8	Never-married	Craft-repair	Own-child	White	Male	0	0	10	United-States	<=50K
2048	28	Private	303954	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	White	Male	0	1848	42	United-States	>50K
5349	25	Private	168943	Bachelors	13	Married-civ-spouse	Exec-managerial	Wife	White	Female	0	0	30	United-States	>50K
5544	33	Local-gov	342458	Assoc-acdm	12	Divorced	Protective-serv	Not-in-family	White	Male	0	0	56	United-States	<=50K
4294	28	Private	212640	Prof-school	15	Never-married	Prof-specialty	Not-in-family	White	Female	0	0	85	United-States	<=50K
31975	25	Private	98155	Some-college	10	Never-married	Prof-specialty	Own-child	White	Male	0	0	40	United-States	<=50K
20630	34	Private	69251	Some-college	10	Married-civ-spouse	Other-service	Husband	Asian-Pac-Islander	Male	0	0	40	Philippines	<=50K
20121	40	Federal-gov	26880	Some-college	10	Never-married	Adm-clerical	Unmarried	White	Female	0	0	40	United-States	<=50K
7935	20	Private	245297	Some-college	10	Never-married	Other-service	Not-in-family	White	Female	0	0	20	United-States	<=50K
19752	32	Private	178615	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	White	Male	2407	0	40	United-States	<=50K
21545	17	?	241021	12th	8	Never-married	?	Own-child	Other	Female	0	0	40	United-States	<=50K
13246	19	Private	99246	11th	7	Never-married	Machine-op-inspct	Not-in-family	White	Female	0	0	25	United-States	<=50K
945	54	Local-gov	166398	Some-college	10	Divorced	Exec-managerial	Unmarried	Black	Female	0	0	35	United-States	<=50K
30717	25	Private	397317	Assoc-acdm	12	Never-married	Prof-specialty	Not-in-family	White	Female	0	0	40	United-States	<=50K
12655	36	Self-emp-inc	216711	HS-grad	9	Married-civ-spouse	Exec-managerial	Husband	White	Male	99999	0	50	?	>50K
24172	77	Private	154205	HS-grad	9	Widowed	Adm-clerical	Not-in-family	White	Female	0	0	10	United-States	<=50K
21274	43	?	109912	Bachelors	13	Married-civ-spouse	?	Wife	White	Female	0	0	7	United-States	>50K
