	age	workclass	fnlwgt	education	education_num	marital_status	occupation	relationship	race	sex	capital_gain	capital_loss	hours_per_week	native_country	class
26897	31	Private	195750	1st-4th	2	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	45	United-States	<=50K
28484	31	Private	159979	Some-college	10	Never-married	Sales	Not-in-family	Asian-Pac-Islander	Female	0	0	50	United-States	<=50K
10695	54	Federal-gov	21698	Bachelors	13	Divorced	Exec-managerial	Unmarried	White	Female	0	0	40	United-States	<=50K
22586	61	Self-emp-inc	187124	HS-grad	9	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	20	United-States	>50K
15140	32	Self-emp-not-inc	154950	Some-college	10	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	30	United-States	<=50K
19460	31	Private	253354	10th	6	Married-civ-spouse	Sales	Husband	White	Male	0	0	40	United-States	<=50K
15181	28	Private	189257	9th	5	Never-married	Handlers-cleaners	Own-child	Black	Female	0	0	24	United-States	<=50K
14879	51	Local-gov	97005	7th-8th	4	Married-civ-spouse	Transport-moving	Husband	White	Male	0	0	40	United-States	<=50K
14990	52	State-gov	254285	Doctorate	16	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	1887	70	Germany	>50K
25360	34	State-gov	366198	Doctorate	16	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	45	Germany	>50K
26862	48	Self-emp-not-inc	160724	Bachelors	13	Married-civ-spouse	Exec-managerial	Husband	Asian-Pac-Islander	Male	0	0	40	Japan	<=50K
20056	38	Self-emp-not-inc	151322	HS-grad	9	Separated	Craft-repair	Not-in-family	White	Male	0	0	40	United-States	<=50K
18906	43	State-gov	506329	Bachelors	13	Married-civ-spouse	Prof-specialty	Husband	Asian-Pac-Islander	Male	15024	0	40	?	>50K
21255	51	Self-emp-inc	124963	Masters	14	Married-civ-spouse	Sales	Husband	White	Male	0	0	40	United-States	>50K
4794	48	Private	175925	HS-grad	9	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	0	0	48	United-States	<=50K
18385	43	Private	180303	Bachelors	13	Married-civ-spouse	Exec-managerial	Husband	Asian-Pac-Islander	Male	0	0	50	United-States	>50K
13754	42	Private	107276	Some-college	10	Never-married	Exec-managerial	Not-in-family	White	Female	0	2444	40	United-States	>50K
12810	47	Private	110243	11th	7	Married-civ-spouse	Other-service	Husband	White	Male	0	0	40	United-States	<=50K
14366	42	Private	87284	Prof-school	15	Married-civ-spouse	Prof-specialty	Husband	White	Male	7298	0	35	United-States	>50K
32209	35	Private	241153	Assoc-voc	11	Never-married	Tech-support	Not-in-family	White	Male	0	0	40	United-States	<=50K
30722	48	Self-emp-not-inc	200825	Some-college	10	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	30	United-States	>50K
29052	29	Private	124953	Bachelors	13	Never-married	Prof-specialty	Own-child	White	Male	0	0	50	United-States	<=50K
7195	27	Self-emp-not-inc	206889	Some-college	10	Married-civ-spouse	Farming-fishing	Husband	White	Male	0	0	50	United-States	<=50K
28857	48	Private	149210	HS-grad	9	Separated	Craft-repair	Unmarried	Black	Male	0	0	45	United-States	<=50K
12074	33	Self-emp-inc	239018	Doctorate	16	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	60	United-States	<=50K
19733	58	Federal-gov	244830	Bachelors	13	Separated	Prof-specialty	Not-in-family	White	Male	4787	0	40	United-States	>50K
