	age	workclass	fnlwgt	education	education_num	marital_status	occupation	relationship	race	sex	capital_gain	capital_loss	hours_per_week	native_country	class
10896	36	Private	198237	Bachelors	13	Married-civ-spouse	Prof-specialty	Husband	White	Male	15024	0	50	United-States	>50K
24738	57	Private	112840	Masters	14	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	55	United-States	>50K
9129	29	Private	149324	Some-college	10	Married-civ-spouse	Craft-repair	Husband	White	Male	0	1485	40	United-States	>50K
14837	21	Private	82847	Some-college	10	Never-married	Tech-support	Not-in-family	White	Female	0	0	50	United-States	<=50K
13813	31	Private	43819	Bachelors	13	Married-civ-spouse	Prof-specialty	Wife	White	Female	7688	0	43	United-States	>50K
8917	47	Private	285200	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	40	United-States	<=50K
7565	34	Private	52537	HS-grad	9	Never-married	Transport-moving	Unmarried	Black	Male	0	0	30	United-States	<=50K
8581	51	Self-emp-not-inc	174824	HS-grad	9	Never-married	Farming-fishing	Not-in-family	White	Male	8614	0	40	United-States	>50K
11046	23	?	141003	HS-grad	9	Never-married	?	Own-child	White	Male	0	0	60	United-States	<=50K
5339	20	Private	190963	Some-college	10	Never-married	Exec-managerial	Not-in-family	White	Female	0	0	30	United-States	<=50K
12637	70	Self-emp-inc	131699	Bachelors	13	Divorced	Exec-managerial	Unmarried	White	Female	0	0	55	United-States	<=50K
22000	46	Self-emp-not-inc	198759	Prof-school	15	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	2415	80	United-States	>50K
13871	55	Self-emp-not-inc	51499	Some-college	10	Married-civ-spouse	Farming-fishing	Husband	White	Male	0	0	72	United-States	<=50K
16472	23	Private	462294	Assoc-acdm	12	Never-married	Other-service	Own-child	Black	Male	0	0	44	United-States	<=50K
28110	34	Self-emp-inc	157466	HS-grad	9	Married-civ-spouse	Adm-clerical	Husband	White	Male	0	0	45	United-States	<=50K
10951	38	Private	80771	Bachelors	13	Married-civ-spouse	Prof-specialty	Wife	White	Female	0	0	40	United-States	>50K
15642	36	Private	184659	HS-grad	9	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	0	0	40	United-States	>50K
25399	40	Private	153238	Bachelors	13	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	1902	32	United-States	>50K
11737	47	Private	274883	HS-grad	9	Married-civ-spouse	Transport-moving	Husband	White	Male	0	0	40	United-States	<=50K
21382	62	Local-gov	41793	Masters	14	Separated	Prof-specialty	Not-in-family	White	Female	0	0	50	?	<=50K
5889	39	Private	146091	Bachelors	13	Married-civ-spouse	Prof-specialty	Wife	White	Female	0	0	20	United-States	>50K
13949	66	?	260111	Some-college	10	Married-civ-spouse	?	Husband	White	Male	0	0	40	United-States	>50K
31241	60	Self-emp-not-inc	33717	11th	7	Married-civ-spouse	Farming-fishing	Husband	White	Male	0	0	50	United-States	<=50K
