	age	workclass	fnlwgt	education	education_num	marital_status	occupation	relationship	race	sex	capital_gain	capital_loss	hours_per_week	native_country	class
1642	48	Private	126754	Masters	14	Married-civ-spouse	Prof-specialty	Husband	White	Male	15024	0	40	United-States	>50K
1209	36	Private	135289	HS-grad	9	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	0	0	45	United-States	<=50K
28412	26	Private	134004	Some-college	10	Married-civ-spouse	Exec-managerial	Wife	White	Female	0	0	40	United-States	<=50K
14104	80	Private	148623	Prof-school	15	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	35	United-States	>50K
12796	41	Private	38397	HS-grad	9	Divorced	Other-service	Not-in-family	White	Female	0	0	40	United-States	<=50K
27326	21	Private	222993	HS-grad	9	Never-married	Machine-op-inspct	Own-child	White	Male	0	0	40	United-States	<=50K
21481	59	Private	31137	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	40	United-States	>50K
25533	33	Local-gov	422718	HS-grad	9	Married-civ-spouse	Other-service	Husband	White	Male	0	0	40	United-States	<=50K
18126	51	Self-emp-not-inc	111283	HS-grad	9	Divorced	Exec-managerial	Not-in-family	White	Female	99999	0	35	United-States	>50K
1353	39	Private	191161	Some-college	10	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	40	United-States	<=50K
31245	63	Private	117473	Some-college	10	Married-civ-spouse	Prof-specialty	Husband	White	Male	4386	0	40	United-States	>50K
11784	38	State-gov	134069	Masters	14	Married-civ-spouse	Exec-managerial	Husband	White	Male	7298	0	60	United-States	>50K
6363	61	Local-gov	176753	HS-grad	9	Married-civ-spouse	Farming-fishing	Husband	White	Male	0	0	48	United-States	<=50K
13023	52	Private	42924	12th	8	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	45	United-States	<=50K
11337	32	Private	360593	HS-grad	9	Divorced	Sales	Unmarried	Black	Female	0	0	30	United-States	<=50K
15223	31	Private	323069	Assoc-acdm	12	Divorced	Sales	Unmarried	White	Female	0	880	45	United-States	<=50K
9801	36	Private	188069	Some-college	10	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	50	United-States	>50K
20063	22	Private	153516	Bachelors	13	Never-married	Prof-specialty	Not-in-family	White	Male	0	0	40	United-States	<=50K
12910	57	Private	139290	HS-grad	9	Divorced	Other-service	Not-in-family	White	Male	0	0	38	United-States	<=50K
22600	51	Private	207449	Bachelors	13	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	55	United-States	<=50K
13090	51	Private	136121	Assoc-voc	11	Divorced	Adm-clerical	Unmarried	White	Female	0	0	38	United-States	<=50K
10487	27	Private	285897	HS-grad	9	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	1848	45	United-States	>50K
21628	35	Private	108946	HS-grad	9	Divorced	Tech-support	Unmarried	White	Female	0	0	40	United-States	<=50K
9806	66	Private	66008	HS-grad	9	Widowed	Priv-house-serv	Not-in-family	White	Female	0	0	50	England	<=50K
14907	22	Private	113062	Bachelors	13	Never-married	Prof-specialty	Own-child	White	Female	0	0	40	United-States	<=50K
31387	34	State-gov	118551	Bachelors	13	Married-civ-spouse	Tech-support	Own-child	White	Female	5178	0	25	?	>50K
16061	30	Private	340917	HS-grad	9	Never-married	Craft-repair	Not-in-family	White	Male	0	0	40	United-States	<=50K
