	age	job	marital	education	default	balance	housing	loan	contact	day	month	duration	campaign	pdays	previous	poutcome	y
41856	34	services	single	tertiary	no	3119	no	no	cellular	16	oct	306	1	-1	0	unknown	yes
31871	41	services	married	secondary	no	803	yes	no	cellular	9	apr	592	4	316	3	failure	yes
24230	47	blue-collar	married	secondary	no	1484	no	no	cellular	17	nov	297	1	119	3	failure	no
44816	35	management	married	unknown	no	2326	yes	yes	cellular	16	sep	319	1	-1	0	unknown	yes
37749	34	blue-collar	single	secondary	no	1351	yes	no	cellular	14	may	334	2	-1	0	unknown	no
23457	38	technician	married	secondary	no	-104	no	no	cellular	28	aug	13	17	-1	0	unknown	no
42259	50	admin.	married	secondary	no	3608	yes	no	cellular	13	nov	176	2	197	2	success	yes
12729	34	self-employed	married	tertiary	no	-236	yes	no	cellular	7	jul	118	4	-1	0	unknown	no
32202	37	technician	married	secondary	no	1762	no	no	cellular	16	apr	334	2	-1	0	unknown	yes
7732	34	technician	divorced	secondary	no	1451	yes	no	unknown	30	may	1097	15	-1	0	unknown	yes
25191	45	management	married	tertiary	no	-73	no	no	cellular	18	nov	125	2	-1	0	unknown	no
35545	36	management	divorced	tertiary	no	-252	yes	no	cellular	7	may	235	2	293	1	other	no
31061	37	technician	married	tertiary	no	127	yes	no	cellular	13	feb	71	1	-1	0	unknown	yes
5915	59	technician	married	secondary	no	-247	yes	no	unknown	26	may	131	1	-1	0	unknown	no
16145	26	services	married	secondary	no	-379	yes	yes	cellular	22	jul	1237	7	-1	0	unknown	yes
42804	56	retired	divorced	primary	no	694	no	no	cellular	29	jan	144	1	102	1	other	yes
45165	33	technician	married	tertiary	no	2976	yes	no	cellular	9	nov	465	2	95	12	other	no
11740	50	technician	divorced	secondary	no	396	no	no	unknown	20	jun	716	2	-1	0	unknown	yes
30312	41	management	married	tertiary	no	13874	no	no	cellular	5	feb	255	1	234	2	other	no
33510	32	technician	single	secondary	no	1995	yes	no	cellular	20	apr	121	1	-1	0	unknown	yes
38838	28	services	single	secondary	no	1636	yes	no	cellular	18	may	97	1	355	2	failure	no
12332	36	blue-collar	married	secondary	no	2103	no	yes	unknown	26	jun	71	1	-1	0	unknown	no
29518	27	management	single	secondary	no	924	yes	no	cellular	3	feb	84	1	-1	0	unknown	no
405	50	management	married	tertiary	no	0	no	no	unknown	6	may	326	1	-1	0	unknown	no
18569	49	technician	married	secondary	no	133	no	no	cellular	31	jul	81	5	-1	0	unknown	no
26854	46	blue-collar	married	primary	no	6150	yes	no	cellular	20	nov	157	2	-1	0	unknown	no
42224	44	self-employed	divorced	tertiary	no	1070	yes	no	cellular	11	nov	172	1	91	5	success	yes
34083	58	unemployed	married	secondary	no	687	yes	no	cellular	30	apr	341	2	-1	0	unknown	yes
39456	29	technician	single	secondary	no	590	no	no	cellular	25	may	124	1	-1	0	unknown	yes
34248	49	management	married	tertiary	no	1	yes	no	cellular	4	may	7	4	-1	0	unknown	no
20433	48	management	single	tertiary	no	5904	yes	no	cellular	12	aug	127	2	-1	0	unknown	no
29306	41	management	single	tertiary	no	601	yes	yes	cellular	2	feb	457	2	-1	0	unknown	no
33721	29	blue-collar	single	secondary	no	2	yes	yes	cellular	21	apr	379	5	-1	0	unknown	yes
34035	30	admin.	single	secondary	no	270	no	no	cellular	30	apr	437	1	80	1	success	yes
34452	30	self-employed	single	tertiary	no	0	yes	no	cellular	5	may	57	1	301	1	failure	no
42557	33	management	married	tertiary	no	1808	no	no	cellular	28	dec	250	3	-1	0	unknown	yes
38637	40	blue-collar	married	primary	no	1841	yes	no	cellular	15	may	880	4	-1	0	unknown	yes
8560	40	blue-collar	married	primary	no	919	yes	no	unknown	3	jun	327	2	-1	0	unknown	no
33107	31	blue-collar	single	primary	no	2488	yes	no	cellular	20	apr	14	1	-1	0	unknown	no
39881	50	technician	married	secondary	no	3370	no	no	cellular	2	jun	160	2	-1	0	unknown	yes
8564	25	management	married	primary	no	168	yes	no	unknown	3	jun	801	1	-1	0	unknown	yes
17197	36	technician	married	secondary	no	-90	yes	no	cellular	28	jul	110	3	-1	0	unknown	no
20105	39	technician	divorced	secondary	no	454	no	no	cellular	11	aug	73	2	-1	0	unknown	no
40984	56	management	married	tertiary	no	616	no	no	cellular	13	aug	293	2	105	2	success	yes
4136	47	blue-collar	married	secondary	no	863	yes	no	unknown	19	may	943	2	-1	0	unknown	yes
39093	25	services	single	secondary	no	1119	yes	no	cellular	18	may	1063	1	-1	0	unknown	yes
37584	58	services	married	primary	no	2946	yes	no	cellular	14	may	467	1	-1	0	unknown	yes
20669	44	technician	single	secondary	no	244	yes	no	cellular	12	aug	1735	4	-1	0	unknown	yes
43240	31	technician	married	tertiary	no	1570	yes	no	cellular	8	mar	277	4	286	1	failure	yes
35089	31	blue-collar	single	secondary	no	-457	yes	no	cellular	6	may	270	4	366	2	failure	no
15322	34	services	married	secondary	no	-102	yes	no	cellular	18	jul	185	1	-1	0	unknown	no
13302	26	technician	married	secondary	no	370	no	yes	cellular	8	jul	1061	4	-1	0	unknown	yes
24098	38	management	married	tertiary	no	385	yes	no	telephone	28	oct	154	1	-1	0	unknown	yes
2394	31	technician	single	tertiary	no	279	yes	no	unknown	13	may	198	1	-1	0	unknown	no
33582	55	admin.	married	secondary	no	499	yes	yes	cellular	20	apr	124	4	150	1	other	no
43463	32	management	single	tertiary	no	2016	no	no	cellular	13	apr	232	1	348	1	success	yes
18935	52	blue-collar	married	primary	no	1054	no	no	cellular	4	aug	273	1	-1	0	unknown	no
44147	30	student	single	secondary	no	459	no	no	cellular	13	jul	98	2	210	22	success	no
44155	36	management	single	unknown	no	62	no	no	cellular	13	jul	311	1	91	2	success	yes
43361	47	management	single	tertiary	no	334	yes	no	cellular	26	mar	360	1	326	8	failure	yes
38180	26	services	married	secondary	no	77	yes	no	cellular	15	may	619	1	340	4	failure	yes
12699	39	management	married	primary	no	551	no	yes	cellular	7	jul	107	5	-1	0	unknown	no
32312	44	management	married	primary	no	294	no	no	cellular	16	apr	165	3	-1	0	unknown	yes
21415	61	management	married	secondary	no	985	no	no	cellular	18	aug	998	6	-1	0	unknown	yes
29524	54	management	married	tertiary	no	1303	no	no	cellular	3	feb	1635	1	-1	0	unknown	yes
44311	46	technician	married	unknown	no	3308	no	no	cellular	28	jul	219	2	-1	0	unknown	yes
45203	23	student	single	tertiary	no	113	no	no	cellular	17	nov	266	1	-1	0	unknown	yes
44450	34	admin.	divorced	secondary	no	661	yes	no	cellular	5	aug	245	2	183	10	failure	yes
26544	36	management	single	tertiary	no	2032	no	yes	cellular	20	nov	736	1	-1	0	unknown	yes
39264	58	management	married	primary	no	76	yes	no	telephone	18	may	54	4	-1	0	unknown	no
42314	43	management	married	tertiary	no	3186	no	no	cellular	16	nov	380	1	88	1	failure	yes
43001	35	self-employed	single	tertiary	no	353	no	no	cellular	11	feb	352	1	183	1	success	yes
44815	60	retired	married	secondary	no	975	no	no	cellular	16	sep	303	1	792	1	failure	yes
39669	49	housemaid	married	primary	no	5038	yes	no	telephone	27	may	108	1	-1	0	unknown	no
44702	26	technician	single	secondary	no	1105	yes	no	cellular	6	sep	415	1	297	3	other	yes
34003	42	management	married	tertiary	no	6060	yes	no	cellular	30	apr	316	1	350	2	failure	yes
44349	45	management	single	tertiary	no	4831	no	no	cellular	30	jul	852	3	182	11	success	yes
35956	59	retired	married	tertiary	no	148	yes	yes	cellular	8	may	685	2	366	1	other	yes
37328	52	services	married	primary	no	306	yes	no	cellular	13	may	650	5	-1	0	unknown	yes
44397	60	housemaid	married	secondary	no	0	no	no	telephone	3	aug	676	2	181	5	failure	yes
44723	61	retired	married	primary	no	56	no	no	cellular	7	sep	288	3	-1	0	unknown	yes
40368	73	retired	married	tertiary	no	448	no	no	cellular	22	jun	68	1	90	1	success	no
22335	52	management	married	tertiary	no	1227	no	no	cellular	22	aug	1123	4	-1	0	unknown	yes
24145	38	management	married	tertiary	no	1101	yes	no	telephone	9	nov	43	1	-1	0	unknown	no
22575	31	management	single	tertiary	no	18	no	no	cellular	22	aug	332	3	-1	0	unknown	no
22590	59	admin.	married	secondary	no	6264	no	no	cellular	22	aug	353	16	-1	0	unknown	no
18257	54	management	married	tertiary	no	1938	yes	no	telephone	31	jul	81	7	-1	0	unknown	no
43640	46	blue-collar	married	secondary	no	640	yes	no	cellular	6	may	246	1	55	5	success	yes
42756	44	technician	married	secondary	no	2776	yes	no	cellular	27	jan	701	1	-1	0	unknown	yes
9671	36	self-employed	married	secondary	no	1245	yes	no	unknown	6	jun	1469	9	-1	0	unknown	yes
43464	36	management	single	tertiary	no	436	no	no	cellular	13	apr	567	1	595	2	failure	yes
829	34	management	single	tertiary	no	872	yes	no	unknown	7	may	105	2	-1	0	unknown	no
11171	37	management	married	tertiary	no	11265	no	no	unknown	18	jun	417	1	-1	0	unknown	no
43064	48	admin.	married	secondary	no	660	no	no	cellular	18	feb	318	1	561	2	success	yes
7679	55	unemployed	single	primary	no	5	yes	no	unknown	30	may	63	2	-1	0	unknown	no
39304	24	entrepreneur	single	secondary	no	69	yes	no	cellular	18	may	35	3	-1	0	unknown	no
36948	43	blue-collar	married	primary	no	250	yes	no	cellular	12	may	144	5	342	16	failure	no
44267	37	technician	single	tertiary	no	0	yes	no	cellular	23	jul	366	6	-1	0	unknown	yes
1838	51	blue-collar	married	secondary	no	22	yes	yes	unknown	9	may	178	1	-1	0	unknown	no
34337	63	management	married	unknown	no	2352	no	no	telephone	4	may	475	7	-1	0	unknown	yes
20497	41	management	married	tertiary	no	557	yes	yes	cellular	12	aug	148	4	-1	0	unknown	no
40111	28	unemployed	single	secondary	no	538	no	no	cellular	4	jun	114	3	-1	0	unknown	no
43399	60	blue-collar	married	primary	no	7929	no	no	unknown	1	apr	111	1	-1	0	unknown	yes
34950	53	management	divorced	secondary	no	28	yes	no	cellular	6	may	135	2	289	1	failure	no
6228	41	self-employed	married	primary	no	-8	yes	no	unknown	27	may	643	2	-1	0	unknown	no
41332	34	blue-collar	married	secondary	no	1464	yes	no	cellular	28	aug	207	3	130	5	other	yes
42241	51	management	married	tertiary	no	346	no	no	cellular	12	nov	134	2	192	3	failure	yes
31047	22	student	single	secondary	no	381	no	no	cellular	12	feb	227	1	-1	0	unknown	yes
45012	51	management	married	tertiary	no	469	no	no	cellular	14	oct	491	1	182	3	success	yes
29898	31	management	married	tertiary	no	141	yes	no	cellular	4	feb	572	2	238	7	other	yes
11558	41	housemaid	married	secondary	no	876	no	no	unknown	19	jun	78	1	-1	0	unknown	no
8356	45	admin.	divorced	secondary	no	-121	yes	no	unknown	3	jun	197	5	-1	0	unknown	no
15149	27	services	single	secondary	no	1820	yes	no	cellular	17	jul	1027	1	-1	0	unknown	yes
43838	55	admin.	married	secondary	no	8304	no	no	cellular	1	jun	201	1	-1	0	unknown	yes
31814	60	unemployed	married	secondary	no	2000	no	no	cellular	8	apr	58	1	-1	0	unknown	no
27715	23	unemployed	single	primary	no	1003	no	no	telephone	27	nov	8	1	-1	0	unknown	yes
20056	34	technician	single	tertiary	no	449	no	no	cellular	8	aug	765	3	-1	0	unknown	no
41842	77	retired	married	tertiary	no	0	no	no	cellular	16	oct	847	1	60	1	success	yes
34512	39	blue-collar	married	primary	no	579	yes	yes	cellular	5	may	98	4	-1	0	unknown	no
29533	45	unknown	married	unknown	no	19706	yes	no	cellular	3	feb	419	3	-1	0	unknown	no
7592	35	management	single	tertiary	no	4	yes	no	unknown	30	may	449	1	-1	0	unknown	no
15451	43	entrepreneur	married	secondary	no	104	yes	no	cellular	18	jul	635	3	-1	0	unknown	yes
33521	58	services	divorced	secondary	no	739	yes	no	cellular	20	apr	304	7	335	5	failure	no
9943	57	management	married	primary	no	595	no	no	unknown	9	jun	188	2	-1	0	unknown	no
9705	48	management	married	tertiary	no	-1232	yes	no	unknown	6	jun	183	1	-1	0	unknown	no
16039	44	technician	single	tertiary	no	342	yes	no	cellular	22	jul	70	1	-1	0	unknown	no
11715	48	management	married	tertiary	no	5320	yes	no	unknown	20	jun	792	1	-1	0	unknown	yes
42629	47	admin.	single	secondary	no	3696	no	no	cellular	12	jan	758	4	-1	0	unknown	yes
4345	48	services	divorced	secondary	no	858	yes	no	unknown	19	may	353	4	-1	0	unknown	no
43868	30	technician	single	secondary	no	1165	no	no	cellular	4	jun	204	2	183	3	success	yes
2846	59	retired	married	secondary	no	2516	yes	yes	unknown	14	may	282	1	-1	0	unknown	no
43068	25	self-employed	single	unknown	no	1179	no	no	cellular	18	feb	150	2	185	3	failure	no
44635	37	management	married	tertiary	no	1113	no	no	cellular	1	sep	265	2	183	2	success	yes
45016	40	management	married	tertiary	no	0	no	no	cellular	14	oct	1410	3	-1	0	unknown	no
26993	33	services	married	secondary	no	255	yes	yes	cellular	21	nov	588	2	184	2	failure	no
17362	40	self-employed	single	tertiary	no	1616	no	no	telephone	28	jul	1009	7	-1	0	unknown	yes
32167	27	technician	single	secondary	no	439	yes	no	cellular	15	apr	1038	2	-1	0	unknown	yes
32364	36	technician	single	secondary	no	2511	yes	no	cellular	16	apr	700	5	-1	0	unknown	yes
19465	38	management	single	tertiary	no	3813	no	no	cellular	7	aug	117	2	-1	0	unknown	no
11540	46	unknown	single	unknown	no	63	no	no	unknown	19	jun	235	1	-1	0	unknown	no
16091	41	management	married	tertiary	no	9	yes	no	cellular	22	jul	82	3	-1	0	unknown	no
20307	53	management	divorced	secondary	no	112	no	yes	cellular	11	aug	246	3	-1	0	unknown	no
44520	36	self-employed	single	tertiary	no	353	no	no	cellular	11	aug	361	2	181	2	success	yes
811	45	self-employed	divorced	secondary	no	-139	yes	no	unknown	7	may	152	3	-1	0	unknown	no
3791	59	admin.	divorced	secondary	no	174	yes	no	unknown	16	may	204	1	-1	0	unknown	no
9569	51	housemaid	married	primary	no	1275	no	no	unknown	6	jun	92	1	-1	0	unknown	no
30918	28	admin.	single	secondary	no	659	no	no	cellular	9	feb	70	2	-1	0	unknown	no
34150	61	retired	divorced	secondary	no	927	no	no	cellular	30	apr	427	3	-1	0	unknown	yes
44092	48	management	single	tertiary	no	159	no	no	telephone	7	jul	229	1	251	6	success	yes
35120	35	management	married	tertiary	no	802	yes	no	cellular	6	may	686	2	-1	0	unknown	yes
30035	59	retired	divorced	secondary	no	479	no	no	cellular	4	feb	37	5	-1	0	unknown	no
14726	29	student	single	tertiary	no	5	no	no	cellular	15	jul	889	5	-1	0	unknown	yes
36756	35	blue-collar	single	secondary	no	855	yes	no	cellular	12	may	549	1	300	1	success	yes
42779	80	retired	married	primary	no	997	no	no	cellular	28	jan	151	1	91	3	success	yes
13186	36	services	married	secondary	no	30	no	yes	cellular	8	jul	716	5	-1	0	unknown	yes
14685	41	blue-collar	divorced	primary	no	664	no	yes	cellular	15	jul	955	5	-1	0	unknown	yes
43946	49	technician	married	tertiary	no	1071	no	no	cellular	17	jun	169	1	-1	0	unknown	yes
30530	34	entrepreneur	married	tertiary	no	1076	yes	no	cellular	5	feb	136	10	-1	0	unknown	yes
43250	73	retired	married	primary	no	508	no	no	cellular	9	mar	176	1	-1	0	unknown	yes
406	58	retired	married	tertiary	no	0	no	no	unknown	6	may	393	1	-1	0	unknown	no
32196	35	management	divorced	tertiary	no	26	no	no	cellular	16	apr	78	2	-1	0	unknown	yes
