	age	job	marital	education	default	balance	housing	loan	contact	day	month	duration	campaign	pdays	previous	poutcome	y
4626	31	services	single	secondary	no	2038	yes	no	unknown	20	may	148	1	-1	0	unknown	no
14797	29	blue-collar	single	unknown	no	694	yes	yes	cellular	16	jul	1806	4	-1	0	unknown	yes
43036	49	services	married	primary	no	1830	yes	no	cellular	15	feb	136	1	-1	0	unknown	yes
25948	30	entrepreneur	married	secondary	no	12737	no	yes	cellular	19	nov	589	2	-1	0	unknown	yes
22509	31	management	single	tertiary	no	-201	yes	no	cellular	22	aug	81	4	-1	0	unknown	no
37925	50	management	married	tertiary	no	451	yes	no	cellular	14	may	441	3	-1	0	unknown	no
21826	32	technician	single	secondary	no	0	yes	no	cellular	20	aug	322	2	-1	0	unknown	no
43269	39	management	married	tertiary	no	494	no	no	cellular	10	mar	106	2	478	3	failure	yes
11887	45	management	married	tertiary	no	904	yes	yes	unknown	20	jun	14	9	-1	0	unknown	no
29317	39	entrepreneur	married	tertiary	no	4	yes	yes	cellular	2	feb	871	4	-1	0	unknown	no
27114	49	technician	married	secondary	no	8689	no	no	cellular	21	nov	586	1	-1	0	unknown	no
1128	36	blue-collar	married	primary	no	-79	no	no	unknown	7	may	159	3	-1	0	unknown	no
31111	61	retired	married	primary	no	197	no	no	cellular	17	feb	113	1	-1	0	unknown	yes
24116	58	retired	divorced	tertiary	no	3237	no	no	telephone	31	oct	615	1	-1	0	unknown	yes
31276	29	technician	married	secondary	no	2326	no	no	cellular	6	mar	195	1	-1	0	unknown	yes
26415	44	management	married	secondary	no	1103	no	no	cellular	20	nov	82	1	-1	0	unknown	no
24782	35	technician	married	secondary	no	4508	yes	no	cellular	18	nov	854	1	-1	0	unknown	yes
41722	56	admin.	married	secondary	no	16873	no	no	cellular	7	oct	223	1	-1	0	unknown	no
42403	39	technician	married	secondary	no	2983	no	no	cellular	3	dec	472	1	-1	0	unknown	yes
26028	42	management	married	tertiary	no	3713	no	no	cellular	19	nov	709	2	-1	0	unknown	yes
4313	37	management	divorced	tertiary	no	122	yes	no	unknown	19	may	1622	2	-1	0	unknown	yes
38243	26	blue-collar	single	secondary	no	26	yes	yes	cellular	15	may	899	1	-1	0	unknown	yes
39958	54	self-employed	married	tertiary	no	990	no	no	cellular	3	jun	244	2	-1	0	unknown	yes
37678	40	technician	married	tertiary	no	253	yes	no	cellular	14	may	377	4	280	2	other	no
33907	21	student	single	secondary	no	224	no	no	cellular	30	apr	871	1	-1	0	unknown	yes
25759	39	management	married	secondary	no	6012	no	no	telephone	19	nov	140	1	119	2	failure	no
33	59	blue-collar	married	secondary	no	0	yes	no	unknown	5	may	226	1	-1	0	unknown	no
37055	36	blue-collar	single	secondary	no	478	yes	no	cellular	13	may	610	1	-1	0	unknown	yes
19004	57	retired	married	secondary	no	466	no	no	cellular	5	aug	641	2	-1	0	unknown	yes
37811	36	self-employed	divorced	tertiary	no	1354	yes	no	cellular	14	may	1723	1	356	2	success	yes
18238	39	technician	single	secondary	no	391	no	yes	cellular	30	jul	962	4	-1	0	unknown	yes
24345	54	admin.	married	secondary	no	191	yes	yes	telephone	17	nov	44	1	-1	0	unknown	no
27590	31	services	married	secondary	yes	-158	yes	no	cellular	21	nov	214	2	-1	0	unknown	no
19117	55	blue-collar	married	primary	no	512	no	no	cellular	5	aug	1200	2	-1	0	unknown	yes
44608	57	retired	married	tertiary	no	1269	no	no	cellular	31	aug	1120	1	-1	0	unknown	yes
35805	42	management	married	tertiary	no	4	yes	no	cellular	8	may	579	2	295	1	success	yes
34129	39	management	married	tertiary	no	4539	no	no	cellular	30	apr	301	1	-1	0	unknown	no
5224	33	technician	single	tertiary	no	594	yes	yes	unknown	23	may	149	1	-1	0	unknown	no
40289	27	admin.	single	tertiary	no	138	no	no	cellular	15	jun	89	2	-1	0	unknown	yes
18973	45	services	married	primary	no	266	yes	no	cellular	4	aug	376	2	-1	0	unknown	no
34811	27	entrepreneur	married	unknown	no	345	yes	yes	cellular	6	may	465	1	289	4	failure	no
37249	34	technician	married	secondary	no	178	yes	no	cellular	13	may	253	1	-1	0	unknown	no
22764	39	technician	married	secondary	no	3825	no	yes	cellular	25	aug	94	6	-1	0	unknown	no
30086	33	unknown	married	secondary	no	335	no	no	cellular	4	feb	891	2	177	7	failure	yes
26942	34	admin.	single	tertiary	no	4254	yes	no	cellular	21	nov	714	1	-1	0	unknown	yes
7590	38	technician	married	secondary	no	226	yes	no	unknown	30	may	762	3	-1	0	unknown	yes
44266	33	admin.	single	tertiary	no	146	no	no	cellular	23	jul	351	3	-1	0	unknown	yes
8082	32	technician	married	secondary	no	696	yes	no	unknown	2	jun	815	1	-1	0	unknown	yes
9011	36	blue-collar	married	secondary	no	1772	no	no	unknown	5	jun	208	1	-1	0	unknown	yes
42604	55	admin.	married	secondary	no	1633	no	no	cellular	11	jan	210	1	192	2	success	yes
4455	31	blue-collar	married	secondary	no	2	yes	no	unknown	20	may	182	2	-1	0	unknown	yes
42361	38	management	married	unknown	no	3576	no	no	cellular	25	nov	349	2	183	1	success	yes
3615	61	retired	married	secondary	no	280	yes	no	unknown	15	may	88	3	-1	0	unknown	no
24076	40	management	married	tertiary	no	3352	yes	no	telephone	23	oct	138	1	-1	0	unknown	yes
12323	30	technician	married	tertiary	no	526	yes	yes	unknown	26	jun	677	3	-1	0	unknown	yes
24062	42	admin.	single	secondary	no	-247	yes	yes	telephone	21	oct	519	1	166	1	other	yes
14597	57	technician	married	secondary	no	458	no	yes	cellular	15	jul	177	3	-1	0	unknown	no
190	51	retired	married	secondary	no	2127	yes	no	unknown	5	may	172	1	-1	0	unknown	no
44070	31	student	single	secondary	no	3511	no	no	cellular	2	jul	667	1	-1	0	unknown	yes
18737	41	services	married	secondary	no	0	yes	no	cellular	31	jul	40	10	-1	0	unknown	no
21397	31	management	single	tertiary	no	11821	no	no	cellular	18	aug	384	11	-1	0	unknown	yes
38212	32	management	single	tertiary	no	336	no	no	cellular	15	may	64	4	-1	0	unknown	no
33046	31	technician	single	secondary	no	1970	no	no	telephone	17	apr	284	3	-1	0	unknown	no
23436	30	technician	single	tertiary	no	849	no	no	cellular	28	aug	81	4	-1	0	unknown	no
40622	68	retired	married	secondary	no	19317	yes	no	cellular	4	aug	249	1	-1	0	unknown	yes
36089	54	management	married	tertiary	no	7249	yes	yes	cellular	11	may	346	1	96	3	failure	no
34141	36	management	married	tertiary	no	2957	yes	yes	cellular	30	apr	193	2	265	3	success	no
40102	30	management	single	tertiary	no	3384	no	no	cellular	4	jun	578	2	-1	0	unknown	yes
40093	31	management	single	tertiary	no	617	no	no	cellular	4	jun	1161	1	97	2	success	yes
31405	21	admin.	single	tertiary	no	242	no	yes	cellular	26	mar	131	4	-1	0	unknown	no
3693	29	technician	single	tertiary	no	47	yes	no	unknown	16	may	111	11	-1	0	unknown	no
32315	48	services	married	secondary	no	543	yes	no	cellular	16	apr	152	1	336	1	failure	no
29410	34	admin.	divorced	secondary	no	66	no	no	cellular	3	feb	11	6	-1	0	unknown	no
14958	27	student	married	secondary	no	119	yes	no	cellular	16	jul	781	2	-1	0	unknown	yes
15897	51	admin.	married	secondary	no	907	yes	no	telephone	21	jul	722	3	-1	0	unknown	no
474	34	admin.	married	secondary	no	869	no	no	unknown	6	may	1677	1	-1	0	unknown	yes
12433	44	admin.	married	secondary	yes	0	no	yes	unknown	30	jun	76	3	-1	0	unknown	no
23167	40	technician	divorced	secondary	no	6	no	no	cellular	27	aug	26	16	-1	0	unknown	no
627	54	technician	divorced	secondary	no	21	yes	no	unknown	6	may	381	2	-1	0	unknown	no
26212	49	blue-collar	married	primary	no	4455	yes	no	cellular	20	nov	140	1	-1	0	unknown	no
19725	38	technician	married	secondary	no	740	no	no	cellular	7	aug	259	3	-1	0	unknown	no
30364	42	technician	single	secondary	no	541	yes	no	cellular	5	feb	656	1	-1	0	unknown	yes
40904	58	services	divorced	secondary	no	462	no	no	cellular	12	aug	332	1	-1	0	unknown	yes
145	33	services	married	secondary	no	22	yes	no	unknown	5	may	71	1	-1	0	unknown	no
30791	19	student	single	unknown	no	1169	no	no	cellular	6	feb	463	18	-1	0	unknown	no
45206	51	technician	married	tertiary	no	825	no	no	cellular	17	nov	977	3	-1	0	unknown	yes
29982	49	blue-collar	divorced	secondary	no	10613	no	yes	cellular	4	feb	1226	1	-1	0	unknown	yes
29553	38	technician	single	tertiary	no	1369	yes	no	cellular	3	feb	841	3	-1	0	unknown	no
38089	59	retired	married	tertiary	no	422	yes	no	cellular	14	may	647	4	-1	0	unknown	yes
38271	35	housemaid	married	tertiary	no	1265	yes	no	cellular	15	may	326	5	179	4	failure	yes
36192	42	technician	single	secondary	no	-853	yes	no	cellular	11	may	189	1	-1	0	unknown	no
44489	31	blue-collar	married	secondary	no	0	yes	no	unknown	10	aug	97	1	782	1	other	yes
13629	35	technician	single	tertiary	no	364	no	yes	cellular	9	jul	247	3	-1	0	unknown	no
17767	29	technician	single	tertiary	no	262	yes	yes	cellular	29	jul	510	9	-1	0	unknown	no
28179	35	technician	married	secondary	no	149	yes	no	cellular	29	jan	99	1	245	2	failure	no
42511	28	blue-collar	single	secondary	no	1705	no	no	cellular	17	dec	412	2	-1	0	unknown	yes
17124	38	admin.	married	primary	no	0	yes	yes	telephone	25	jul	163	5	-1	0	unknown	no
34565	31	blue-collar	single	secondary	no	196	yes	no	cellular	5	may	568	1	341	7	failure	yes
1646	35	blue-collar	single	secondary	no	40	yes	no	unknown	9	may	617	4	-1	0	unknown	yes
23331	44	management	married	tertiary	no	1138	no	no	cellular	27	aug	523	3	-1	0	unknown	yes
35290	58	retired	married	tertiary	no	138	no	no	cellular	7	may	143	1	346	5	failure	no
30291	47	housemaid	divorced	secondary	no	1565	no	no	cellular	5	feb	253	1	-1	0	unknown	no
6009	34	services	married	secondary	no	1414	yes	no	unknown	26	may	192	4	-1	0	unknown	no
43996	29	technician	single	secondary	no	825	no	no	cellular	25	jun	472	2	-1	0	unknown	yes
5693	42	admin.	single	unknown	no	-138	yes	no	unknown	26	may	109	1	-1	0	unknown	no
12954	47	housemaid	married	secondary	no	1152	no	no	telephone	7	jul	260	13	-1	0	unknown	no
22769	35	technician	divorced	secondary	no	0	no	no	cellular	25	aug	124	4	-1	0	unknown	no
39791	49	technician	married	secondary	no	1684	no	yes	cellular	1	jun	412	2	-1	0	unknown	yes
2093	33	blue-collar	married	primary	no	2	yes	yes	unknown	12	may	409	2	-1	0	unknown	no
41474	25	management	single	tertiary	no	89	no	no	cellular	7	sep	274	1	-1	0	unknown	no
40199	46	technician	married	secondary	no	3434	no	yes	cellular	8	jun	148	2	101	1	success	yes
19010	50	technician	married	tertiary	no	2313	no	no	cellular	5	aug	553	1	-1	0	unknown	yes
32055	62	retired	married	primary	no	1084	no	no	cellular	14	apr	505	1	-1	0	unknown	yes
20276	50	services	married	secondary	no	1	no	no	telephone	11	aug	80	10	-1	0	unknown	no
39972	34	technician	married	tertiary	no	127	no	no	cellular	3	jun	117	1	-1	0	unknown	yes
40506	38	unemployed	married	primary	no	7005	yes	no	cellular	7	jul	370	1	412	1	failure	yes
41902	72	retired	married	primary	no	1388	no	no	telephone	20	oct	513	1	-1	0	unknown	yes
19359	58	blue-collar	married	primary	no	47	no	no	cellular	6	aug	281	2	-1	0	unknown	no
11451	57	blue-collar	divorced	secondary	no	1795	yes	no	unknown	19	jun	818	1	-1	0	unknown	no
42044	72	retired	married	secondary	no	0	no	no	cellular	29	oct	189	3	-1	0	unknown	yes
3813	30	self-employed	single	secondary	no	299	yes	no	unknown	16	may	679	17	-1	0	unknown	no
39465	26	student	single	tertiary	no	5741	no	no	cellular	25	may	327	1	-1	0	unknown	no
10803	50	admin.	married	secondary	yes	-437	yes	yes	unknown	17	jun	83	1	-1	0	unknown	no
20400	47	blue-collar	married	secondary	no	2787	no	no	cellular	11	aug	479	1	-1	0	unknown	yes
15851	29	blue-collar	married	primary	no	544	no	yes	cellular	21	jul	121	4	-1	0	unknown	no
41395	48	technician	married	secondary	no	568	yes	no	cellular	2	sep	378	2	386	1	success	yes
43132	61	self-employed	divorced	tertiary	no	6610	no	no	cellular	24	feb	481	2	-1	0	unknown	yes
15235	54	self-employed	married	tertiary	no	269	yes	no	cellular	17	jul	81	3	-1	0	unknown	no
42393	60	retired	divorced	tertiary	no	4	yes	no	cellular	2	dec	415	1	190	5	failure	yes
10269	56	technician	married	secondary	no	225	yes	no	unknown	12	jun	71	12	-1	0	unknown	no
31926	30	technician	single	tertiary	no	987	no	no	cellular	9	apr	98	6	-1	0	unknown	no
24901	37	management	married	tertiary	no	3770	yes	no	cellular	18	nov	106	1	110	4	failure	no
13147	42	admin.	married	secondary	no	-150	no	yes	cellular	8	jul	249	3	-1	0	unknown	no
43065	28	technician	single	secondary	no	154	yes	no	cellular	18	feb	416	2	-1	0	unknown	yes
30701	30	student	single	tertiary	no	300	no	no	cellular	6	feb	38	1	-1	0	unknown	no
21021	44	entrepreneur	married	tertiary	no	624	no	no	telephone	14	aug	552	2	-1	0	unknown	yes
20769	37	management	married	tertiary	no	4436	no	no	cellular	13	aug	846	5	-1	0	unknown	yes
45190	32	blue-collar	married	secondary	no	136	no	no	cellular	16	nov	206	1	188	3	success	yes
19913	54	management	divorced	tertiary	no	-125	no	yes	cellular	8	aug	107	2	-1	0	unknown	no
4248	48	blue-collar	married	primary	no	6489	yes	no	unknown	19	may	263	1	-1	0	unknown	no
33715	30	blue-collar	single	unknown	no	6281	no	no	cellular	21	apr	149	2	-1	0	unknown	yes
15757	45	blue-collar	single	primary	no	695	yes	no	cellular	21	jul	167	1	-1	0	unknown	no
44891	55	services	divorced	secondary	no	0	no	no	cellular	27	sep	262	6	193	4	success	yes
24612	59	admin.	married	secondary	no	2145	no	no	telephone	17	nov	273	2	-1	0	unknown	no
24050	52	technician	married	secondary	no	5303	yes	no	unknown	19	oct	133	1	-1	0	unknown	yes
39663	37	admin.	married	secondary	no	1967	no	no	cellular	27	may	242	1	212	1	success	yes
25005	50	services	married	primary	no	1260	no	no	cellular	18	nov	172	1	-1	0	unknown	no
28605	45	management	married	secondary	no	25	no	no	cellular	29	jan	62	3	-1	0	unknown	no
5470	45	blue-collar	divorced	primary	no	-311	yes	no	unknown	23	may	1030	1	-1	0	unknown	yes
35167	32	management	married	tertiary	no	2465	yes	yes	cellular	7	may	923	1	-1	0	unknown	yes
10150	35	services	married	secondary	no	2135	no	no	unknown	11	jun	436	1	-1	0	unknown	no
44145	80	retired	married	primary	no	1468	no	no	cellular	13	jul	256	2	181	3	success	no
37325	45	blue-collar	married	tertiary	no	23	yes	yes	cellular	13	may	234	3	-1	0	unknown	no
45133	24	student	single	secondary	no	822	no	no	cellular	27	oct	184	1	91	2	failure	yes
43796	28	technician	married	secondary	no	742	no	no	cellular	26	may	236	1	-1	0	unknown	yes
44117	43	self-employed	married	tertiary	no	2501	no	no	cellular	9	jul	582	2	161	4	failure	no
25181	59	technician	divorced	secondary	no	797	yes	no	cellular	18	nov	319	2	165	2	failure	no
10546	37	management	married	tertiary	no	57	no	no	unknown	16	jun	77	1	-1	0	unknown	no
42357	31	management	single	tertiary	no	9421	no	no	cellular	25	nov	372	1	-1	0	unknown	yes
37123	34	blue-collar	married	secondary	no	1089	yes	no	cellular	13	may	394	3	-1	0	unknown	yes
29624	41	entrepreneur	married	tertiary	no	0	yes	no	cellular	3	feb	168	3	-1	0	unknown	no
39560	33	technician	single	secondary	no	4792	no	no	cellular	26	may	131	3	-1	0	unknown	no
24158	34	management	married	tertiary	no	676	no	no	telephone	11	nov	486	1	-1	0	unknown	yes
6238	34	blue-collar	single	secondary	no	1698	yes	no	unknown	27	may	39	7	-1	0	unknown	no
18502	42	admin.	single	secondary	no	4343	no	no	cellular	31	jul	245	4	-1	0	unknown	no
35305	31	blue-collar	single	secondary	no	1882	no	no	cellular	7	may	529	2	-1	0	unknown	no
43128	70	retired	married	primary	no	2346	no	no	cellular	24	feb	694	1	184	5	failure	yes
24312	51	entrepreneur	married	tertiary	no	209	no	no	cellular	17	nov	130	1	111	2	failure	no
14483	49	technician	married	secondary	no	204	no	yes	telephone	14	jul	198	5	-1	0	unknown	no
44793	35	blue-collar	married	secondary	no	262	no	no	cellular	15	sep	331	1	75	6	failure	yes
3295	40	entrepreneur	married	secondary	no	0	yes	yes	unknown	15	may	435	1	-1	0	unknown	no
28931	40	technician	single	tertiary	no	1646	yes	no	cellular	2	feb	215	1	242	2	failure	yes
14968	59	management	divorced	tertiary	no	-232	no	yes	cellular	16	jul	97	2	-1	0	unknown	no
33674	27	blue-collar	single	primary	no	497	yes	no	cellular	20	apr	255	2	272	1	other	no
20759	47	unemployed	married	secondary	no	432	no	no	cellular	13	aug	334	2	-1	0	unknown	no
37817	29	admin.	divorced	secondary	no	-254	yes	no	cellular	14	may	406	2	-1	0	unknown	yes
34937	37	management	single	tertiary	no	102	yes	no	cellular	6	may	445	1	258	2	failure	yes
43915	71	retired	divorced	primary	no	275	no	no	cellular	14	jun	293	1	425	1	success	yes
13108	38	admin.	married	secondary	no	-14	no	yes	cellular	8	jul	124	1	-1	0	unknown	no
14355	32	technician	married	tertiary	no	240	yes	yes	cellular	14	jul	86	3	-1	0	unknown	no
45193	28	self-employed	single	tertiary	no	159	no	no	cellular	16	nov	449	2	33	4	success	yes
40140	21	student	single	secondary	no	794	no	no	cellular	5	jun	191	1	-1	0	unknown	yes
8212	45	blue-collar	divorced	primary	no	6	yes	no	unknown	2	jun	159	6	-1	0	unknown	no
27021	50	admin.	married	secondary	no	4117	no	no	cellular	21	nov	530	1	-1	0	unknown	yes
40086	31	unemployed	married	secondary	no	6	no	no	cellular	4	jun	121	4	-1	0	unknown	yes
8755	29	services	single	secondary	no	-271	yes	no	unknown	4	jun	578	1	-1	0	unknown	yes
26114	31	management	married	tertiary	no	35	yes	yes	cellular	19	nov	323	2	-1	0	unknown	no
41248	48	housemaid	married	tertiary	no	5473	no	no	cellular	24	aug	232	2	-1	0	unknown	yes
29442	48	technician	married	secondary	no	197	no	yes	cellular	3	feb	47	2	222	3	other	no
33505	33	technician	married	secondary	no	1968	yes	no	cellular	20	apr	1817	3	-1	0	unknown	yes
31784	48	management	married	secondary	no	4415	yes	no	cellular	8	apr	1032	3	141	7	failure	yes
43013	36	technician	married	tertiary	no	341	no	no	cellular	12	feb	419	2	183	1	success	yes
19221	46	admin.	married	secondary	no	660	no	no	cellular	6	aug	740	2	-1	0	unknown	yes
44105	23	student	single	secondary	no	1809	no	no	cellular	8	jul	414	2	-1	0	unknown	yes
5144	37	technician	single	secondary	no	3326	yes	no	unknown	21	may	799	1	-1	0	unknown	yes
31090	21	blue-collar	single	secondary	no	2265	no	no	cellular	17	feb	92	2	-1	0	unknown	yes
43206	32	management	married	tertiary	no	2667	yes	no	cellular	4	mar	251	1	181	4	failure	yes
34771	24	blue-collar	single	secondary	no	1857	yes	no	cellular	6	may	473	4	-1	0	unknown	no
3789	57	admin.	married	secondary	no	4168	yes	yes	unknown	16	may	47	1	-1	0	unknown	no
20657	42	technician	single	tertiary	no	166	no	no	cellular	12	aug	226	4	-1	0	unknown	no
11987	38	blue-collar	married	secondary	no	-627	yes	yes	unknown	20	jun	176	4	-1	0	unknown	no
8439	37	management	single	tertiary	no	1449	no	no	unknown	3	jun	291	1	-1	0	unknown	no
5996	37	technician	married	secondary	no	4030	yes	no	unknown	26	may	178	5	-1	0	unknown	no
40295	24	admin.	single	tertiary	no	106	no	yes	cellular	15	jun	77	1	-1	0	unknown	no
10097	57	housemaid	married	primary	no	625	no	yes	unknown	11	jun	867	1	-1	0	unknown	yes
17687	46	entrepreneur	married	secondary	no	0	no	no	cellular	29	jul	100	12	-1	0	unknown	no
44429	42	management	married	tertiary	no	372	yes	no	cellular	4	aug	153	3	1	2	success	yes
2631	26	blue-collar	married	secondary	no	3108	yes	no	unknown	13	may	481	3	-1	0	unknown	no
43803	46	housemaid	married	secondary	no	38	no	no	cellular	27	may	181	3	183	1	success	yes
17742	57	management	married	tertiary	no	1602	no	no	cellular	29	jul	339	3	-1	0	unknown	no
2955	40	technician	single	unknown	no	3652	yes	no	unknown	14	may	1028	2	-1	0	unknown	yes
41789	83	retired	single	primary	no	1965	no	no	telephone	13	oct	1003	3	-1	0	unknown	yes
14423	44	admin.	divorced	secondary	no	163	yes	no	cellular	14	jul	1669	2	-1	0	unknown	yes
43023	32	technician	married	secondary	no	3271	no	no	cellular	12	feb	375	1	374	1	other	yes
15952	30	services	married	secondary	no	44	yes	yes	cellular	22	jul	90	1	-1	0	unknown	no
43442	26	management	single	tertiary	no	1646	no	no	cellular	12	apr	524	4	206	5	success	yes
24115	39	blue-collar	married	secondary	no	1307	yes	no	telephone	31	oct	158	1	-1	0	unknown	yes
15315	56	blue-collar	divorced	primary	yes	-1	no	no	cellular	18	jul	304	3	-1	0	unknown	no
40349	49	management	single	tertiary	no	7443	no	no	telephone	19	jun	293	5	211	2	failure	yes
37735	40	blue-collar	divorced	secondary	no	973	no	no	cellular	14	may	449	1	-1	0	unknown	yes
41249	37	management	married	tertiary	no	165	no	no	cellular	24	aug	315	1	83	1	other	no
6293	34	admin.	single	secondary	no	88	yes	no	unknown	27	may	169	2	-1	0	unknown	no
21172	36	technician	married	secondary	no	465	no	no	cellular	14	aug	85	1	-1	0	unknown	no
21215	32	technician	single	secondary	no	3586	no	no	cellular	18	aug	71	3	-1	0	unknown	no
30952	53	blue-collar	divorced	secondary	no	-376	yes	no	cellular	9	feb	90	2	-1	0	unknown	no
28728	29	services	single	unknown	no	196	no	no	cellular	30	jan	726	2	-1	0	unknown	yes
39675	24	admin.	single	tertiary	no	0	yes	no	cellular	27	may	122	2	-1	0	unknown	yes
42624	31	technician	single	secondary	no	2544	no	no	cellular	12	jan	229	1	279	2	success	yes
40119	46	admin.	married	secondary	no	974	no	no	cellular	5	jun	174	2	80	1	success	yes
43672	42	management	married	tertiary	no	27696	no	no	cellular	12	may	176	2	89	5	success	yes
18833	30	self-employed	single	tertiary	no	663	no	no	cellular	4	aug	222	1	-1	0	unknown	no
23007	35	technician	single	secondary	no	0	no	no	cellular	26	aug	259	2	-1	0	unknown	no
37798	33	management	single	tertiary	no	-149	yes	no	cellular	14	may	111	1	296	3	failure	no
28696	41	management	single	secondary	no	3234	yes	no	cellular	30	jan	2770	1	-1	0	unknown	yes
39351	35	services	single	secondary	no	719	yes	no	cellular	18	may	1359	3	368	3	failure	yes
36617	35	blue-collar	married	primary	no	159	yes	yes	cellular	12	may	826	1	-1	0	unknown	yes
12882	47	technician	single	secondary	no	-239	yes	yes	cellular	7	jul	973	3	-1	0	unknown	yes
39758	48	management	married	tertiary	no	1167	yes	yes	cellular	1	jun	264	1	-1	0	unknown	yes
17083	42	blue-collar	single	primary	no	1628	yes	no	cellular	25	jul	590	8	-1	0	unknown	yes
15858	34	services	single	secondary	no	-30	no	no	cellular	21	jul	1360	3	-1	0	unknown	yes
7064	34	technician	single	secondary	no	1386	yes	yes	unknown	28	may	185	6	-1	0	unknown	no
17408	31	blue-collar	single	secondary	no	-343	no	yes	cellular	28	jul	120	4	-1	0	unknown	no
3145	41	blue-collar	divorced	secondary	no	5291	yes	no	unknown	14	may	1423	3	-1	0	unknown	yes
18026	60	retired	divorced	secondary	no	1091	no	no	cellular	30	jul	441	5	-1	0	unknown	yes
26362	37	entrepreneur	married	tertiary	no	264	yes	yes	cellular	20	nov	276	1	157	1	failure	no
31097	51	technician	married	secondary	no	196	yes	yes	cellular	17	feb	88	1	-1	0	unknown	yes
4547	33	services	married	secondary	no	403	yes	no	unknown	20	may	274	2	-1	0	unknown	no
7379	45	blue-collar	divorced	primary	no	594	yes	no	unknown	29	may	833	2	-1	0	unknown	yes
11570	57	retired	married	secondary	no	2020	no	no	unknown	19	jun	93	4	-1	0	unknown	no
36476	43	blue-collar	married	primary	no	0	yes	no	cellular	12	may	48	3	285	4	failure	no
31765	35	technician	single	secondary	no	16	yes	no	cellular	8	apr	903	1	-1	0	unknown	yes
12796	32	admin.	married	secondary	no	1604	no	yes	cellular	7	jul	625	1	-1	0	unknown	yes
25562	32	blue-collar	married	primary	no	3136	yes	no	cellular	19	nov	820	1	-1	0	unknown	yes
31644	39	management	single	tertiary	no	2651	no	no	cellular	6	apr	139	2	136	5	other	no
3702	42	admin.	divorced	secondary	no	153	yes	no	unknown	16	may	844	1	-1	0	unknown	yes
32117	33	management	married	secondary	no	336	no	no	cellular	15	apr	179	3	-1	0	unknown	yes
26542	30	admin.	married	secondary	no	1794	no	no	cellular	20	nov	1035	1	-1	0	unknown	yes
7149	50	technician	married	secondary	no	1541	yes	no	unknown	29	may	744	1	-1	0	unknown	no
43262	52	unemployed	married	secondary	no	1416	no	no	cellular	10	mar	436	2	182	1	success	yes
24419	57	admin.	married	secondary	no	92	no	yes	cellular	17	nov	49	3	-1	0	unknown	no
18081	54	technician	married	secondary	no	114	no	no	cellular	30	jul	458	3	-1	0	unknown	yes
10970	40	management	married	secondary	no	106	no	no	unknown	17	jun	676	2	-1	0	unknown	yes
31065	33	management	single	tertiary	no	3552	no	no	cellular	13	feb	158	2	85	3	failure	yes
6997	51	blue-collar	married	primary	no	593	yes	no	unknown	28	may	157	2	-1	0	unknown	no
42633	49	management	married	tertiary	no	1093	yes	yes	cellular	12	jan	243	2	91	2	success	yes
31303	28	management	single	secondary	no	171	no	no	cellular	10	mar	93	1	-1	0	unknown	yes
44473	62	management	married	tertiary	no	1859	no	no	telephone	6	aug	245	3	-1	0	unknown	yes
18646	40	admin.	married	secondary	no	1412	no	no	cellular	31	jul	48	3	-1	0	unknown	no
24298	55	management	married	secondary	no	2410	yes	no	cellular	17	nov	135	1	-1	0	unknown	no
40918	33	technician	married	tertiary	no	4401	no	no	cellular	12	aug	96	2	104	1	success	no
24220	57	management	married	secondary	no	7162	no	no	cellular	17	nov	83	1	-1	0	unknown	no
36784	51	blue-collar	married	primary	no	1164	yes	no	cellular	12	may	100	1	369	2	failure	no
14599	27	unemployed	married	secondary	no	1228	no	no	cellular	15	jul	77	2	-1	0	unknown	no
14931	39	management	married	tertiary	yes	-1586	yes	yes	cellular	16	jul	89	2	-1	0	unknown	no
29291	30	self-employed	single	tertiary	no	432	yes	no	cellular	2	feb	402	1	-1	0	unknown	yes
22579	30	self-employed	married	tertiary	no	-517	yes	yes	cellular	22	aug	123	2	-1	0	unknown	no
5635	39	management	married	tertiary	no	540	yes	yes	unknown	23	may	1066	2	-1	0	unknown	no
31738	25	admin.	single	secondary	no	82	no	yes	cellular	7	apr	104	2	-1	0	unknown	yes
