	age	job	marital	education	default	balance	housing	loan	contact	day	month	duration	campaign	pdays	previous	poutcome	y
38555	57	technician	married	secondary	no	225	yes	no	telephone	15	may	22	7	337	12	failure	no
39795	52	technician	married	secondary	no	0	yes	no	cellular	1	jun	144	1	83	1	failure	no
9983	41	technician	single	secondary	no	0	no	no	unknown	9	jun	229	2	-1	0	unknown	no
30517	31	services	single	unknown	no	347	yes	no	cellular	5	feb	254	3	260	1	failure	no
35210	40	services	divorced	primary	no	4	yes	no	cellular	7	may	171	2	-1	0	unknown	no
28989	34	management	married	secondary	no	0	no	no	cellular	2	feb	270	1	-1	0	unknown	no
15601	31	blue-collar	single	secondary	no	324	yes	no	cellular	21	jul	167	4	-1	0	unknown	no
21052	30	management	married	tertiary	no	4022	no	no	cellular	14	aug	214	2	-1	0	unknown	no
24946	51	technician	divorced	secondary	no	131	yes	no	cellular	18	nov	193	1	-1	0	unknown	no
23890	37	management	married	tertiary	no	-9	no	no	cellular	29	aug	168	2	-1	0	unknown	no
7724	60	admin.	married	secondary	no	4120	yes	yes	unknown	30	may	422	2	-1	0	unknown	no
14050	36	management	single	tertiary	no	1339	yes	no	cellular	11	jul	136	1	-1	0	unknown	no
43370	30	self-employed	single	tertiary	no	916	no	no	cellular	29	mar	92	2	90	2	success	yes
25708	35	technician	single	unknown	no	1342	yes	no	cellular	19	nov	68	1	-1	0	unknown	no
9525	52	retired	married	secondary	no	1956	no	no	unknown	6	jun	384	2	-1	0	unknown	no
9701	35	technician	married	tertiary	no	7951	no	yes	unknown	6	jun	103	1	-1	0	unknown	no
14275	34	technician	married	secondary	no	800	yes	no	cellular	14	jul	103	3	-1	0	unknown	no
37851	35	management	single	tertiary	no	478	yes	no	cellular	14	may	107	1	265	2	failure	no
20794	55	technician	married	secondary	no	303	no	yes	cellular	13	aug	261	2	-1	0	unknown	no
2702	24	blue-collar	married	secondary	no	32	no	no	unknown	13	may	264	3	-1	0	unknown	no
705	40	blue-collar	divorced	primary	no	369	no	no	unknown	6	may	79	2	-1	0	unknown	no
5626	26	technician	single	secondary	no	-211	yes	no	unknown	23	may	164	3	-1	0	unknown	no
28286	28	admin.	married	secondary	no	172	yes	no	cellular	29	jan	282	1	248	2	other	no
15824	28	services	married	secondary	no	6567	yes	no	cellular	21	jul	522	1	-1	0	unknown	no
18011	44	housemaid	divorced	primary	no	629	no	no	cellular	30	jul	432	4	-1	0	unknown	no
2566	41	management	married	tertiary	no	0	yes	no	unknown	13	may	161	1	-1	0	unknown	no
23436	30	technician	single	tertiary	no	849	no	no	cellular	28	aug	81	4	-1	0	unknown	no
18525	53	management	married	tertiary	no	3366	no	no	cellular	31	jul	128	2	-1	0	unknown	no
8950	59	blue-collar	married	secondary	no	87	no	no	unknown	4	jun	65	10	-1	0	unknown	no
29008	58	retired	married	unknown	no	662	yes	no	cellular	2	feb	389	1	-1	0	unknown	no
5957	43	admin.	married	secondary	yes	-204	yes	no	unknown	26	may	163	2	-1	0	unknown	no
26606	33	student	single	tertiary	no	3404	yes	no	cellular	20	nov	105	2	171	3	failure	no
2062	25	blue-collar	single	secondary	no	249	yes	no	unknown	12	may	149	5	-1	0	unknown	no
15954	42	technician	divorced	secondary	no	-263	yes	no	cellular	22	jul	307	1	-1	0	unknown	no
43102	23	student	single	secondary	no	381	no	no	cellular	23	feb	696	1	189	2	other	yes
19980	35	self-employed	married	tertiary	no	1987	no	no	cellular	8	aug	335	3	-1	0	unknown	no
32185	30	unemployed	single	tertiary	no	1683	no	no	cellular	15	apr	162	2	-1	0	unknown	no
23379	58	retired	married	secondary	no	235	no	no	cellular	27	aug	88	4	-1	0	unknown	no
5624	34	management	married	secondary	no	240	yes	no	unknown	23	may	260	3	-1	0	unknown	no
34613	54	technician	married	secondary	no	-258	yes	no	cellular	5	may	65	3	342	1	other	no
23683	40	management	married	tertiary	no	558	no	no	cellular	28	aug	50	5	-1	0	unknown	no
32608	31	admin.	single	secondary	no	223	yes	no	cellular	17	apr	508	1	315	11	success	no
31614	29	technician	married	secondary	no	-547	yes	yes	cellular	6	apr	225	1	-1	0	unknown	no
7469	48	blue-collar	married	unknown	no	2201	yes	no	unknown	29	may	364	2	-1	0	unknown	no
10720	49	entrepreneur	married	tertiary	no	388	yes	no	unknown	16	jun	142	2	-1	0	unknown	no
28043	27	student	single	secondary	no	760	no	no	cellular	28	jan	177	2	-1	0	unknown	no
6108	36	admin.	married	secondary	no	0	yes	no	unknown	27	may	578	2	-1	0	unknown	no
8536	30	blue-collar	single	secondary	no	855	yes	no	unknown	3	jun	235	2	-1	0	unknown	no
23227	48	technician	married	secondary	no	98	no	no	cellular	27	aug	146	4	-1	0	unknown	no
9309	39	blue-collar	single	unknown	no	2841	yes	no	unknown	5	jun	1121	3	-1	0	unknown	no
21638	36	technician	married	tertiary	no	71	no	no	cellular	19	aug	587	2	-1	0	unknown	no
22065	51	housemaid	married	primary	no	3486	no	no	cellular	20	aug	135	11	-1	0	unknown	no
42900	29	management	single	tertiary	no	308	no	no	cellular	4	feb	162	2	184	1	failure	no
38331	31	blue-collar	married	primary	no	-365	yes	no	cellular	15	may	36	1	-1	0	unknown	no
32701	60	retired	married	primary	no	0	yes	no	cellular	17	apr	68	3	343	1	other	no
15572	26	services	single	secondary	no	3	no	yes	cellular	21	jul	140	4	-1	0	unknown	no
145	33	services	married	secondary	no	22	yes	no	unknown	5	may	71	1	-1	0	unknown	no
38194	38	housemaid	divorced	tertiary	no	4312	no	no	cellular	15	may	67	4	175	6	failure	no
39604	21	technician	single	unknown	no	360	no	no	cellular	26	may	131	2	-1	0	unknown	yes
7660	43	admin.	divorced	tertiary	no	1440	yes	yes	unknown	30	may	254	1	-1	0	unknown	no
9301	45	self-employed	married	tertiary	no	334	no	no	unknown	5	jun	87	2	-1	0	unknown	no
40222	25	technician	single	tertiary	no	3630	no	no	telephone	9	jun	221	7	-1	0	unknown	yes
19143	44	management	single	secondary	no	421	no	yes	cellular	5	aug	307	1	-1	0	unknown	no
4875	38	services	single	primary	no	471	yes	no	unknown	21	may	180	1	-1	0	unknown	no
27659	44	unemployed	married	secondary	no	0	no	no	cellular	21	nov	175	4	-1	0	unknown	no
25676	40	student	married	secondary	no	260	no	no	cellular	19	nov	52	1	152	6	failure	no
20363	31	technician	married	secondary	no	30	no	no	telephone	11	aug	133	5	-1	0	unknown	no
11824	56	retired	married	secondary	no	5879	no	no	unknown	20	jun	237	3	-1	0	unknown	no
28920	43	management	married	tertiary	no	228	yes	no	cellular	2	feb	84	1	-1	0	unknown	no
40482	67	management	married	tertiary	no	694	no	no	cellular	7	jul	250	1	-1	0	unknown	no
29211	34	blue-collar	married	secondary	no	7	yes	yes	cellular	2	feb	171	2	193	2	other	no
43020	47	blue-collar	married	secondary	no	3715	no	no	cellular	12	feb	171	2	182	4	other	yes
13357	33	management	married	tertiary	no	6	yes	no	cellular	8	jul	1111	1	-1	0	unknown	no
25888	43	blue-collar	married	primary	no	12618	yes	no	cellular	19	nov	25	1	-1	0	unknown	no
35165	31	blue-collar	married	secondary	no	990	yes	yes	cellular	7	may	92	1	-1	0	unknown	no
39277	33	blue-collar	married	primary	no	-132	yes	yes	cellular	18	may	170	6	-1	0	unknown	no
32694	38	blue-collar	married	primary	no	398	yes	yes	cellular	17	apr	239	1	332	1	failure	no
22201	31	technician	single	tertiary	no	26	no	no	cellular	21	aug	419	4	-1	0	unknown	no
35962	28	blue-collar	single	primary	no	16	yes	no	cellular	8	may	217	7	-1	0	unknown	no
24804	34	blue-collar	married	secondary	no	559	yes	no	telephone	18	nov	47	1	193	1	other	no
24476	36	unemployed	married	secondary	no	16	yes	yes	cellular	17	nov	89	2	-1	0	unknown	no
42502	81	retired	divorced	secondary	no	452	no	no	telephone	16	dec	443	1	-1	0	unknown	yes
4597	32	blue-collar	married	primary	no	8291	no	no	unknown	20	may	131	1	-1	0	unknown	no
42187	42	management	married	tertiary	no	2816	no	no	cellular	10	nov	193	2	-1	0	unknown	yes
20324	37	management	married	tertiary	no	2672	yes	no	cellular	11	aug	549	1	-1	0	unknown	no
8559	23	services	single	secondary	no	425	yes	no	unknown	3	jun	768	1	-1	0	unknown	yes
15087	35	unemployed	single	secondary	no	145	no	no	cellular	17	jul	354	1	-1	0	unknown	no
6422	46	blue-collar	married	primary	no	-326	yes	no	unknown	27	may	59	4	-1	0	unknown	no
11696	56	blue-collar	married	primary	no	770	yes	no	unknown	20	jun	59	3	-1	0	unknown	no
35316	57	management	married	tertiary	no	779	yes	no	cellular	7	may	282	1	367	1	failure	no
21881	54	blue-collar	married	primary	no	2584	no	no	cellular	20	aug	387	7	-1	0	unknown	no
37944	29	technician	single	secondary	no	769	yes	yes	cellular	14	may	67	3	-1	0	unknown	no
14418	54	retired	married	secondary	no	522	no	yes	cellular	14	jul	81	3	-1	0	unknown	no
17995	58	management	married	secondary	no	2739	yes	no	cellular	30	jul	86	6	-1	0	unknown	no
44759	28	admin.	married	secondary	no	1595	no	no	cellular	9	sep	268	1	254	4	success	yes
12671	48	services	married	secondary	no	1355	no	no	cellular	4	jul	134	2	-1	0	unknown	no
3503	50	management	married	tertiary	no	4904	yes	no	unknown	15	may	438	2	-1	0	unknown	no
16870	32	services	married	secondary	yes	-220	yes	yes	cellular	25	jul	123	2	-1	0	unknown	no
5890	35	management	married	secondary	no	291	yes	no	unknown	26	may	327	1	-1	0	unknown	no
19946	48	management	married	secondary	no	4415	yes	no	cellular	8	aug	148	6	-1	0	unknown	no
40652	45	management	married	tertiary	no	6945	no	no	cellular	5	aug	131	5	356	3	failure	no
20963	40	housemaid	married	secondary	no	864	no	no	cellular	14	aug	36	2	-1	0	unknown	no
17952	60	blue-collar	married	secondary	no	241	yes	no	telephone	30	jul	42	3	-1	0	unknown	no
29427	54	blue-collar	married	secondary	no	5372	yes	no	telephone	3	feb	221	2	-1	0	unknown	no
37754	31	blue-collar	married	secondary	no	625	yes	no	cellular	14	may	137	3	-1	0	unknown	no
20983	36	technician	married	secondary	no	2394	no	no	cellular	14	aug	184	2	-1	0	unknown	no
22038	34	technician	single	tertiary	no	19	no	no	cellular	20	aug	345	3	-1	0	unknown	no
39474	28	technician	single	tertiary	no	386	no	no	cellular	25	may	867	1	-1	0	unknown	yes
13939	34	management	single	tertiary	no	1171	yes	no	cellular	10	jul	129	1	-1	0	unknown	no
35319	51	retired	married	primary	no	670	yes	no	cellular	7	may	391	1	-1	0	unknown	no
44681	55	unknown	married	primary	no	159	no	no	unknown	4	sep	15	1	-1	0	unknown	no
17802	49	admin.	married	secondary	no	0	yes	yes	cellular	29	jul	71	7	-1	0	unknown	no
28100	53	self-employed	divorced	tertiary	no	8	no	no	cellular	28	jan	201	3	-1	0	unknown	no
35814	47	blue-collar	divorced	primary	no	603	yes	yes	cellular	8	may	1080	1	-1	0	unknown	yes
8462	58	services	married	primary	no	943	yes	no	unknown	3	jun	243	3	-1	0	unknown	no
41670	61	management	married	tertiary	no	1224	no	no	cellular	1	oct	99	1	-1	0	unknown	no
13814	52	services	married	secondary	no	2072	no	no	cellular	10	jul	224	1	-1	0	unknown	no
25534	52	retired	married	secondary	no	424	no	no	cellular	19	nov	143	1	154	3	failure	no
7185	35	self-employed	married	secondary	no	0	yes	no	unknown	29	may	633	6	-1	0	unknown	no
3549	33	management	single	secondary	yes	-174	yes	no	unknown	15	may	156	5	-1	0	unknown	no
12811	45	management	single	secondary	no	-57	no	yes	cellular	7	jul	262	1	-1	0	unknown	no
19334	47	technician	married	secondary	no	3973	no	no	cellular	6	aug	732	2	-1	0	unknown	no
39445	42	technician	married	secondary	no	994	yes	no	cellular	25	may	365	5	-1	0	unknown	no
40617	33	technician	married	tertiary	no	1699	no	no	cellular	4	aug	600	1	-1	0	unknown	yes
9524	37	blue-collar	married	secondary	no	1	no	no	unknown	6	jun	44	2	-1	0	unknown	no
15154	39	management	married	secondary	no	363	yes	yes	cellular	17	jul	184	1	-1	0	unknown	no
32533	33	entrepreneur	married	secondary	no	135	yes	no	cellular	17	apr	114	1	345	2	failure	no
2017	37	management	single	tertiary	no	493	yes	no	unknown	9	may	328	7	-1	0	unknown	no
45091	61	retired	married	primary	no	2686	no	no	telephone	22	oct	84	3	-1	0	unknown	no
45016	40	management	married	tertiary	no	0	no	no	cellular	14	oct	1410	3	-1	0	unknown	no
30133	56	management	married	tertiary	no	-762	yes	yes	cellular	4	feb	19	10	7	5	other	no
30061	48	unemployed	married	secondary	no	1724	no	no	telephone	4	feb	102	2	-1	0	unknown	no
4920	34	services	single	secondary	no	1157	yes	no	unknown	21	may	103	2	-1	0	unknown	no
38687	55	blue-collar	married	primary	no	135	yes	no	cellular	15	may	641	6	-1	0	unknown	no
42860	45	admin.	married	secondary	no	205	no	no	cellular	3	feb	373	1	92	1	success	yes
35242	45	management	married	tertiary	no	1033	yes	no	cellular	7	may	177	1	357	1	failure	no
37240	39	admin.	divorced	secondary	no	-427	yes	no	cellular	13	may	8	5	-1	0	unknown	no
15694	56	retired	married	secondary	no	334	no	no	cellular	21	jul	101	1	-1	0	unknown	no
6635	30	services	married	unknown	no	280	yes	yes	unknown	28	may	674	2	-1	0	unknown	no
44160	40	management	married	tertiary	no	4539	no	no	cellular	13	jul	256	3	439	1	failure	yes
29085	45	services	married	secondary	no	-75	yes	no	cellular	2	feb	134	1	252	1	failure	no
26764	37	unemployed	married	primary	no	3051	yes	no	cellular	20	nov	303	4	-1	0	unknown	no
37315	43	management	divorced	secondary	no	229	yes	yes	cellular	13	may	163	1	-1	0	unknown	no
26458	33	technician	married	secondary	no	1434	yes	no	cellular	20	nov	200	1	-1	0	unknown	no
36314	44	management	married	tertiary	no	254	yes	yes	cellular	11	may	145	2	300	3	failure	no
42633	49	management	married	tertiary	no	1093	yes	yes	cellular	12	jan	243	2	91	2	success	yes
33299	38	services	married	secondary	no	-349	yes	no	cellular	20	apr	111	2	328	5	failure	no
28227	31	admin.	single	secondary	no	547	yes	no	cellular	29	jan	272	1	-1	0	unknown	no
25217	48	admin.	married	secondary	no	1208	no	no	telephone	18	nov	126	4	-1	0	unknown	no
4474	36	technician	divorced	secondary	no	409	yes	no	unknown	20	may	25	1	-1	0	unknown	no
27666	35	services	married	secondary	no	537	no	yes	cellular	21	nov	11	4	-1	0	unknown	no
10574	37	services	married	secondary	no	40	no	no	unknown	16	jun	42	3	-1	0	unknown	no
29614	24	admin.	single	secondary	no	172	no	no	cellular	3	feb	114	1	-1	0	unknown	no
40748	65	unemployed	married	tertiary	no	0	no	no	cellular	10	aug	465	1	-1	0	unknown	no
24623	41	blue-collar	married	secondary	no	271	yes	no	cellular	17	nov	148	2	172	2	failure	no
29238	33	management	married	tertiary	no	73	yes	no	cellular	2	feb	214	1	-1	0	unknown	no
19470	45	blue-collar	married	secondary	no	2603	yes	yes	cellular	7	aug	235	2	-1	0	unknown	no
19565	47	management	married	tertiary	no	4495	no	no	cellular	7	aug	156	8	-1	0	unknown	no
38076	33	blue-collar	married	secondary	no	686	yes	yes	telephone	14	may	30	6	343	12	other	no
992	38	blue-collar	single	secondary	no	-1	yes	no	unknown	7	may	72	1	-1	0	unknown	no
32400	36	admin.	single	tertiary	no	918	yes	no	cellular	16	apr	127	2	-1	0	unknown	no
38468	40	admin.	single	secondary	no	50	no	no	cellular	15	may	837	1	-1	0	unknown	yes
7197	33	technician	married	secondary	no	1072	no	yes	unknown	29	may	144	2	-1	0	unknown	no
15695	36	technician	single	secondary	no	279	yes	no	cellular	21	jul	171	1	-1	0	unknown	no
27742	59	services	divorced	secondary	no	1	yes	no	cellular	28	jan	602	1	253	5	other	yes
7878	51	retired	divorced	secondary	no	343	yes	no	unknown	30	may	78	2	-1	0	unknown	no
32298	24	student	married	unknown	no	146	no	no	cellular	16	apr	176	1	-1	0	unknown	no
37389	33	management	divorced	tertiary	no	5550	yes	no	cellular	13	may	124	2	278	4	failure	no
20079	31	housemaid	married	primary	no	0	yes	no	cellular	11	aug	57	7	-1	0	unknown	no
19555	36	management	married	tertiary	no	1318	yes	no	cellular	7	aug	100	2	-1	0	unknown	no
5587	35	blue-collar	married	primary	no	208	yes	no	unknown	23	may	247	3	-1	0	unknown	no
9884	35	admin.	married	secondary	no	1035	yes	yes	unknown	9	jun	274	2	-1	0	unknown	no
20762	55	blue-collar	married	unknown	no	23	no	no	cellular	13	aug	123	2	-1	0	unknown	no
22368	53	blue-collar	married	primary	no	109	no	no	cellular	22	aug	86	4	-1	0	unknown	no
20484	51	management	married	tertiary	no	8304	no	no	cellular	12	aug	105	2	-1	0	unknown	no
44972	36	technician	single	secondary	no	12264	no	no	cellular	11	oct	285	1	182	2	success	yes
36675	47	blue-collar	married	secondary	no	-337	yes	yes	cellular	12	may	366	1	-1	0	unknown	no
34166	28	services	single	primary	no	307	no	no	cellular	30	apr	132	1	-1	0	unknown	no
24979	46	management	married	secondary	no	0	no	no	cellular	18	nov	1855	1	-1	0	unknown	yes
21066	30	technician	single	tertiary	no	4561	yes	no	cellular	14	aug	103	2	-1	0	unknown	no
6822	45	blue-collar	married	secondary	no	554	yes	no	unknown	28	may	179	2	-1	0	unknown	no
23100	60	admin.	married	primary	no	41	no	no	cellular	26	aug	140	6	-1	0	unknown	no
21269	36	technician	married	secondary	no	110	no	no	cellular	18	aug	80	4	-1	0	unknown	no
13556	59	blue-collar	married	primary	no	625	no	no	cellular	9	jul	133	1	-1	0	unknown	no
35804	28	student	single	secondary	no	231	yes	no	cellular	8	may	55	1	-1	0	unknown	no
30156	44	management	divorced	primary	no	641	yes	no	cellular	5	feb	79	2	269	3	other	no
11092	50	services	married	secondary	no	1134	no	no	unknown	18	jun	53	2	-1	0	unknown	no
1371	31	services	married	secondary	no	28	yes	no	unknown	8	may	101	1	-1	0	unknown	no
11318	57	blue-collar	married	primary	no	1236	no	no	unknown	18	jun	152	9	-1	0	unknown	no
8881	49	blue-collar	married	primary	no	391	yes	no	unknown	4	jun	245	1	-1	0	unknown	no
9893	36	blue-collar	single	secondary	no	284	no	no	unknown	9	jun	114	1	-1	0	unknown	no
30302	57	unemployed	married	secondary	no	890	no	no	cellular	5	feb	343	4	-1	0	unknown	no
43261	51	blue-collar	married	primary	no	3764	no	no	telephone	9	mar	450	3	181	6	success	yes
10477	44	blue-collar	married	primary	no	749	yes	no	unknown	16	jun	424	2	-1	0	unknown	no
10491	40	management	married	tertiary	no	60	no	no	unknown	16	jun	172	6	-1	0	unknown	no
29091	32	services	single	secondary	no	6857	no	no	cellular	2	feb	216	1	-1	0	unknown	no
44146	65	retired	divorced	secondary	no	828	no	no	cellular	13	jul	305	1	-1	0	unknown	yes
22053	59	entrepreneur	married	tertiary	no	-23	no	yes	cellular	20	aug	195	7	-1	0	unknown	no
41707	63	retired	married	secondary	no	415	yes	no	cellular	7	oct	323	1	-1	0	unknown	no
3070	40	blue-collar	single	unknown	no	4370	yes	no	unknown	14	may	232	2	-1	0	unknown	no
6105	35	management	married	tertiary	no	4038	yes	yes	unknown	27	may	160	6	-1	0	unknown	no
18321	56	technician	married	unknown	no	689	no	no	cellular	31	jul	232	2	-1	0	unknown	no
7510	25	blue-collar	married	primary	no	172	yes	no	unknown	29	may	95	3	-1	0	unknown	no
45028	60	retired	divorced	secondary	no	514	no	no	cellular	15	oct	187	2	213	10	success	yes
