	content	label
3524	RT this then GO fuck yourself stay the FUCL out of lives and HOPEFULLY you'll die a Horrendous DEATH for all to WATCH	1
18461	what is something that your mom doesnt know about you?	0
7368	lol ur whale penis	1
7233	Jesus fucking h Christ!!!!	1
6055	I hate 2 sound like a nigga but...will there be food? Lol	1
12411	YOU SUNNUVA BITCH. / @TarinTowers: Only one week of spoons to go!	0
14300	i like yur bg	0
5355	"I can see it now. ""Listen  you cow-loving yahoos  just put all of the slurpee in this bag! What? Cups? I don't need fucking cups!"	1
2053	Quit the gay ex and you wouldt sleep so much	1
17707	Can you do a cartwheel?	0
371	it was a good show...dude!  Did you call in gay  rotfl	1
19149	what	0
2171	FUCK AT&T!	1
15167	22 again...	0
642	ok  i can't believe i just told the haters on Momlogic to kiss your million dollar ass.	1
7001	That doesn't sound nice at all. As somebody who was made redundant with one day to trade last year with Swatch  I know it sucks!	1
203	I didn't know you were an avid football watcher. Is that even football? I think it is. Fuck sports.	1
19646	going to my grandma's	0
10722	I hate when my internet connection messes up.  I am glad yours is working better now. :-)	0
7863	that sucks.	0
2484	That's gay. Poor MCR.	1
1370	Damn dog  didnt call them like I said to? Well I is working till around 9ish	1
16772	haha i like you to hahaha :)	0
12854	bah humbug! J/K She is the shit  I always had the hots for her. Damn what happened to all this great music??	0
1724	that sucks *hugs* :(	1
11498	ooooo!! Feel bad now cause you thought wrong about that. I sent my tweet in right after your nerd tweet.	0
4113	been here more then a hour just to get my vegas shit back damn slow service shiat	1
14668	yeah i would say so.	0
335	AAYE!!!  richard gre is NOT gay-re :P	1
10329	I'm doing both. And it sucks. But I've got a lot done (work-wise) & then will spend the day finishing some Christmas stuff	0
6506	bahahaha i love you. and ugh i wish i was on my way to va with @heyheatherr fuck the weatherr.	1
4184	thanks sugar  i get a little sensitive here and there. damn holidaze!	1
7089	Hey thx!  I just hate to have Win XP crash anymore than necessary.  That is why I have been so conservative.  I'm gonna try Chrome.	1
14924	yes i think so	0
7982	DAMN mood swings..	0
19687	Thnksss.!! Umm thass juss how I do it(:!	0
5014	i'm ok  now  darlin :)  i just hate my body sometimes.  it hurts me when it's most inconvenient.  i'll be ok... :) thank youuu	1
4656	There was a MAD ABOUT YOU/ DICK VAN DYKE crossover about a decade ago.  Carl Reiner reprised his role as Alan Brady.	1
3232	You bash Nickelback  but you listen to Staind? WTF?! I hate both  btw.	1
10122	The movies are way better. Movie Light blows ass  though.	0
11571	house cum sounds good too! :D	0
4664	Amen.  Thrilled to see Brad Sucks on Rock Band 2. Congrats man  I hope you get some of those 80 MS Points. @bradsucks FTW!	1
15274	Umm.. i think 2 bhut english is my first! im learnin french! ;d hbu?!	0
587	Damn that is so unfair. Where is the version of Firefox for white  slightly balding men.	1
4670	do you under stand how much i give a fuck?	1
1839	ew u slut get on skype &lt;333333	1
3553	Frickin turnovers! Dang flags.  SD's gonna beat our ass and Denver is going to blow a 3 game lead. They don't deserve to win.	1
13394	Ah!!!! I hate loud auto-playing web video.   eeek!	0
13028	damn I have to drive my dad to the airport that time oh well wonder wit it's about	0
9806	Can I just go one day without seeing flaccid black cock  please?	0
12231	yeah i guess ishould start to hate Lu to give him more promo..lmao	0
19708	why do you do this to ashlee?	0
18746	People say &quot;I don&;t know&quot; alot. Is that a real answer? (Personally I think not.)	0
16498	Yes. all the time :)	0
14196	Nope  has anyone?	0
4923	Dick through brains	1
7182	This bad gay works for a company that likes to write people up for sneezing.	1
2376	that sucks!	1
3459	they won't let us live anywhere without coming up our ass. I want to move  now ):A	1
12292	I cant wait to go make snow angles and a fat snowman :P the little things in life	0
14888	umm a homeless guys with blackberry haha	0
5912	damn  why don't all harem leads shout that  kouhai~? would be interesting the resulting chaos	1
13633	tell them that the Mirage is a bad neighbor. They played those damn volcano sounds until 2am. Bastages.	0
3631	wow.. Thats how people get fat haha	1
5229	ha! sucks for u!!	1
1101	HUJIKHJKUILJKKJ Lmaoooooo. I cannot stand y'all asian ass ho's.	1
13090	Once again  it happens when you put yourself out on the internet. You get people that hate you...(continued)	0
1471	pimping your blog again  but damn funny.  specially including Connex	1
4803	Quit the gay ex and you wouldt sleep so much	1
2664	`` im very sexy `` My fucking ass. duuude that made me laugh so fucking hardd(: thank&;s for making my day ;D	1
17388	I don't know what an ocean park is.. but if it counts  I've went to seaworld twice :]	0
13663	well damn lol	0
15032	what would you like for your birthday? :)	0
8736	hiii lady! damn... i need some galoshes!	0
4011	jealous! I will still hug u  lick ur face off  grab ur ass  and dry hump u a little bit when I c u.  Whatever!	1
3032	My grandmother is a big bitch and my father's a fraking arsehole.	1
3680	yo I will nerd out on this shit all day!	1
9724	DAMN! thats alot of lights!	0
9493	Can I just tell you how many times I was called that as a (fat) kid? You may call me Kenny. Please!	0
6234	Aw  I know  I was just being emo haha.  It's been a LONG week on a lot of levels.  ha.  Let's do something fun tonight!	1
3707	run over my a Hyundai and ass raped by Clay Aiken. I would so prefer it the other way around.	1
667	Sorry man  hope you stop ass bleeding soon. (wow that was awkward just thinking about it)	1
6009	(cont) I say  the whole sheet costs $8.40... buy one of each and get the fuck out of my way!	1
3584	The fail whale was shown when twitter went down. It was a whale being lifted by birds.	1
4132	http://tinyurl.com/6dunlq  hate me for it later  but it's not bad	1
1504	& @lasandwich I hate calculus... :(	1
13599	damn you got those up fast! good deal. thanks for the props	0
6895	some retarded oracle peoplesoft login thing keeps coming up on my enrolment cart page and i don't know what the fuck is going on!	1
794	Kurt you're on the most watched tv station in central Ohio  your ass should be #1 already LOL. I'm just cooler than you!	1
6028	dont hate too hard!  it hasn't been very warm here lately!	1
12700	"I still say my ""Pulp Fiction"" Fucking Short Version reaction is better."	0
12052	I would hate for my baby to have hair that is wild and unmanageable! Just come home looking like a fraggle	0
6244	don't fuck with Fiat	1
8205	You? Fat? Never! And you might not be my fangirl anymore after you see mine. Kirstie Alley = Me	0
1963	"I wanna get him a ring that means ""ur a great kid to fuck"""	1
15586	How old are yu ?	0
10540	At least I didn't get the candles that I stole...stolen.  I lucked out. The case of Fat Boys was also popular this year.	0
4484	"I like to look at it as ""meeting their needs"" not necessarily ""kissing ass""... although if you can do both - do!"	1
1684	don't you hate yogurt! When you do recover from hating yogurt  go to Trader Joe's  get the Greek style kind  it's fantastic!	1
16452	what does the last text message on your phone say?	0
1055	you are GAY!!!!!	1
6463	be careful! Hood pigeons don't give a FUCK and pack heat! I've been robbed by them on countless occasions!	1
6126	I LOVE how that statement was misconstrued as GAY!!!!	1
3071	You done started something! Got me all nostalgic and shit KNOWING good and damn well I got work to do...LOL	1
8278	Way cool! Thanks for posting this. I'm a super Christmas light freak. Neighbors are lucky I can't afford to go nuts...	0
