	content	label
7505	I hate em..	1
6020	lol just rhyming  gay i know	1
4023	makes you feel cheap doesn't it.  I hate that clients use these things...	1
5952	YES. the thing is big enough for my ass plus another half. its like my parents couch.	1
1586	Wendy's - Oriental Chicken Salad w/ grilled chicken.  Way good.  I think it's 20 grams of fat just in the dressing  tho! Argh.	1
7063	Mind your own state politics. Joe Smith was a mammal before a prophet. Some mammals are gay and even heterosexuals have anal sex.	1
8600	that sucks. At least you've got GB xD	0
18559	&quot;hey angel  you duh sexy&quot;	0
12637	Holy Fuck Man  I've been thinking about you. That's fucked up.	0
11829	HAPPY BIRTHDAY DAN PANOSIAN THE SUPER QUEEN OF LOVE/HATE/POWER/SAVY/HOLLYWOOD AND CAKE	0
7492	NERD!	1
10548	yeah. time zones are a bitch.	0
1355	I iz calm now - cept I can't figure out how to properly edit my wordpress templates. NERD ALERT NERD ALERT.	1
5586	The FA50 is a low key ultra here in ATL. It stands for Fat Ass 50K. Loop course  so you could do 25K...Half Ass.	1
15077	who do you like?	0
15245	Haha I know huh(: lol jealous bitches	0
2535	i want you dead.	1
5673	Fuck you  McGaffigan. I WANT TO GO. NAO!	1
9792	Dude  I was DYING. The way he ducked was freaking hysterical. Even though it wasn't cool at all  it was damn funny.	0
10753	Err:508	0
6187	cuz montana sucks?	1
2999	that sucks that you're sick. Sorry to hear that.	1
1976	LMAO. I was very confused. What a bitch she is.	1
11450	I'm going to fucking Florida on Friday. FUCK THAT SHIT	0
1856	"says ""ahaha thankss. my auntie kim always says it grassy ass=] she's amazing."""	1
2616	Your 44 years old? :O! Dumbass  Pedifile. :D	1
5761	"Girl  talked to Black Milk on the phn for an hour. Watching ""Big Bang Theory"" drunk as fuck  eating cereal & its cold in the D."	1
9026	Are you trying to freak me out?	0
17337	If you could go only to one restaurant for the next five years  which would it be?	0
734	church can also suck my dick.	1
6915	might install now that you've acted as my guinea pig :D	1
5322	no grown man should include DIP in his sentence....lol...I know I'm hatin but fuck it I'm lookin @ snow..lol	1
18583	ight well its kinda hard...idk well mi lil boo  mi boo  and mi ex.	0
19220	yep	0
3444	You know damn well your boss is going to leave early.  When the mouse is away . . .	1
8455	omg omg omg yes yes that's it...that's perfect! You are fucking awesome!	0
1762	did he really???!!!! OH FUCK OK I TAKE BACK ON DAN MARINO IM SORRY!!!! OK I BLAME ROMO AGAIN! AND WHITTEN! i'm through with them!	1
9171	You are with your parents????? You poor baby! I love and hate vacationing with mine.	0
1223	u in a good mood souljaboy why u in a good mood oh n i luv ur new song 'damn ' like it hit   me bac	1
493	I feel like such a nerd watching this! I LOVE IT!!!!!!!!!	1
17688	USA.	0
4456	I hate math really do!but will be happy as well when I finish university!	1
5030	A gay couple getting married in NYC isn't going to change anyone's idea about marriage. Divorce has redefined marriage.	1
2277	if anyone's a loser  it's YOU.	1
10350	What's happening brotha? I'm good. Been a busy day getting ready for my big fat free bootcamp manana! How about you?	0
10018	Matt this game sucks  we need some Sharks mojo!!!	0
2934	"You've got 5"" of snow?  Damn.  I'm jealous."	1
5662	The guy who runs it is a major dick  underpays or doesn't pay models. He's harassed me and belittled me.	1
1014	I really hate bailing these guys out! They treat everyone like crap!	1
19023	possibly	0
6325	"i really hate that song but thats like equivalent to ""fuck them other niggas"" to the 40 and up crowd"	1
17938	Have you ever tried to kill yourself by holding your breath?	0
4463	aw man  that sucks!	1
14552	jordin!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! rudeo did you say the other mean things to?	0
14965	nahhh	0
3479	Because they are FUCKING DUMB and annoying	1
2676	Nope. I actually have a life. *COUGHCOUGH* unlike you  the lonely pathetic ugly lowlife man/woman who&;s life events are: staying on formspring creating fakes and starting shit. Seriously  I&;m not the bitch  you are. END OF STORY. KCOOLBYE.	1
18209	Wow some dude wants you rach :/	0
3696	yo Zee  you keep your hair tighter than frog ass.	1
7676	aww that sucks :/	1
12701	@seanhackbarth It is a hate-fest  and that's the way I like it.	0
19191	If you get cheated by the Better Business Bureau  who do you complain to?	0
19120	Is Tosha your real name?	0
10490	Man up pussy. NO SMOKES FOR U!!	0
7688	Kick ass!	1
6870	Fuck off.. I'm not ready!	1
14458	Thank you <3	0
19667	ew no.	0
1926	Yes! All of those twitters were directed at Frank Miller and his horrible screen play! DAMN YOU FRANK MILLER ILL KEEL YOU!	1
10209	you will do fine. good luck. go kick some ass!	0
13072	Already did. Dude it'smissing every thirdorso spacebarkeystroke.Actually  it missed most in this fucking tweet. I am so pissed.	0
19458	i may	0
4854	i hate you.... you know why	1
10975	"There is def. imprint of my ass on floor under my own bed... ""Someday my prince(ss) will come""..sing it. YOU are my princess!"	0
5997	I meant boo YOU whore!	1
14911	I have fallopian tubes.	0
8858	and we spent hours together (with her husband) picking out their favorites... so I use them... and then they say they hate that photo	0
19396	What&;s the nicest thing someone&;s ever done for you?	0
5777	Oldest son just turned 19 months and youngest is 5 weeks old. Damn dude  u look too young to have a 17 year old! :)	1
5008	FIRE HIM!!!!!!  lol lame ass mofo....	1
16904	fly most definantly.	0
3504	PETA is an ass in the article  D. Big time.	1
12213	hate.being.cold.	0
19601	haha thanks (:	0
19738	are you loyal?	0
18349	Not currently	0
8643	ha ha fucking ha	0
4322	I want beach now. Damn.	1
1365	1) i can't stop laughing at how's the meows sound like cat o-face screams. 2) ugh  so bummed i missed out. another gay? (:	1
8598	ROFL!!!  The trick with my cake is  it doesn't taste fat free...but it is.  What more can a girl want? ;-D	0
8064	Little kids. I love em. School aged kids...NO THANK YOU! Especially not these grown ass kids nowadays! *smack* LoL.	0
7295	yes yes  so gay.	1
4752	http://twitpic.com/qtt0 - O.O bingo is waaaaay to hard for me. hate it. i wanna fuck it..wait thats didnt come out right	1
2699	lmao.. &quot;yurr reall funny skinny ass bitchh&quot;.. hm.. that isn&;t really much of an insult now is it? what if i was fat? lol u suck at talkn shit :] later white trash skank :] ur super ugly nd that guy u like really isnt gonna come back around for u. laterrrr	1
1352	you dont need a big fat spirit animal to be embarassed...	1
18755	I LOVE Sudoku's :] Read  Paint  I think I would be just fine recovering :)	0
5408	Ha! Yeah  that caught my attention  too. Now wait & watch for Red Wings fans to freak. I'm gonna make popcorn for that show :)	1
6822	fucking buses. One drove straight past me on Friday night  and I was waving my arms like a windmill. Baaaaah!	1
