	content	label
17490	What would be the single most worst thing for you to hear?	0
6258	don't hate pussy ass nigga....u suck dick n balls n ur on the bottom of the MSFB list	1
2007	I'm blocking you because you have no value. Go back to telemarketing  or some other loser marketing scheme.	1
12332	Sure is  and it's about damn time too! The whole LJ server move screwed it up for a bit.	0
15178	Yumm... Justin Bieber P-diddys son JDoir YUMMM....haha not really a celeb bhut yeah! &amp;&amp; Channing Fckn TATUM!!haha Oh damn!!	0
3146	hangs longer than u while u lay there on ur ass! 1 day u gonna look back @ these days & ask urself where did ur life go?	1
4763	that sucks for your teacher. poor guy. isn't your class full of adults? do they act mature like adults are supposed to?	1
6728	damn that caller ID	1
17854	What song did you last sing out loud?	0
19082	the changing my color. I love that :]	0
15979	really? You don&apos;t want to know anything about me.	0
14563	Tell me about something you&apos;ve achieved?	0
3736	I hate stupid people.	1
17936	Honestly  do you think you are sometimes guilty of stereotyping?r	0
1459	@bagntrash everyone kind of just disappeared after the food  I'm not leaving it there for some jelly-bean givin jack ass to take!	1
4708	oh  i am fine. But she will not be if she doesn't shut her fat fucking mouth.	1
17267	nope neva did	0
12540	aw fuck me in the ass i thought you meant maylene	0
6390	there should be pictures of him at fucking otaku's cosplay section	1
2845	@markmancao haha. i love it! gay nights for all!	1
7778	Crying. Literally. You win. I'm destroyed  laughing and crying and I hate and love you all at once.	0
9751	Agreed. I shall practice safe tweeting. Damn that sounds dirty lmao.	0
3088	& @babysinead i've never even met him in person. he's a fucking douche.	1
12959	I hate TV in general  but Wes' parents have it on constantly so I get to have dinner & rage at the news & current affairs shows	0
12929	As someone with 3 years of QA experience  I can tell you that none of that shit was near acceptable. Fuck those morons.	0
1588	Courtesy of the Canadian kids magazine Chirp: How does a sick pig get to the hospital?	1
2222	@hermanos @jamessime wow I totally know that fine line between love and hate! #dead_by_january_i_didnt_sign_up_for_this_shit	1
10889	OK Cool  I'll figure it straight out in the morning..Thank Pat! BIG FAT HUG For You!{By the Way  I loved Your Portable Empire!!}	0
14654	Have you ever asked someone out on a date?	0
8942	Hope you feel better soon!  Sucks to work while sick.	0
3297	Would you believe the same article said eating less helps us live longer  too? Damn those scientists!	1
2145	That really sucks. :(	1
5378	It just sucks that so many use it as a crutch.	1
10306	damn! good job.	0
4601	grrr I hate that. I have an ex-friend who only gets in touch when they have something great to tell me about themselves... o_0	1
18090	yuppp	0
635	i forgot 2 call in gay 2day too! blast!	1
17121	i dont no tomato sauce	0
1695	Agreed. Fuck Twitter Grader and all it's kin.	1
10184	I usually reserve this term of endearment for my sweet @Ginderelly  but.... HOOKER! I hate you. No  I love you. But I hate you.	0
12522	I don't think he's stupid  so I'll just assume he's a disingenuous cunt instead	0
14983	WHO DOESNT!!(:	0
16559	Yes <3 thanks for asking !	0
1785	I saw that. what's his name! In so far as the fat bastard - what?!	1
13201	Yes. Definitely that's the worst part. Or the fact that I'm actually a person who thinks today's version of hip hop sucks.	0
1441	That's a damn shame  because they don't do veggie burgers. :)	1
16614	I was dancing in the kitchen lastnight while cooking grilled cheese for timmy and we were laughing about it cause i was doing the robot out of the blue :)	0
19683	D:	0
9557	you coming to fat cat?if anyone needs a martini  it's you!	0
12499	"I hate monday mornings so Im grumpy ""("	0
6010	yes  you remember me trying to keep *MY* lashes on for the awards this year- never fucking wearing those damn things AGAIN	1
19788	That's my baby rightt thhere!(; haha but nah	0
15120	Do you prefer to be blissfully unaware? Or know what going on though it may hurt to know?	0
14949	King tut. how he built the pyrmids?	0
1048	*watches than throws up* Man  that's was sick as fuck! A glass jar?!?	1
4081	Pretenders come to mind! Damn.	1
8859	@joeljohnson corporate blogging still sucks because there's no strategy or measurable goals defined	0
18367	What&;s the last furry thing you touched?	0
3647	att is run by the devil  i hate them	1
8976	Newsy v 1.0 wouldn't have given two squirts of piss about work. Just sayin.	0
19386	Whats your favorite j. depp movie?	0
7145	I couldn't agree more.  And if I didn't feel like such a loser I would say I win for understanding!	1
11023	Tempted to start baking cookies too.  Damn the diabetes  full speed ahead;)	0
