	content	label
18548	Have you ever thought about how life actually started?	0
7104	im sad there's only 15 more minutes left! i hate how it shows only once a week lol	1
12667	notification is a loser move.  I'm onto you!!!	0
6226	goddamn it kj...fuck you 74 times http://tinyurl.com/6q8olq	1
13113	Yes  I mean. No.  You don't hate me :D	0
11546	lol...hahahaa wht a dumb ass lol	0
18861	Eagle.	0
15667	you watch NBA?	0
9011	why thanks. but damn do I feel old.	0
10858	At 4:30 in the morning  I was struck with Revelations about a certain book we both know and I hate. Check your email  yo.	0
18444	maybe	0
45	Epic WINS for Fuck City&lt;3	1
10817	I can't say for sure that the universe doesn't hate you  but I've had several problems too.	0
17832	you were given two plane tickets to the Philippines..all expenses paid..who will you take with you?	0
10609	Awesome. Wouldn't have been near as funny w/o his contagious laughter or all the ass authorities making comments...	0
15846	Oh ammmmm I? Lol Who is this?(;	0
9934	"i was bored by her.  i was sitting there like a nerd like ""oh thats interesting"""	0
19342	how do you stay so cute?	0
12967	hahaha! Thanks for the heads up. I hate when that happens	0
19113	Loser !! <3	0
3950	All those people who hate Hillary are the same ones who voted for her husband and loved her before Obama.  Just seems strange.	1
3411	I cry  but then I'm just like that fucking woman is a bitch. God I hate her!!! (Yolanda) I'm getting mad just thinking lol	1
15456	independently	0
10042	Ohhh  that sucks - talk about irony... Can you call anyone to pick it up & bring it to you?	0
12858	lol.damn I gotta find a cheap ass flight	0
14282	iloveeyou(:	0
16514	Have you seen Titanic?	0
18314	Show your face.	0
10664	hahahahaha ROTFL! aww that was a damn funny slip up :)	0
9800	rachel was having problems with her signal here at work...maybe verizon is fucking up?	0
8064	Little kids. I love em. School aged kids...NO THANK YOU! Especially not these grown ass kids nowadays! *smack* LoL.	0
9713	- yes. but i am getting tired of their 'hate the customer' funnies. Would be funnier if the service was better	0
17231	Uhhhhh? Who is this?	0
15171	finee how yew ben	0
9494	much fun was had.  i'm fat and happy and will sleep well with images of movement and dave dancing in my head.  lol!	0
15234	have you been to any ocean park?	0
12819	lilmommaabc your phone sucks then! Lol	0
8732	did you like the patti labelle sing along too. even went on arsenio with hr and did that damn song. Singing???	0
6152	@alwaysgayalways You both need to watch/rewatch it. But more to sate your nerd jones than your gay-wadishness.	1
18057	hmmmm. think the part where te guy at support sings tht part makes me tear up=/ La ve boheme is a good one two	0
2006	as much as i hate auto-DM's  i also check out links if they're music related.	1
17645	mmm	0
6117	lock it  yank his rights on both his accounts.  He's been a little bitch lately and I'm sick of it.	1
11873	aw that sucks!  hope you are feeling better soon!	0
17474	Name 3 drinks you regularly drink?	0
3998	Ah  so it was tough to hear about over and over... That sucks man. Sure its been tough.	1
19066	:) i lovwe you to  :) we will meet haha me jo and you could go to grannys??????????????	0
14297	If the professor on Giligan&apos;s Island can make a radio out of coconut  why can&apos;t he fix a hole in a boat?	0
7318	damn u i wanted to see sexy lesbian porn lmao	1
7560	fuck yeah	1
7551	yeah  it sucks :(	1
16313	Jumprope	0
12654	i only buy magazines at the airport- i love bitch and bust too.	0
10215	You damn right! LOL	0
15335	bahaha idk :) whats goin on?	0
3764	I really hate bailing these guys out! They treat everyone like crap!	1
4892	i am  just so behind now . . it sucks.	1
15289	I was two years ahead in college. just graduated hs and feel into drinking. got 2 dui's within 6 months  got accepted into nursing school-something ive worked my entire life for  and didnt go because i thought i was in love and was going to cali with this dude. Got kicked off the nursing list  lost my job  went to jail for 15 days  gotta go to Clermont Recovery Center for drinking  im out a lot of money and still can't get a job due to no money. Therefore i cant get back on the nursing list and cant go back to school until i get a job... So now im just not working. waiting and trying to get my life back together all while i ruined it for a little fun. Thats my funny story. How funny was that?	0
2550	hey everyone  this is the girl that fakes ta	1
2460	That really sucks.	1
4164	I don't hate you all the time. Just sometimes. Not enough to unfollow and block you. lol	1
9483	damn girl.  how many vodkas total?  :)	0
7834	"I'm not sick  unless by sick you mean bad ass. In which case I am totally sick. Sick with a ""ph"" yo!"	0
4873	That was fucking hilarious... WIN	1
744	THAT WAS FUCKING EPIC.	1
10464	ur not emo becka	0
3144	me too!!! I also hate closing then opening then closing shifts that gets me all out of wack.	1
657	damn  prolly not! Now  I wanna know! LOL	1
16453	...no.	0
6219	"a recovering emo blogger...in the voice of andre 3000 ""don't do it  reconsider  read some liter ature on the subject"""	1
7822	hey- finally managed to book the damn tickets online- took me over an hour!!! PVR sucks.	0
7827	damn!	0
