	CRIM	ZN	INDUS	CHAS	NOX	RM	AGE	DIS	RAD	TAX	PTRATIO	B	LSTAT	MEDV
77	0.08707000000000001	0.0	12.83	0	0.437	6.14	45.8	4.0905	5	398.0	18.7	386.96	10.27	20.8
79	0.08387	0.0	12.83	0	0.437	5.874	36.6	4.5026	5	398.0	18.7	396.06	9.1	20.3
504	0.10959	0.0	11.93	0	0.573	6.794	89.3	2.3889	1	273.0	21.0	393.45	6.48	22.0
52	0.0536	21.0	5.64	0	0.439	6.511	21.1	6.8147	4	243.0	16.8	396.9	5.28	25.0
341	0.013009999999999999	35.0	1.52	0	0.442	7.241	49.3	7.0379	1	284.0	15.5	394.74	5.49	32.7
205	0.13642	0.0	10.59	0	0.489	5.891	22.3	3.9454	4	277.0	18.6	396.9	10.87	22.6
343	0.02543	55.0	3.78	0	0.484	6.696	56.4	5.7321	5	370.0	17.6	396.9	7.18	23.9
378	23.6482	0.0	18.1	0	0.671	6.38	96.2	1.3861	24	666.0	20.2	396.9	23.69	13.1
183	0.10008	0.0	2.46	0	0.488	6.563	95.6	2.847	3	193.0	17.8	396.9	5.68	32.5
476	4.87141	0.0	18.1	0	0.614	6.484	93.6	2.3053	24	666.0	20.2	396.21	18.68	16.7
416	10.8342	0.0	18.1	0	0.679	6.782	90.8	1.8195	24	666.0	20.2	21.57	25.79	7.5
100	0.14866	0.0	8.56	0	0.52	6.727	79.9	2.7778	5	384.0	20.9	394.76	9.42	27.5
162	1.8337700000000001	0.0	19.58	1	0.605	7.802	98.2	2.0407	5	403.0	14.7	389.61	1.92	50.0
4	0.06905	0.0	2.18	0	0.458	7.147	54.2	6.0622	3	222.0	18.7	396.9	5.33	36.2
473	4.64689	0.0	18.1	0	0.614	6.98	67.6	2.5329	24	666.0	20.2	374.68	11.66	29.8
81	0.04462	25.0	4.86	0	0.426	6.619	70.4	5.4007	4	281.0	19.0	395.63	7.22	23.9
469	13.0751	0.0	18.1	0	0.58	5.713	56.7	2.8237	24	666.0	20.2	396.9	14.76	20.1
389	8.15174	0.0	18.1	0	0.7	5.39	98.9	1.7281	24	666.0	20.2	396.9	20.85	11.5
181	0.06888	0.0	2.46	0	0.488	6.144	62.2	2.5979	3	193.0	17.8	396.9	9.45	36.2
376	15.288	0.0	18.1	0	0.671	6.649	93.3	1.3449	24	666.0	20.2	363.02	23.24	13.9
339	0.054970000000000005	0.0	5.19	0	0.515	5.985	45.4	4.8122	5	224.0	20.2	396.9	9.74	19.0
413	28.6558	0.0	18.1	0	0.597	5.155	100.0	1.5894	24	666.0	20.2	210.97	20.08	16.3
104	0.1396	0.0	8.56	0	0.52	6.167	90.0	2.421	5	384.0	20.9	392.69	12.33	20.1
311	0.7904100000000001	0.0	9.9	0	0.544	6.122	52.8	2.6403	4	304.0	18.4	396.9	5.98	22.1
290	0.035019999999999996	80.0	4.95	0	0.411	6.861	27.9	5.1167	4	245.0	19.2	396.9	3.33	28.5
301	0.03537	34.0	6.09	0	0.433	6.59	40.4	5.4917	7	329.0	16.1	395.75	9.5	22.0
385	16.8118	0.0	18.1	0	0.7	5.277	98.1	1.4261	24	666.0	20.2	396.9	30.81	7.2
191	0.06911	45.0	3.44	0	0.437	6.739	30.8	6.4798	5	398.0	15.2	389.71	4.69	30.5
12	0.09378	12.5	7.87	0	0.524	5.889	39.0	5.4509	5	311.0	15.2	390.5	15.71	21.7
151	1.49632	0.0	19.58	0	0.871	5.404	100.0	1.5916	5	403.0	14.7	341.6	13.28	19.6
463	5.82115	0.0	18.1	0	0.713	6.513	89.9	2.8016	24	666.0	20.2	393.82	10.29	20.2
286	0.01965	80.0	1.76	0	0.385	6.23	31.5	9.0892	1	241.0	18.2	341.6	12.93	20.1
83	0.03551	25.0	4.86	0	0.426	6.167	46.7	5.4007	4	281.0	19.0	390.64	7.51	22.9
224	0.31533	0.0	6.2	0	0.504	8.266	78.3	2.8944	8	307.0	17.4	385.05	4.14	44.8
85	0.05735	0.0	4.49	0	0.449	6.63	56.1	4.4377	3	247.0	18.5	392.3	6.53	26.6
494	0.27957	0.0	9.69	0	0.585	5.926	42.6	2.3817	6	391.0	19.2	396.9	13.59	24.5
177	0.05425	0.0	4.05	0	0.51	6.315	73.4	3.3175	5	296.0	16.6	395.6	6.29	24.6
327	0.24103000000000002	0.0	7.38	0	0.493	6.083	43.7	5.4159	5	287.0	19.6	396.9	12.79	22.2
384	20.0849	0.0	18.1	0	0.7	4.368	91.2	1.4395	24	666.0	20.2	285.83	30.63	8.8
468	15.5757	0.0	18.1	0	0.58	5.926	71.0	2.9084	24	666.0	20.2	368.74	18.13	19.1
381	15.8744	0.0	18.1	0	0.671	6.545	99.1	1.5192	24	666.0	20.2	396.9	21.08	10.9
491	0.10574000000000001	0.0	27.74	0	0.609	5.983	98.8	1.8681	4	711.0	20.1	390.11	18.07	13.6
69	0.12816	12.5	6.07	0	0.409	5.885	33.0	6.498	4	345.0	18.9	396.9	8.79	20.9
322	0.35114	0.0	7.38	0	0.493	6.041	49.9	4.7211	5	287.0	19.6	396.9	7.7	20.4
350	0.062110000000000005	40.0	1.25	0	0.429	6.49	44.4	8.7921	1	335.0	19.7	396.9	5.98	22.9
445	10.6718	0.0	18.1	0	0.74	6.459	94.8	1.9879	24	666.0	20.2	43.06	23.98	11.8
324	0.34109	0.0	7.38	0	0.493	6.415	40.1	4.7211	5	287.0	19.6	396.9	6.12	25.0
87	0.07151	0.0	4.49	0	0.449	6.121	56.8	3.7476	3	247.0	18.5	395.15	8.44	22.2
373	11.1081	0.0	18.1	0	0.668	4.906	100.0	1.1742	24	666.0	20.2	396.9	34.77	13.8
206	0.22969	0.0	10.59	0	0.489	6.326	52.5	4.3549	4	277.0	18.6	394.87	10.97	24.4
275	0.09604	40.0	6.41	0	0.447	6.854	42.8	4.2673	4	254.0	17.6	396.9	2.98	32.0
