	age	workclass	fnlwgt	education	education_num	marital_status	occupation	relationship	race	sex	capital_gain	capital_loss	hours_per_week	native_country	class
23582	30	Private	310889	Assoc-voc	11	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	50	United-States	>50K
3989	22	Private	191324	Some-college	10	Never-married	Protective-serv	Own-child	White	Male	0	0	25	United-States	<=50K
14591	43	Private	197397	Some-college	10	Married-civ-spouse	Prof-specialty	Wife	Other	Female	0	0	6	Puerto-Rico	<=50K
25255	38	Private	117312	HS-grad	9	Married-civ-spouse	Exec-managerial	Wife	White	Female	15024	0	40	United-States	>50K
31601	18	Private	37720	10th	6	Never-married	Machine-op-inspct	Own-child	White	Male	0	0	40	United-States	<=50K
4903	54	Private	86837	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	Asian-Pac-Islander	Male	0	1902	40	United-States	>50K
17165	44	Self-emp-inc	33126	Some-college	10	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	80	United-States	<=50K
20377	47	Private	191978	Some-college	10	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	40	United-States	>50K
3714	32	Private	353994	Bachelors	13	Married-civ-spouse	Exec-managerial	Other-relative	Asian-Pac-Islander	Female	0	0	40	China	>50K
12477	24	Private	461678	Some-college	10	Married-civ-spouse	Farming-fishing	Husband	White	Male	0	0	50	United-States	>50K
10791	24	Private	85041	HS-grad	9	Separated	Other-service	Unmarried	White	Female	0	0	25	United-States	<=50K
20866	27	Private	213152	Some-college	10	Never-married	Sales	Not-in-family	White	Male	0	0	40	United-States	<=50K
20720	50	Private	190762	5th-6th	3	Married-civ-spouse	Handlers-cleaners	Husband	White	Male	0	0	40	Mexico	<=50K
8097	39	Private	165215	Masters	14	Married-civ-spouse	Prof-specialty	Wife	White	Female	0	1902	18	United-States	>50K
20519	28	Private	189241	11th	7	Married-civ-spouse	Handlers-cleaners	Own-child	White	Male	0	0	40	United-States	<=50K
16545	22	Private	383603	Some-college	10	Never-married	Adm-clerical	Own-child	White	Female	0	0	40	United-States	<=50K
24062	24	Private	237341	Some-college	10	Married-civ-spouse	Prof-specialty	Wife	White	Female	0	0	40	United-States	>50K
6210	24	Private	88126	HS-grad	9	Never-married	Craft-repair	Not-in-family	White	Male	0	0	40	United-States	<=50K
1180	50	?	146015	HS-grad	9	Married-civ-spouse	?	Husband	White	Male	0	0	40	United-States	>50K
25422	50	Private	65408	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	50	United-States	>50K
18393	54	Private	235693	11th	7	Divorced	Adm-clerical	Not-in-family	White	Male	0	0	40	United-States	>50K
321	43	Private	50356	Some-college	10	Married-civ-spouse	Craft-repair	Husband	White	Male	0	1485	50	United-States	<=50K
5107	25	Private	200408	Assoc-acdm	12	Never-married	Craft-repair	Own-child	White	Male	0	0	40	United-States	<=50K
20609	31	Private	86492	Assoc-voc	11	Married-civ-spouse	Transport-moving	Husband	White	Male	0	0	30	United-States	>50K
1375	41	Private	102332	HS-grad	9	Divorced	Sales	Unmarried	Black	Female	0	0	40	United-States	<=50K
3048	53	Self-emp-not-inc	279129	Some-college	10	Married-civ-spouse	Farming-fishing	Husband	White	Male	0	0	30	United-States	<=50K
16227	54	Private	210736	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	40	United-States	>50K
