	age	workclass	fnlwgt	education	education_num	marital_status	occupation	relationship	race	sex	capital_gain	capital_loss	hours_per_week	native_country	class
10189	39	Self-emp-not-inc	52870	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	40	United-States	>50K
1774	49	Private	169818	HS-grad	9	Married-civ-spouse	Other-service	Wife	Black	Female	0	0	40	United-States	>50K
8283	38	Private	326886	Assoc-voc	11	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	45	United-States	>50K
24962	22	Private	229456	Some-college	10	Never-married	Adm-clerical	Own-child	Black	Female	0	0	35	United-States	<=50K
6008	51	Private	114927	Assoc-voc	11	Married-civ-spouse	Tech-support	Husband	White	Male	7298	0	40	United-States	>50K
30488	55	State-gov	181641	Some-college	10	Divorced	Prof-specialty	Not-in-family	Black	Female	0	0	37	United-States	<=50K
15923	42	Private	228320	Some-college	10	Married-civ-spouse	Tech-support	Husband	White	Male	0	0	50	United-States	>50K
27263	28	Private	66434	10th	6	Never-married	Other-service	Unmarried	White	Female	0	0	15	United-States	<=50K
14373	24	Private	201179	HS-grad	9	Never-married	Other-service	Own-child	White	Male	0	0	40	United-States	<=50K
14961	35	Private	308489	Bachelors	13	Married-civ-spouse	Sales	Husband	Black	Male	0	0	50	United-States	<=50K
11502	34	Private	302770	Some-college	10	Married-civ-spouse	Sales	Husband	White	Male	0	0	60	United-States	<=50K
1257	57	Private	141326	HS-grad	9	Married-civ-spouse	Sales	Husband	White	Male	0	0	50	United-States	>50K
12756	46	State-gov	27802	Assoc-acdm	12	Married-civ-spouse	Tech-support	Husband	White	Male	0	0	38	United-States	>50K
32520	27	Private	177398	HS-grad	9	Never-married	Other-service	Unmarried	White	Female	0	0	64	United-States	<=50K
20690	43	Private	91959	Bachelors	13	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	45	United-States	>50K
12293	46	Self-emp-inc	123075	HS-grad	9	Married-civ-spouse	Protective-serv	Husband	White	Male	0	0	70	United-States	<=50K
26268	37	Self-emp-not-inc	137527	Doctorate	16	Never-married	Prof-specialty	Not-in-family	White	Female	0	2559	60	United-States	>50K
29137	29	Private	201017	Masters	14	Never-married	Prof-specialty	Not-in-family	White	Male	0	0	55	Scotland	<=50K
26003	33	Private	341187	Bachelors	13	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	50	United-States	>50K
7088	50	Self-emp-inc	287598	Some-college	10	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	70	United-States	<=50K
16878	30	?	197827	Some-college	10	Married-civ-spouse	?	Husband	White	Male	0	0	40	United-States	<=50K
19621	36	Private	218490	Assoc-voc	11	Married-civ-spouse	Sales	Husband	White	Male	0	0	60	United-States	<=50K
3503	40	Private	315321	HS-grad	9	Divorced	Exec-managerial	Unmarried	White	Female	0	625	52	United-States	<=50K
4381	48	Self-emp-not-inc	133694	Bachelors	13	Married-spouse-absent	Exec-managerial	Not-in-family	Black	Male	0	0	40	Jamaica	>50K
4520	35	Private	301614	HS-grad	9	Married-civ-spouse	Other-service	Husband	White	Male	0	0	60	United-States	<=50K
26467	54	Private	145098	Some-college	10	Married-civ-spouse	Sales	Husband	White	Male	0	0	40	United-States	>50K
32305	34	Private	356882	Some-college	10	Married-civ-spouse	Sales	Husband	White	Male	0	0	45	United-States	>50K
12841	52	Private	159670	Assoc-acdm	12	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	40	United-States	<=50K
9497	33	Private	184833	HS-grad	9	Never-married	Other-service	Not-in-family	White	Female	0	0	35	United-States	<=50K
23879	38	State-gov	188303	Some-college	10	Married-civ-spouse	Protective-serv	Husband	White	Male	7688	0	40	United-States	>50K
30982	51	Private	189511	Assoc-voc	11	Married-civ-spouse	Other-service	Husband	White	Male	0	0	50	Germany	>50K
6330	57	Private	73411	Some-college	10	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	40	United-States	>50K
15894	28	Private	218039	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	40	United-States	<=50K
