	age	workclass	fnlwgt	education	education_num	marital_status	occupation	relationship	race	sex	capital_gain	capital_loss	hours_per_week	native_country	class
29804	62	Private	148113	10th	6	Married-civ-spouse	Craft-repair	Husband	Black	Male	0	0	40	United-States	<=50K
14069	24	Private	225515	Bachelors	13	Never-married	Exec-managerial	Not-in-family	White	Female	0	0	40	United-States	<=50K
10800	21	State-gov	39236	Some-college	10	Never-married	Tech-support	Not-in-family	White	Female	0	0	50	United-States	<=50K
8844	24	Private	100669	Some-college	10	Never-married	Handlers-cleaners	Own-child	Asian-Pac-Islander	Male	0	0	30	United-States	<=50K
17583	49	Private	169042	HS-grad	9	Separated	Prof-specialty	Unmarried	White	Female	0	625	40	Puerto-Rico	<=50K
25271	36	Private	218490	Bachelors	13	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	45	Germany	>50K
13997	48	Private	25468	Masters	14	Divorced	Exec-managerial	Not-in-family	White	Male	99999	0	50	United-States	>50K
28238	32	Private	205581	Some-college	10	Separated	Tech-support	Unmarried	White	Female	0	0	50	United-States	<=50K
30420	51	Private	84278	Bachelors	13	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	55	United-States	>50K
32178	43	Private	170230	Masters	14	Never-married	Tech-support	Not-in-family	White	Female	0	0	40	United-States	<=50K
29212	26	Private	227489	Some-college	10	Never-married	Handlers-cleaners	Other-relative	Black	Male	0	0	40	?	<=50K
11672	38	Private	71701	Assoc-voc	11	Never-married	Craft-repair	Not-in-family	White	Female	0	0	40	Portugal	<=50K
25656	27	Private	167737	12th	8	Never-married	Machine-op-inspct	Not-in-family	White	Male	0	0	45	United-States	<=50K
5481	19	Self-emp-not-inc	30800	10th	6	Married-spouse-absent	Adm-clerical	Unmarried	Amer-Indian-Eskimo	Female	0	0	40	United-States	<=50K
30053	35	Private	162601	HS-grad	9	Divorced	Adm-clerical	Unmarried	White	Female	0	0	40	United-States	<=50K
26829	32	Private	342458	Bachelors	13	Never-married	Prof-specialty	Not-in-family	White	Male	0	0	40	United-States	<=50K
28371	51	Private	152810	HS-grad	9	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	40	United-States	>50K
