	age	job	marital	education	default	balance	housing	loan	contact	day	month	duration	campaign	pdays	previous	poutcome	y
41503	30	blue-collar	single	secondary	no	161	no	yes	telephone	8	sep	298	3	-1	0	unknown	yes
41456	35	management	single	tertiary	no	7918	no	no	cellular	7	sep	497	1	-1	0	unknown	yes
12623	36	technician	married	primary	no	0	no	no	unknown	4	jul	584	1	-1	0	unknown	yes
41709	37	blue-collar	married	secondary	no	604	yes	no	cellular	7	oct	371	1	495	1	failure	yes
42127	35	admin.	divorced	secondary	no	1224	yes	no	cellular	3	nov	187	1	-1	0	unknown	yes
21448	37	technician	single	secondary	no	1435	no	no	cellular	18	aug	724	16	-1	0	unknown	yes
44950	32	student	single	secondary	no	1102	no	no	telephone	8	oct	194	1	-1	0	unknown	yes
13807	47	blue-collar	married	secondary	no	182	yes	no	telephone	10	jul	39	1	-1	0	unknown	yes
4140	48	blue-collar	married	primary	no	281	yes	no	unknown	19	may	100	3	-1	0	unknown	no
45133	24	student	single	secondary	no	822	no	no	cellular	27	oct	184	1	91	2	failure	yes
39535	24	student	single	secondary	no	23878	no	no	cellular	26	may	133	1	97	1	success	yes
30886	31	self-employed	single	tertiary	no	1815	no	no	telephone	9	feb	1541	1	-1	0	unknown	yes
41963	77	management	married	unknown	no	1780	yes	no	cellular	23	oct	221	2	183	3	success	yes
42397	36	admin.	divorced	tertiary	no	4708	no	no	cellular	3	dec	284	1	171	1	failure	yes
28491	51	housemaid	married	secondary	no	1270	no	no	cellular	29	jan	208	3	-1	0	unknown	no
10919	48	management	single	tertiary	no	1437	yes	yes	unknown	17	jun	34	2	-1	0	unknown	no
42332	55	technician	divorced	tertiary	no	0	no	no	cellular	17	nov	134	2	91	1	success	yes
33706	74	retired	married	secondary	no	9480	no	no	cellular	21	apr	211	1	-1	0	unknown	yes
23438	58	management	single	tertiary	no	21	no	no	telephone	28	aug	315	19	-1	0	unknown	no
19599	56	technician	married	secondary	no	1093	no	no	cellular	7	aug	89	4	-1	0	unknown	no
11038	38	entrepreneur	married	secondary	no	197	no	no	unknown	17	jun	979	9	-1	0	unknown	no
43035	32	technician	married	secondary	no	484	yes	no	cellular	15	feb	83	6	187	3	success	yes
42750	20	student	single	unknown	no	829	no	no	cellular	27	jan	196	3	202	2	success	yes
42774	36	management	married	tertiary	no	3949	no	no	cellular	28	jan	130	2	-1	0	unknown	yes
43787	52	management	married	tertiary	no	388	no	no	cellular	25	may	272	1	-1	0	unknown	yes
26368	38	self-employed	married	secondary	no	215	yes	no	cellular	20	nov	70	1	167	1	failure	no
34249	48	blue-collar	married	secondary	no	863	yes	no	telephone	4	may	412	5	350	2	success	yes
44321	27	student	single	tertiary	no	311	no	no	cellular	28	jul	462	1	148	4	success	yes
40618	47	technician	married	secondary	no	1167	yes	no	cellular	4	aug	505	1	96	6	success	yes
34440	43	technician	married	secondary	no	994	yes	yes	cellular	5	may	51	1	-1	0	unknown	no
10742	45	management	married	tertiary	no	1847	no	no	unknown	16	jun	77	5	-1	0	unknown	no
28901	30	blue-collar	single	secondary	no	49	no	no	cellular	30	jan	808	2	-1	0	unknown	yes
23826	35	technician	single	secondary	no	3490	yes	no	cellular	29	aug	643	2	-1	0	unknown	yes
13759	30	blue-collar	married	secondary	no	167	yes	no	cellular	10	jul	255	1	-1	0	unknown	yes
8463	40	self-employed	married	primary	no	435	yes	yes	unknown	3	jun	131	5	-1	0	unknown	no
44767	83	retired	divorced	primary	no	4565	no	no	cellular	13	sep	175	2	-1	0	unknown	no
34011	53	management	married	tertiary	no	1624	no	no	cellular	30	apr	284	3	84	3	success	yes
43427	27	technician	single	tertiary	no	-67	yes	no	cellular	6	apr	604	3	236	2	failure	yes
37584	58	services	married	primary	no	2946	yes	no	cellular	14	may	467	1	-1	0	unknown	yes
5511	31	technician	single	tertiary	no	426	yes	no	unknown	23	may	82	7	-1	0	unknown	no
39953	34	unemployed	married	secondary	no	978	no	no	cellular	3	jun	262	2	71	1	success	yes
40658	61	retired	married	tertiary	no	3140	yes	yes	cellular	6	aug	975	4	98	1	unknown	yes
33080	22	student	single	secondary	no	3982	no	no	cellular	20	apr	206	1	-1	0	unknown	yes
941	47	blue-collar	married	secondary	yes	-5	yes	no	unknown	7	may	444	1	-1	0	unknown	no
23183	33	management	married	tertiary	no	0	no	no	cellular	27	aug	181	4	-1	0	unknown	no
32283	51	management	single	tertiary	no	2523	yes	no	cellular	16	apr	150	1	-1	0	unknown	no
43102	23	student	single	secondary	no	381	no	no	cellular	23	feb	696	1	189	2	other	yes
11744	57	technician	married	secondary	no	9689	yes	no	unknown	20	jun	313	1	-1	0	unknown	no
42071	62	management	married	tertiary	no	7458	no	no	cellular	30	oct	212	2	-1	0	unknown	yes
43968	36	management	single	tertiary	no	538	no	no	cellular	23	jun	339	1	183	5	success	yes
3307	53	technician	married	tertiary	no	4323	yes	no	unknown	15	may	58	5	-1	0	unknown	no
43451	35	technician	married	secondary	no	2201	no	no	telephone	12	apr	350	1	-1	0	unknown	yes
30625	43	management	married	tertiary	no	479	yes	no	cellular	6	feb	168	1	254	2	failure	no
