	age	job	marital	education	default	balance	housing	loan	contact	day	month	duration	campaign	pdays	previous	poutcome	y
15688	27	management	single	tertiary	no	831	yes	no	cellular	21	jul	369	1	-1	0	unknown	no
22717	34	technician	married	secondary	no	545	yes	no	cellular	25	aug	96	4	-1	0	unknown	no
1378	49	admin.	single	secondary	no	275	no	no	unknown	8	may	14	1	-1	0	unknown	no
11120	36	blue-collar	married	tertiary	no	9	yes	no	unknown	18	jun	112	3	-1	0	unknown	no
35056	32	admin.	divorced	tertiary	no	-2	yes	no	cellular	6	may	103	3	168	1	failure	no
20823	52	technician	divorced	secondary	no	152	no	no	cellular	13	aug	404	6	-1	0	unknown	yes
43265	29	admin.	single	secondary	no	1448	no	no	cellular	10	mar	217	1	184	7	other	no
36873	39	management	married	tertiary	no	1425	yes	no	cellular	12	may	775	3	-1	0	unknown	yes
6292	31	admin.	single	secondary	no	-302	yes	yes	unknown	27	may	235	5	-1	0	unknown	no
12343	51	services	married	secondary	no	0	no	yes	unknown	26	jun	565	3	-1	0	unknown	no
41998	55	technician	married	secondary	no	0	yes	yes	cellular	27	oct	88	1	-1	0	unknown	no
18223	59	blue-collar	married	primary	no	-209	no	no	telephone	30	jul	215	3	-1	0	unknown	no
16659	35	blue-collar	married	secondary	no	218	yes	no	cellular	24	jul	128	2	-1	0	unknown	no
35355	37	management	single	tertiary	no	815	yes	no	cellular	7	may	77	1	-1	0	unknown	no
20856	30	technician	single	tertiary	no	635	no	no	cellular	13	aug	851	8	-1	0	unknown	yes
1167	30	admin.	divorced	secondary	no	1	yes	no	unknown	8	may	175	5	-1	0	unknown	no
1894	45	services	single	secondary	no	-139	yes	no	unknown	9	may	663	3	-1	0	unknown	no
39788	53	technician	married	secondary	no	284	no	no	cellular	1	jun	781	1	-1	0	unknown	yes
44789	24	student	single	unknown	no	358	no	no	cellular	14	sep	407	2	92	2	success	no
31210	43	blue-collar	married	primary	no	3917	no	no	cellular	2	mar	154	1	-1	0	unknown	yes
42785	54	admin.	married	secondary	no	0	no	no	cellular	28	jan	161	1	98	2	failure	yes
32736	35	management	single	tertiary	no	397	yes	no	cellular	17	apr	594	1	-1	0	unknown	yes
14616	34	services	married	secondary	no	29	yes	no	cellular	15	jul	387	5	-1	0	unknown	no
35636	25	technician	single	secondary	no	50	yes	no	cellular	8	may	191	1	-1	0	unknown	no
44420	93	retired	married	unknown	no	775	no	no	cellular	4	aug	476	2	13	9	success	yes
2719	25	services	single	secondary	yes	57	yes	yes	unknown	13	may	190	5	-1	0	unknown	no
31356	31	management	single	tertiary	no	115	no	no	cellular	17	mar	187	1	-1	0	unknown	yes
27796	46	technician	divorced	secondary	no	741	yes	no	cellular	28	jan	83	1	258	1	other	no
31886	53	admin.	single	secondary	no	2892	no	no	cellular	9	apr	527	3	-1	0	unknown	yes
44268	35	management	married	tertiary	no	4124	yes	no	cellular	23	jul	350	2	445	7	other	yes
28617	39	management	single	tertiary	no	4023	yes	no	cellular	29	jan	126	2	238	8	other	no
20725	40	technician	married	secondary	no	42	no	no	cellular	13	aug	1842	2	-1	0	unknown	yes
43403	54	technician	single	tertiary	no	118	no	no	cellular	5	apr	280	1	-1	0	unknown	yes
41444	35	management	single	tertiary	no	80	no	no	cellular	4	sep	434	2	94	1	other	yes
21420	38	technician	divorced	secondary	no	1221	yes	yes	cellular	18	aug	73	7	-1	0	unknown	no
1348	34	services	married	secondary	no	142	yes	no	unknown	8	may	159	4	-1	0	unknown	no
26243	42	management	married	tertiary	no	0	no	no	cellular	20	nov	90	2	-1	0	unknown	no
29267	48	blue-collar	single	primary	no	8990	no	no	telephone	2	feb	1790	2	-1	0	unknown	yes
13852	56	services	divorced	secondary	no	140	no	no	cellular	10	jul	173	1	-1	0	unknown	no
16809	57	management	married	secondary	no	0	yes	no	cellular	24	jul	725	2	-1	0	unknown	no
8955	32	blue-collar	single	secondary	no	255	no	no	unknown	4	jun	175	1	-1	0	unknown	no
31295	30	management	single	tertiary	no	4808	no	no	cellular	10	mar	272	1	-1	0	unknown	yes
23356	36	technician	divorced	secondary	no	54	yes	no	cellular	27	aug	1642	3	-1	0	unknown	yes
11526	40	entrepreneur	married	tertiary	yes	0	no	no	unknown	19	jun	952	4	-1	0	unknown	yes
8461	37	blue-collar	married	secondary	yes	-399	yes	yes	unknown	3	jun	21	3	-1	0	unknown	no
1103	52	technician	married	unknown	no	133	yes	no	unknown	7	may	253	8	-1	0	unknown	no
8783	26	blue-collar	single	unknown	no	477	yes	no	unknown	4	jun	87	1	-1	0	unknown	no
43975	37	self-employed	single	tertiary	no	1188	no	no	cellular	24	jun	310	1	-1	0	unknown	yes
40648	47	housemaid	married	secondary	no	3940	yes	no	cellular	5	aug	226	3	97	2	failure	yes
43916	26	services	single	tertiary	no	12	no	no	cellular	14	jun	563	1	181	10	failure	yes
32781	44	management	single	tertiary	no	1277	yes	no	cellular	17	apr	77	1	268	4	other	no
23032	49	services	married	secondary	no	0	no	no	cellular	26	aug	189	4	-1	0	unknown	no
3508	36	blue-collar	single	secondary	no	1392	yes	no	unknown	15	may	205	2	-1	0	unknown	no
13913	25	blue-collar	single	secondary	no	1243	no	yes	cellular	10	jul	1341	7	-1	0	unknown	yes
13407	39	entrepreneur	married	tertiary	no	628	yes	no	cellular	9	jul	97	1	-1	0	unknown	no
42646	21	student	single	secondary	no	71	no	no	cellular	13	jan	169	2	-1	0	unknown	yes
32713	39	self-employed	married	tertiary	no	-3058	yes	yes	cellular	17	apr	882	3	-1	0	unknown	yes
1554	42	self-employed	married	secondary	no	106	yes	no	unknown	8	may	515	3	-1	0	unknown	no
31556	50	management	married	tertiary	no	414	yes	no	cellular	3	apr	707	1	302	3	failure	yes
41566	41	admin.	divorced	secondary	no	6046	yes	yes	telephone	14	sep	185	2	-1	0	unknown	yes
44069	26	blue-collar	single	secondary	no	463	no	yes	cellular	2	jul	248	2	-1	0	unknown	yes
35226	26	management	single	tertiary	no	114	yes	no	cellular	7	may	457	1	-1	0	unknown	yes
37681	35	services	married	secondary	no	341	yes	no	cellular	14	may	345	1	-1	0	unknown	yes
17383	40	management	married	tertiary	no	552	no	no	cellular	28	jul	761	8	-1	0	unknown	no
38186	31	admin.	married	secondary	no	122	yes	no	cellular	15	may	49	1	364	1	failure	no
16042	41	technician	single	tertiary	no	145	no	no	cellular	22	jul	1833	2	-1	0	unknown	yes
11364	41	services	married	secondary	no	7509	no	no	unknown	19	jun	575	1	-1	0	unknown	no
19722	40	technician	married	tertiary	no	162	no	no	cellular	7	aug	256	3	-1	0	unknown	no
23946	54	blue-collar	married	secondary	no	466	no	no	cellular	29	aug	436	4	-1	0	unknown	no
44194	42	unemployed	married	secondary	no	1289	no	no	cellular	15	jul	250	4	415	2	failure	yes
31045	46	management	married	tertiary	no	2732	yes	no	telephone	11	feb	184	2	-1	0	unknown	no
34007	33	management	married	tertiary	no	55	no	no	cellular	30	apr	526	2	87	3	failure	yes
635	52	services	married	secondary	no	660	no	no	unknown	6	may	201	2	-1	0	unknown	no
44858	31	housemaid	married	secondary	no	243	yes	no	cellular	23	sep	305	2	842	1	failure	yes
40761	32	self-employed	single	tertiary	no	1815	no	no	telephone	10	aug	235	1	102	2	failure	yes
21757	47	management	married	tertiary	no	600	no	no	cellular	19	aug	290	15	-1	0	unknown	yes
5159	36	blue-collar	divorced	secondary	no	625	yes	no	unknown	21	may	265	2	-1	0	unknown	no
26843	35	blue-collar	married	secondary	no	5639	yes	no	cellular	20	nov	945	2	-1	0	unknown	yes
42281	61	retired	married	secondary	no	3114	no	no	cellular	13	nov	381	1	-1	0	unknown	yes
31116	75	retired	married	primary	no	358	no	no	cellular	17	feb	364	11	-1	0	unknown	yes
34673	45	admin.	single	secondary	no	341	yes	yes	cellular	5	may	77	2	-1	0	unknown	no
13505	45	management	married	tertiary	no	4693	no	yes	cellular	9	jul	148	2	-1	0	unknown	no
22586	34	technician	married	tertiary	no	23	no	no	cellular	22	aug	289	6	-1	0	unknown	no
44020	60	retired	married	secondary	no	11	no	no	cellular	29	jun	265	1	586	2	failure	yes
45176	54	admin.	married	secondary	no	66	yes	no	cellular	11	nov	167	1	-1	0	unknown	yes
1719	31	blue-collar	married	primary	no	11	yes	no	unknown	9	may	399	3	-1	0	unknown	no
24487	38	management	married	secondary	no	3840	yes	yes	cellular	17	nov	62	1	-1	0	unknown	no
8570	26	blue-collar	single	secondary	yes	-36	yes	no	unknown	3	jun	482	2	-1	0	unknown	yes
20669	44	technician	single	secondary	no	244	yes	no	cellular	12	aug	1735	4	-1	0	unknown	yes
4562	33	services	married	unknown	no	89	yes	no	unknown	20	may	341	1	-1	0	unknown	no
42234	33	services	married	secondary	no	386	no	no	cellular	12	nov	253	1	92	4	failure	yes
40461	35	services	single	tertiary	no	0	no	no	cellular	3	jul	704	1	-1	0	unknown	yes
42035	31	management	married	tertiary	no	81	yes	no	cellular	29	oct	164	2	-1	0	unknown	yes
9783	58	entrepreneur	married	tertiary	no	2920	yes	no	unknown	9	jun	136	1	-1	0	unknown	no
30718	56	management	married	tertiary	no	616	no	no	cellular	6	feb	156	1	-1	0	unknown	yes
43910	21	student	single	unknown	no	53	no	no	cellular	14	jun	270	1	-1	0	unknown	yes
37140	46	services	married	primary	no	437	yes	no	cellular	13	may	546	3	-1	0	unknown	yes
2945	28	management	single	tertiary	no	334	yes	no	unknown	14	may	438	4	-1	0	unknown	no
43694	54	unknown	married	secondary	no	2206	no	no	cellular	13	may	260	1	91	4	success	yes
