	age	job	marital	education	default	balance	housing	loan	contact	day	month	duration	campaign	pdays	previous	poutcome	y
19468	41	management	single	tertiary	no	0	no	no	cellular	7	aug	91	2	-1	0	unknown	no
6116	36	management	married	tertiary	no	293	yes	no	unknown	27	may	287	4	-1	0	unknown	no
35775	29	technician	married	secondary	no	1599	yes	no	cellular	8	may	36	1	-1	0	unknown	no
16328	49	management	married	secondary	no	3286	yes	no	cellular	23	jul	73	2	-1	0	unknown	no
23191	37	management	married	tertiary	no	40	no	no	cellular	27	aug	1033	4	-1	0	unknown	yes
20306	37	management	married	tertiary	no	0	no	no	cellular	11	aug	187	4	-1	0	unknown	no
8228	30	services	single	secondary	no	603	yes	yes	unknown	2	jun	335	2	-1	0	unknown	no
18817	28	blue-collar	married	secondary	no	144	yes	yes	cellular	31	jul	7	22	-1	0	unknown	no
22920	42	management	married	tertiary	no	295	yes	no	cellular	26	aug	109	3	-1	0	unknown	no
34694	45	management	married	tertiary	no	0	yes	no	cellular	5	may	469	2	342	1	failure	no
20711	46	management	married	secondary	no	3570	no	no	cellular	13	aug	69	2	-1	0	unknown	no
5400	54	technician	married	secondary	no	7252	no	no	unknown	23	may	139	2	-1	0	unknown	no
15751	35	blue-collar	married	secondary	no	187	no	yes	cellular	21	jul	178	1	-1	0	unknown	no
10342	38	admin.	married	secondary	no	545	no	no	unknown	12	jun	436	1	-1	0	unknown	no
1731	41	blue-collar	married	primary	no	406	yes	no	unknown	9	may	2462	1	-1	0	unknown	no
28879	47	unemployed	divorced	secondary	no	0	no	yes	cellular	30	jan	127	2	233	8	other	no
18309	48	retired	married	primary	no	1591	no	no	cellular	31	jul	217	4	-1	0	unknown	no
27252	40	management	married	secondary	no	752	no	yes	cellular	21	nov	456	1	157	1	failure	no
38862	37	blue-collar	single	secondary	no	6281	yes	no	cellular	18	may	242	1	-1	0	unknown	no
9636	45	admin.	divorced	primary	no	1807	yes	no	unknown	6	jun	118	2	-1	0	unknown	no
35487	43	management	married	tertiary	no	0	yes	no	cellular	7	may	240	3	293	5	failure	no
12384	33	blue-collar	single	primary	no	837	yes	no	unknown	27	jun	250	8	-1	0	unknown	no
37540	28	blue-collar	single	secondary	no	5	yes	no	cellular	14	may	178	2	360	3	failure	no
36275	52	services	married	secondary	no	-178	yes	yes	cellular	11	may	124	2	347	1	failure	no
8066	35	management	married	secondary	no	1825	yes	no	unknown	2	jun	42	1	-1	0	unknown	no
24021	35	management	single	tertiary	no	0	no	no	cellular	29	aug	669	6	-1	0	unknown	no
22767	34	technician	married	secondary	no	2	yes	no	cellular	25	aug	324	4	-1	0	unknown	no
4913	37	services	married	secondary	yes	-954	yes	no	unknown	21	may	111	3	-1	0	unknown	no
38223	46	self-employed	married	secondary	no	-816	yes	yes	cellular	15	may	68	1	-1	0	unknown	no
8397	30	admin.	married	secondary	no	457	yes	no	unknown	3	jun	384	5	-1	0	unknown	no
