	content	label
130	Aww. Thanks dear. And I hate my gradeschool friends for ditching me. They forgot about me when we are suppose to be at her wake.=(	1
10704	Damn! That gets rid of the badge but the name still stays! Oh well  thanks for the tip!	0
702	Yeah  they seemed to have fixed most of the fail whale problems.	1
9120	damn  dude. nice find. awesome work in there.	0
5344	you never posted your blog. and today is guest blog day. get with the program my slut pink zebra. LOL loveee you anyway!	1
9907	hate the auto DMs  there's no better way to show that you don't actually care about your followers than to put it on autopilot	0
17562	Dude thank you sooo much  that's what I've always wanted!!! Haha	0
7438	damn 'reply' button ... -.-	1
4377	Aah! I actually hate you!	1
19350	how do you spend your Saturday nights?	0
802	damn we got BWNT - where you headed tonight?	1
13274	Thank god! I hope they give that lying bitch the chair.	0
17301	If you could be a bird  what would you choose to be?	0
4678	..........I hate SUVs. They're a great big ugly road hazard as far as I'm concerned. And very few people really NEED them.	1
3051	HAHA WHYYYYY do you hate my school!? NOOOOOO :(:(:	1
11183	Fuck me  I just spent 15 minutes trying to think of an example and I'm coming up dry. =P All I remember is wondering to myself	0
11718	They don't really want it with either of us fat phonies. I'm just saying.	0
5703	Jerry IS Cowboy's problem. He won't hire real coach  'cuz then the credit wouldn't go to him. He's poster child for attn whore.	1
2511	Hey  suck it hoe.	1
880	whoa be nice guys.. Whats all this FOOL and LOSER talk?	1
12185	well is has Keanu though... damn I might just watch it then...	0
19614	do you want to switch places with a male?	0
10682	DAMN!!!!! That could take a while!......I don't think any of my groupie's would confess anything. Okay  maybe ONE! Lol	0
3714	lmao!!! seriously and I live in the middle of BFE!! Will you combat being a glow stick or let winter be a bitch?	1
18525	are you dateing a &;&;jaybee alxeander?&;&;	0
10395	That is a massive FAIL. (I am being facetious  here.) I hate low-calorie anything  & it shows. LOL	0
464	If it wasn't for AT&T's spotty network  I'd switch in a heartbeat. That's where Verizon kicks some serious ass.	1
9395	Damon and Carlton from LOST are GAY!!!!	0
8586	I so want to RT your bottom-feeding Tweet. It's too damn long	0
4216	"yo fuck that dude 4 realz!!! it was allz cuz u  me   ""animal"" & ""marc delicious"" were so stupid-ass-rodimus prime fantabibulous!"	1
19007	hhaahhaahahaha dont u just love people who do that lol	0
342	The FA50 is a low key ultra here in ATL. It stands for Fat Ass 50K. Loop course  so you could do 25K...Half Ass.	1
3193	well if they hate you  are they still considered a fan?	1
9198	how the fuck do I know your name? I know I've heard it before...who have you worked with?	0
17279	Definantly. I just haven't found anyone like me.	0
1681	I love New HAmpshire well the white Mounts.I'm from Maine and I know I hate cold also hence why I moved to Fla.	1
5037	lmfao! bad ass!	1
19794	Hahah!! ohhkayy?!?! lol Wht do you call a deer with no eyes? I have no ideer! haha Classic  umm i suck at this haha	0
14428	If the universe is everything  and scientists say that the universe is expanding  what do you think it is expanding into?	0
6605	I have no idea why I live here. It sucks in the winter.	1
1319	that SUCKS.	1
2577	NIGGGAH ISZ YUH CIRCUMSIZED	1
3291	dude...if u didnt tell me how 2 do this fucking thing(twittr) i wud prob still b lyk nowhere with it!	1
24	don't get too fat or you'll turn into a boomer	1
17612	so hows life in your neck of the woods?	0
6788	so fucking angry all the time	1
12070	bro u haven't seen School of Rock??? that movie is royal ass kicker. Another one of Jack Black's awesomes. seen Be Kind Rewind?	0
17559	:))	0
1554	Ugh  the bane of my existence.  Hate them.	1
13903	Damn I don't think I'm on the list	0
6235	who the fuck is bur`li?	1
256	today feels like sunday.....damn lol	1
4833	you're a bitch.	1
6351	@petie_martin...shondor shabbos  that's what...shut the fuck up  donnie	1
1735	Damn iPhone made my Brad & Angelina pick blurry!  http://twitpic.com/rddb	1
18606	oh sorry it was jack  im not use to hime actually talking to me like im a human.	0
13604	hey there  it's Mike aka FFF (Christy Canyon nickname 4 me-future florida fuck) A true pleasure 2 talk 2 u on air 2night.	0
3445	"It was not fun	1
I hate you	1
im not sure if i should taunt you with how awesome it is  or say im surprised it took this long to get snow hate twitters	1
omg i would shop my ass off but that's because i have like zero long term goals :(	1
Better than that shit ass falafel box you eat once a week  I'm sure	1
thank you  she's such a big baby. lol But such an incredible dog. hate to think of life without her pain in the butt self	1
it really depends on the situation but when I get mad I just call old girl up and get the freak on	1
Take Ur ass home	1
HAHA...emo lawn.  I dig that!	1
lol...i disagree...Dick in a Box got too built up for me. It's funnier now...but it wasn't when I saw it. :-( jiz in my pants rocks!	1
on dude......a whale remember	1
i am doing no such thing fuck you	1
You didn't imagine it. It was the get away from her you bitch"" climax scene being parodied."	1
7761	"Being on fire is ""safe""? I'd hate to see what you consider peril!"	0
15600	nothing really	0
11536	i think he comes off better on part 2.. but he still kills pt 1 tho.. funny thing is i was in fat beats and i bought the cassete	0
1740	whaha ja maar het is zon raar idee dat ze dat lezen xD en dat BOB FUCKING BRYAR iets tegen me 'gezegt' heeft xD je moet vragen o	1
11216	uhm HI!!! Could you please get your ass to Hawaii!!! Thanks :)	0
9608	damn  hope you can work it out.	0
5416	dude dont tell me what to do thats not your place. i do what i want. just chill the fuck out and worry about yourself.	1
1500	i hate school =(	1
15308	are you left handed or right?	0
6080	the day after christmas and not yet :/ so I will be there early sigh fuck my life	1
6935	I bet we are freezing more than you are. The North sucks. Ugh!	1
17623	Wait. Are you Cheyenne? I sent a request to you? Wait  why is your name Tabitha?? R u fake????	0
6484	I hate him.	1
1110	damn homie where did you get that stat??	1
4154	Love You  Man  Not in Gay Way or Anything :)	1
19321	Do you believe honesty is the best policy?	0
8627	I asked what cod was the other day since Mr I'll Show You My Cock said it and got ridiculed for not realizing whaat it was	0
6665	I can't help that you keep looking for gay midget porn on YT. The volume is too loud for you but I like blaring my Celine Deon.	1
19596	as soon as you turned on your computer  what website do you go to first?	0
7491	I hate that too!!	1
6740	yeah it sucks i know  she was one spankin hot mofo	1
2247	it's the damn music  ugh  terrible!	1
18776	September 22nd<3	0
2181	good! i hate digg...it's way too gamed	1
6588	that's ri god damn dick ulouse! Tasty though. Haha	1
9151	I FUCKING TOLD YOU! GAYEST SHOW EVER!!!! WIN WIN WIN	0
9012	Nope sorry. 2009 will kick 2008's ass. At least the summer anyway.	0
19742	really. travis?	0
12551	i hate you :-p and  i wish we had that discussion in my english class!	0
16381	If there was a hour extra everyday what would you do in that time?	0
964	lmao!!! seriously and I live in the middle of BFE!! Will you combat being a glow stick or let winter be a bitch?	1
6444	Isn't any way you file taxes the gay way?	1
13988	Do you believe that God has a gender?	0
7419	I didn't call her fat at all! Keep your fucking nose out of other peoples business!	1
4651	we r so fucking on for real. I might leave after Josh  but i can't wait! &gt;_&lt;	1
18869	Can you daydream at night?	0
12611	same here...i got new sox they are pink and black...even though i hate pink...they are striped.......................	0
1416	YES!! she'll call me and be like get your ass out of bed and then she'll name a list of bs for me to do	1
909	hehe its all good. my drunken ass is moving off of twirl and to the crack...berry that is.  :) feel free to txt me yo. 3204694136	1
17916	Do you know karate?	0
12614	- RR could also whup JT's ass.	0
914	get on messenger already whore.	1
1315	You're a pig  you have a curly tail  for crying out loud!!! And you dare laugh at mine???	1
38	Gay fag.	1
8805	I also walk to school a mile each way every day during the semester. I'm still fat. :-( I guess not as bad as I was. though.	0
6801	I hate games like this. All these people shouldn't be going down.	1
17789	so i just hadda say this	0
16270	wen eva ya ready	0
6651	Lulz. OK. Internet Explorer sucks.	1
15042	Ever felt that no one relates to you?	0
4976	I didn't call her fat at all! Keep your fucking nose out of other peoples business!	1
5930	hahahahahahjdshgskdg I hate you. So much.	1
6377	Wow  that sucks!	1
2217	holy fuck.	1
19467	NOT AT ALL	0
12988	damn u hella racist why u dissin ur date like that???	0
2431	i BET YOU WERE SILLY ASS! lol	1
1526	i literally could not breathe. that was so fucking scary.	1
3703	totally agree dude. Pushed carts at Safeway for 2yrs in hs  people are fucking retarded	1
12904	"no  you know you are a nerd when you read your tweet and think to yourself ""I'm surprised he doesn't have it on his iphone yet"""	0
5141	hot ass mess!!!! hahahaha	1
4604	whiterabbit819 stFu u ass i care and thats all that matters!	1
2737	andrew once again stop talking to MY friends. nobody likes you. you think your hot shit and thats whats annoying. bye failed rapist :)	1
15099	Is it wrong I am getting my daughter to paint Xen&;s nails while he is asleep?	0
949	I think i done bounced half my ass off LOL	1
842	"did you come up with the ""server-hugger"" moniker  or what some other wise-ass?"	1
14422	yes my camera i have now	0
6023	Then you should make fun of her for not looking at your ass.	1
1631	Damn fam... if I was  a hater I'd be jealous... lol	1
3286	damn you overload issues! :(	1
22	it pretty much is a fuck you card..	1
6698	what a loser. :P	1
18253	why doesnt Winnie the Pooh ever get stung by the bees he messes with?	0
9962	furthermore they do have gtalk integration  what twitter couldn't handle and some kick ass rooms.. very interesting..	0
1685	Stop it! I keep thinking you're going to say he's here! Now I'm waiting vicariously through you! Dammit! I hate waiting for babies!	1
14579	go back to sleep! hahaha	0
11472	@indyank @harisn Sucks for me everytime..  Every single time.. and today the most.. :'(	0
1776	lets fucking go tonight... you know you want to! Or at least hang out. I fucking hate being alone sometimes too.	1
18956	why do u have a new &quot;girlfriend&quot; like every single month??	0
13238	"Haha: ""Ann  I think you are a hate crime."" I would like to maul her face with a garden rake."	0
14532	have you been out of counrty if so where?	0
405	nice voicemail... i didn't enjoy it cuz i am a bitch.	1
4192	THAT WAS THE MOST  MOST BEAUTIFUL CHRISTMAS CARD I HAVE EVER RECEIVED.  I MEAN  DAMN.  80	1
9039	agreed @ FB external links. I hate being stuck in frames. Same with Google Image.	0
91	no one likes every fat snack u do bitch! so shaddup ahahahahaha	1
17594	After you have a dream  do you mostly wake up remembering it or not?	0
17565	One place you&;d like to explore the most ? :D	0
7516	cunt? Whore?? Lololol	1
3699	I think i done bounced half my ass off LOL	1
9457	@mattfink best avoid the pig rolls for a while http://bit.ly/qmqJ	0
7081	haha i don't really like walmart that much either. hmm yeah that sucks :( hope you find one	1
14189	-Hellz yeahh(: of course i&;m qoinqq i wannah b with you quy&;s  like duhh<3	0
7355	You won't miss much.  Her husband is cheating  she's pregnant  he's an ax murderer  her son is gay. That's pretty much the soaps	1
13852	Common is rocking them nerd glasses.	0
1022	U can be a freak and not like girls.	1
88	you are a fatty fat fat	1
6125	fuck outta here - for reals?	1
8882	Lol.. I def know how that can be I do payroll aswell!! We might be sum diva ass bosses okay alright okay..lol	0
7439	agreed.  UGO sucks ass	1
7496	LMAO!! I seen that  that dude was mad angry... then got his ass beat	1
3861	if you were black  that last one would be so damn racist	1
8478	Yeah my Neice has always been able to just walk over. She used to come here without telling my sis.LOL Damn I'm gonna miss that	0
8467	I really hate this ThunderHead IPA by Pyramid Breweries. Fucking skunk piss fo sho	0
5283	hard to kick ass yourself with slippers on?  On it.	1
16772	haha i like you to hahaha :)	0
137	you're not a twitter slut until you show us full frontal nudity... so until then you're just a tease =P	1
6611	Devil's AssMartini on Scottsdale and Gay  I mean Shea	1
13677	No crab? Don't be a bitch. Twitter party indeed	0
616	touche (i hate getting SHUT DOWN. I guess that's what I get when I pray for humility.) at least I am a better student t ...	1
7213	WHO CARES I HATE THEM! FTW! Knitting and crocheting before bed &lt;3	1
13545	it IS! It's the version that Dr. Whats-his-name died to on ER. Damn song makes me cry every time I hear it.	0
1727	omg me too! The holidays need to end now plz. Ppl are soo mean and nothing is jolly or holly! It sucks!	1
13713	You're fine  but people with a Blip every 3-4 mins get the fat unfollow.	0
1282	Damn  tough call  but I'd have to say toddlers.	1
5020	that sucks. People are stupid.	1
5815	I work with a very limited bankroll.  When I'm running bad  I HAVE to go for broke.  Now up for the night.  Also  fuck poker.	1
17872	too much sometimes.	0
5710	what da drilly wit dat do! ...oh  and i STILL got distribution in Japan...damn  that chick was the worst that night	1
4369	He doesn't seem clueless to me. He seems sweet and cute and witty and eloquent and charming. *swoon* Damn the luck.	1
2903	no one likes every fat snack u do bitch! so shaddup ahahahahaha	1
313	I thinks you meant to say that TWILIGHT was epic fail  not your mistake. I hate stephanie meyer and I've never even met her.	1
6876	yes.. a she-wolf in love  is it even possible? Which team do we root for now? I'm a faithless whore - struck by Amor	1
11478	I always forget about Yelp  but it's pretty damn useful. Thanks for the tip!	0
7187	I would not be proud of that. That just means you're a whore or a polygamist.	1
920	I wouldn't with ur dick! Now u owe me one!	1
2435	fuck yo life nigga	1
17527	yeah if i tried.	0
19338	Yur really pretty no homo ((:	0
14650	hahaha hmmm im not surreee	0
2747	whyy dose rubinathy15 ask stoopid questions? erase the dum betch	1
10092	An appropriate tweet  considering the cock measuring. Shall we do it over you?	0
3081	i hate that too - i have blocked a few of stalker / serial networkers on fb too.  maybe they should tweet first?	1
5836	tell them to fuck off  give it a few years  then laugh at how much better you are then them.	1
11683	I had to do that the other day  the bots are fucking annoying.	0
12765	hmm. I'm all legs  thighs and ass... the last thing I need is a million light-reflecting spheres working to spotlight my rear.	0
6929	in the lab...all damn day  i had soooo much work to do:(	1
2436	@farwyde Cock your gun.	1
18210	Justin Bieber Demi lovato and Barack Obama babay!!:D	0
3954	I've been getting a lot of that Which sucks  cause I really need a job.I did get a random check from an old job for 100$ today though	1
10140	i may go with velour track suit.  just have to find one! because i hate shopping  even in the best of circumstances	0
5080	you are a twitter/last.fm whore! :P	1
1176	sadly true - mens lifestyle walks a fine line between britneys bits  and articles about pectoral development for gay guys...	1
976	booooooo! i have some hot- ass mushroom stock if you wanna come get it after work	1
6485	damn your phone....SEVEn SEEEVEEEENNN	1
1921	you can take the girl out of the hood but you can't take the hood out of the girl. Detroit didn't make me a pussy that's forsure	1
16848	Do you have any scars on your body?  If so  how&;d you get them?	0
448	lol the fuck what concert was that	1
16614	I was dancing in the kitchen lastnight while cooking grilled cheese for timmy and we were laughing about it cause i was doing the robot out of the blue :)	0
4429	Damn!! I was hoping you were giving me good news otherwise!	1
7692	i hate you all	1
6129	Damn homie...I've got a comfy ass couch at my spot & zimbabwe that puts NYC to shame...You should have hit me up...	1
9028	Huckabee can be pretty slick and glib  but he seemed to stumble on the gay marriage issue. He made some odd sounding statements.	0
7354	A COMMUNIST FUCKING DICTATORSHIP! Fuck Che Guevara. And all the t-shirts with him on them and those that wear them.	1
19638	mmm what?	0
6986	you should probably reattach your fucking ass for you have laughed it off.	1
10205	ugh I hate the tangle struggle. It will be in a damn pony tail all day and I go to brush it and its like a damn jungle.	0
15328	When you hear people arguing what do you normally do?	0
9294	Maybe  but their snide comments about burying (their word) the Watchmen movie piss me off.  http://bit.ly/bv3E	0
9877	Dude  how do they manage to fuck up DNS? DNS just  like  IS...	0
18282	just so you know scarlett wasnt on when that was wrote.	0
32	they should have a wii loser..that way you can compete with your wii friends.	1
9645	I'm sorry. The situation sucks (I'm sure far more than I know).	0
569	My pussy is still sadly missing.  *blinks*  Do you think this will affect my popularity.  *evil grin*	1
11753	#NAME?	0
16103	Does it bother you when strangers try to tell you what to do?	0
17569	I would say ok.	0
18348	i dislike that	0
18462	Not to my recollection. but funny you ask  because my brother just did that and busted our neighbors chair at my sisters grad party this past sunday. it was hilarious!!	0
6900	don't hate me cuz i'm beautiful. jk. you're probably too young to have seen that commercial. HA. what's wrong  chippers??	1
17564	NOpe. I used to but then i deleted it because i liked formspring more and didn't have many followers on it.	0
3060	i hate hate hate it with a passion!! lol...i know the calls are recorded i talk mad shyt down the phone LOL!!!	1
4165	so do I! But its the task of getting off my ass and going to get it. Gahh	1
17094	Have you ever cheated in a relationship?	0
8494	I am. Hence the hate. But I love him rly	0
2631	i like how everyone writes you just to insult you. seriously  all your questions are dissing you! HAHAH.	1
11132	yuck! But others say it is really good for you. Hardly any fat. I almost want to become a vegatarian because of it.	0
1639	oooo thats not fun! i hate those things  the orthodontics people are mean to me!	1
2447	That sounds like Charter.  I hate Charter.	1
17845	I miss you too !(:	0
8825	@icyfrance THANK YOU DUDES for kombucha!  I am waiting to unleash the fucking fury on my gastronomics til later afternoon.	0
19026	hahahahahahahahahahahhahahahaha  i recently read the weight of silence  and its really a good book.r *lover buddies for life **	0
13455	spew! i hate mountain dew! it tastes like...oh  nvm.	0
8563	@pidpoid Damn it! I've just splashed out &#163;1.29! I'll check our Aroundme as well!	0
5326	Captain Jean Luc Pic-card of the USS Enter-prize  Captain Jean Luc Pic-Y'KNOW WHAT? FUCK YOU  TEMPLESMITH!	1
11211	Wal-Mart tends to bring out the worse in people. I hate being there anytime during the day. Late night is another story	0
7151	oh  i am fine. But she will not be if she doesn't shut her fat fucking mouth.	1
16343	no fucking clue	0
16198	(:r cools iLike that pikk lols	0
19355	Do you fear something you honestly have no reason to fear?	0
8845	awww damn. sending healing light.	0
10382	stop being a pussy. you look hot.	0
4096	But surely  i need to improve on the digestive front. Ain't any fat panda :P	1
8710	- You KNOW she doesn't.  She BARELY looks hapa. But LOL @ that one bitch from the one show.	0
3209	i'm with you on the new yrs res! i'm 10lbs chubbier than i was 8 mos ago and i ALSO thought i was completely immune to fat! :(	1
5645	:) if she is a dumb hoe why'd he put his cock in her?	1
8277	I don't really like either version  but my iTunes is trying to whore it out. What a pimp.	0
13212	it's a murphy's law type show. Like oh my god  it can't get worse... oh damn  it just did  lol. I feel for the guy  lol	0
3156	what a coincidence! I'm wearing my fat jeans today and it felt like they were my skinny jeans!	1
4450	okay. Fuck me. Way to start the new year.	1
6335	I brought Prussia back  bitch.	1
17315	have you ever had a &quot;cub&quot; sandwich?	0
527	Yeah! id do her like my nigga did them white chicks at the club on Knocked Up...I fuck the shit out u old bitch but no clubin	1
10257	damn those cute puppies!! How many gadgets I have lost for them.	0
3564	"that's why I hate them. ""Oooops  why don't I go this way and destroy your whole story. Or maybe ill refuse to say anything."""	1
2024	wow that really sucks. LOL.	1
2514	Your face is such a mess  why don&;t you get your dog something different to chew on?	1
15775	how to survive in this crazy khaos of a world i live in.	0
6907	freak passing shower. was walking by  then suddenly a few big drops came down. thought  oh shit  and ducked in just as it poured.	1
17430	nigga u fresh as fuck.!	0
6267	katrinaneufeld Does a French whore smell better or worse than ur down home Blackstone variety?	1
6270	damn...wish I knew how to write script. I just did 9 and have 7 more to upgrade.	1
13835	nobody talks to my sister like that! Take ur goddamn frive iphrones and get the fuck out!	0
4439	I have no clue what I've stumbled upon  but I laughed my ass off... you might too: http://is.gd/a8cz	1
6750	yet fear seems like a cop out too  i eat my words...Hate is ugly	1
16396	Jupiter gets its name from where?	0
6241	*watches than throws up* Man  that's was sick as fuck! A glass jar?!?	1
15831	Strawberry-Banana Smoothies from Jack in the Box ;D Yah dig?	0
16670	I don't have one anymore i deleted it	0
13526	Awwww....DUDE. That sucks!! Hope you find a paperclip and a rubberband!!	0
3757	whatever you do just don't roll your eyes. they hate that. those peaceful scenes fly out their heads and they WILL b-slap you!	1
10360	Just another day  money to be made  got my hater blockers on for those haters who goin hate... Thats how im feeling today.	0
1389	Wow u in love wit her? U gay 4 her?	1
10723	Yeah  this is what this fucking show always does to me. This setup should be cool  but I know -- know! - it will suck.	0
4585	This guy was that weird solid fat looking type with skinny legs. More funny than scary	1
4702	I couldn't agree more.  And if I didn't feel like such a loser I would say I win for understanding!	1
2059	Y'know  it's very stereotyped emo.. I know plenty of older people who follow the trend / cult the whole way.	1
6469	that sucks that the internet is being twitchy. Hope it works soon. :(	1
12814	they seem to be the same every damn year	0
7633	Male Chauvinist Pig. :P	1
1189	I ran a 300 customer hosting company for years on Apache.  I know how to set it up.  It still sucks ass.	1
1155	shut ur ass up! u woulda been wondering the same thing lol. done rehearsing 4da night & planning 2knock out...right about.....now	1
6422	now who's the fucking hipster?As if you not dig Kanye! @dianor heyyy how you doin' @noarmsjames the man has great beats+lyrics	1
12263	"dude Stef says ""he is the biggest pussy on Christmas eve ever"""	0
2523	r u a drty slut?	1
6138	biiiiiishop! - fuck u want? - yo ass punk...	1
15836	i used to go a lot. but now i dont go so much. waiting for a really good new movie to come out!	0
9297	translation for the white boy: naty  nobodys last  name is The Ass. Haha	0
2209	gah!  Damn you spoilers!  I'm only on season threeeeee!	1
10162	i just love the speed & simplicity cum features of Google Chrome	0
1581	I hate giving little kids antibiotics...10 days 2 a day and important they get it all down...impossible!	1
4985	and you're a smug cunt  so it must be true!	1
4270	yeah  it sucks. 6 yrs down here & realizing we dont get snow. just ice. and nobody can drive in rain  let alone ice	1
7542	i hate u. looooooool	1
14665	i love you to  and i no your not stalking me  i was kidding. but its only one person. and yeahhh	0
839	damn kid...condolences homie http://twurl.nl/i3pwps	1
11186	he did leave quickly after our neighbors woke up and yelled. he didn't get too much. but the feeling sucks.	0
19683	D:	0
12485	is the Black Bitch anywhere near Clever Dick's? http://tinyurl.com/axf82t	0
5627	hippies hate that stuff... too chemical-y. This is true when used in ENORMOUS amounts.	1
2084	sucks to be you	1
2033	It sucks :(	1
560	what are you gonna stab a bitch with? scissors? knife? spear? sword? cock? pencil? dildo? cattle prod? broken glass?	1
15045	what is a z job?	0
3574	that's weird  because I hate them the second time I see them.  First time is ok but they get old quick.	1
14943	Did you ever have a embarrassing moment at school?	0
14167	sour krawt. i hate that stuff for some reason.	0
7186	emo-hair+hip hop-fitted hat	1
2987	I've been messing around with some of the beta releases. It murders every other WP version (widget panel still sucks though).	1
17285	What is your best birthday memory?	0
4268	you order pizza that much they have you on speed dial. damn.	1
4633	Fuck you and your snow! Or  bring some of it down here? ;)	1
11732	WP.com? Cuz that'll get you deleted. And Google's reviewing the way they rank blogs  for this very reason. They HATE it.	0
10654	I like when you do that!  :-)  You always look so damn cozy & cute	0
6169	booooooo! i have some hot- ass mushroom stock if you wanna come get it after work	1
8438	Why do you hate all Canadians? :)	0
