	content	label
9323	Mostly good I think. Sorry to hear about your phone. That sucks!!!	0
3547	what is this dick suck moment? lol. HAPPY NEW YEAR	1
19842	lol no iDnt iGuess bih	0
19328	lmao idk wea its at....haha	0
13102	Ernies on Thrusday nights. Best fucking Margaritas in the valley	0
8433	not really just want to bitch  i could never get to piss at the kid.	0
5042	they stole my slogan!!! I hate them for that!	1
8122	HOW DID U MET YOUTUBE BITCH!?	0
12410	"I get that problem ALL THE TIME.  Today I just said ""well fuck that "" rolled over and slept for another five hours."	0
935	You're soft...Dude ran our country into the ground with no shame whatsoever...People need to be throwing boots  fuck a shoe...	1
7674	i hate you	1
16895	What was the worst concert you went to?	0
14058	i love youu chica!<33	0
2527	i never said that i&;m 16 or that i&;m sexy. dumbasssssss	1
3405	i hate having to wait till jan. for the big game lol tedious i tell ya	1
10631	You make me look extremly lazy and fat. haha.	0
1662	because i'm a dumb ass.	1
10	truth on both counts that guy is an ass  and their product is sub par. I tell people try Dalesandros orJim's	1
16023	its stupid.	0
9201	@akaMonty *HATE*	0
5012	and most of them are ugly and fat..lol	1
7558	lawl @ fat bitchez.	1
18163	kkkkkkkkk	0
18607	u probally wouldnt fuck the others cause everyone loves shaun...... meh i dont.. but i think hes pretty cool tho :P	0
9606	Dick.       (Get it?)	0
14536	don&;t listen to the haters  you are pretty!	0
16344	Were you a Michael Jackson fan?	0
11317	takes alot more than a 3 hour long ass movie lol	0
11503	tak to si snad ani nemel psat... ted to budu muset stahnout a hrat.. damn.. a to mam ve fronte Fallout  Brothers in arms a dalsi	0
5091	8 fucking am.	1
6499	yep...that whole damn mixtape gets me hype lol	1
14413	Yes. Karma? :) its always there. so be nice!	0
15029	audrey hepburn	0
7235	to be specific he didnt choke her (right?) he bit her on the back while banging her in the ass. (just to be clear)... :)	1
5976	You're going to find a woman and tease her to make her have to cum silently at work?	1
18605	YEsH hahahahaha wouldn't you??	0
2178	nerd!	1
5109	Thats so fucking stupid for you to say	1
15864	where you are to meet you  because i think we would get along just peachy	0
17370	oil spill  and world peace and world hunger :] i know thats 3 but i cant choose lol	0
13570	"I'd just hate to be known in my career as the ""diarrhea guy"".  Happy Holidays to you too!!"	0
7103	sure  I could use a lil snow here. The people would freak out here. LOL	1
18253	why doesnt Winnie the Pooh ever get stung by the bees he messes with?	0
13312	aw  shucks. you did all the hard work. Still  good luck with all that  man. Moving is a real son of a bitch.  Happy New Year.	0
5744	@KitchenGirlJo what's the fail whale?	1
1299	Fuck you Ian  I know you're using a joke book!	1
3057	today feels like sunday.....damn lol	1
3979	now who's the fucking hipster?As if you not dig Kanye! @dianor heyyy how you doin' @noarmsjames the man has great beats+lyrics	1
10820	There is a theory that it eliminates neck fat through circulation. Started doing in high school. LOL. It worked! Avid tapper!	0
17563	Nope  time is not of essence to me	0
8197	*gasp* I may have to terminate our intarwebz friendship because you hate Anne. *cries* ;)	0
5117	fuck yeah	1
18909	Up-Justin Bieber	0
16654	Kindness to all  or your exiled to the shark sea.	0
2580	hello mr gay fuck	1
